dataset,actions,rows,subjects,best_per_sample_action_oracle,best_per_session_action_oracle,best_convex_mixture_oracle,protected_safe_oracle_gain,full_menu_oracle_gain,uniform_action_ensemble_gain,best_fixed_action,best_fixed_gain,oracle_ci95,OUTER_TEST_USED
OpenBMI_DEVELOPMENT_EXPLORATION,"['amplify', 'geometry']",31600,40,0.053385416666666664,0.0016770833333333353,0.0,0.053385416666666664,0.053385416666666664,-0.014583333333333342,amplify,-0.015979166666666666,"[0.04448958333333334, 0.06242760416666666]",False
WBCIC_S3_MATCHED_PROXY,"['amplify', 'geometry']",8195,41,0.11355028948016756,0.010609756097560982,0.00584349593495935,0.11355028948016756,0.11355028948016756,0.004014227642276425,amplify,-0.019534983986203493,"[0.09133909983986203, 0.13609756097560977]",False
