recipe,mean_subject_delta_BA,bootstrap_CI95_L,bootstrap_CI95_U,positive_subject_fraction,nonnegative_subject_fraction,positive_run_fraction,action_rate,unsafe_intervention_rate,rescue_precision,mean_effect_when_intervene,subjects,runs,OUTER_TEST_USED,recovered_oracle_headroom,action_bank,target_context
"{""beta"": 1.0, ""kappa"": 0.5, ""width"": 32}",0.0024479166666666646,0.0012187499999999918,0.0037604166666666662,0.65,0.75,0.3924050632911392,0.09424050632911392,0.04667562122229684,0.0819341840161182,0.035258562793821356,40,158,False,0.04585365853658533,KEEP+AMPLIFY+GEOMETRY,True
"{""beta"": 1.0, ""kappa"": 1.0, ""width"": 32}",0.0013124999999999947,0.0005729166666666605,0.0020833333333333303,0.575,0.85,0.26582278481012656,0.015632911392405063,0.0951417004048583,0.20850202429149797,0.11336032388663968,40,158,False,0.024585365853658437,KEEP+AMPLIFY+GEOMETRY,True
"{""beta"": 2.0, ""kappa"": 0.5, ""width"": 32}",0.0023854166666666646,0.0011770833333333305,0.003656250000000001,0.625,0.75,0.3924050632911392,0.09424050632911392,0.04667562122229684,0.0819341840161182,0.035258562793821356,40,158,False,0.044682926829268256,KEEP+AMPLIFY+GEOMETRY,True
"{""beta"": 2.0, ""kappa"": 1.0, ""width"": 32}",0.0013124999999999947,0.0005833333333333235,0.002093749999999998,0.575,0.85,0.26582278481012656,0.015632911392405063,0.0951417004048583,0.20850202429149797,0.11336032388663968,40,158,False,0.024585365853658437,KEEP+AMPLIFY+GEOMETRY,True
"{""beta"": 1.0, ""kappa"": 0.5, ""width"": 64}",0.003281249999999995,0.002010416666666664,0.0046979166666666575,0.675,0.825,0.4050632911392405,0.10962025316455697,0.03868360277136259,0.08429561200923788,0.04561200923787529,40,158,False,0.06146341463414625,KEEP+AMPLIFY+GEOMETRY,True
"{""beta"": 1.0, ""kappa"": 1.0, ""width"": 64}",0.0016145833333333283,0.000749739583333324,0.0025523437499999926,0.475,0.9,0.22784810126582278,0.013670886075949367,0.12962962962962962,0.2916666666666667,0.16203703703703703,40,158,False,0.0302439024390243,KEEP+AMPLIFY+GEOMETRY,True
"{""beta"": 2.0, ""kappa"": 0.5, ""width"": 64}",0.003281249999999995,0.002010416666666667,0.004645833333333331,0.675,0.825,0.4050632911392405,0.10962025316455697,0.03868360277136259,0.08429561200923788,0.04561200923787529,40,158,False,0.06146341463414625,KEEP+AMPLIFY+GEOMETRY,True
"{""beta"": 2.0, ""kappa"": 1.0, ""width"": 64}",0.0016145833333333283,0.0007708333333333299,0.0025312499999999944,0.475,0.9,0.22784810126582278,0.013670886075949367,0.12962962962962962,0.2916666666666667,0.16203703703703703,40,158,False,0.0302439024390243,KEEP+AMPLIFY+GEOMETRY,True
