policy_id,subject,fold,seed,delta_BA
B0_KEEP,11,0,0,0.0
B0_KEEP,12,0,0,0.0
B0_KEEP,15,0,0,0.0
B0_KEEP,16,0,0,0.0
B0_KEEP,18,0,0,0.0
B0_KEEP,20,0,0,0.0
B0_KEEP,23,0,0,0.0
B0_KEEP,24,0,0,0.0
B0_KEEP,25,0,0,0.0
B0_KEEP,26,0,0,0.0
B0_KEEP,27,0,0,0.0
B0_KEEP,29,0,0,0.0
B0_KEEP,30,0,0,0.0
B0_KEEP,31,0,0,0.0
B0_KEEP,34,0,0,0.0
B0_KEEP,37,0,0,0.0
B0_KEEP,38,0,0,0.0
B0_KEEP,41,0,0,0.0
B0_KEEP,42,0,0,0.0
B0_KEEP,43,0,0,0.0
B0_KEEP,44,0,0,0.0
B0_KEEP,49,0,0,0.0
B0_KEEP,5,0,0,0.0
B0_KEEP,51,0,0,0.0
B0_KEEP,52,0,0,0.0
B0_KEEP,8,0,0,0.0
B0_KEEP,11,0,1,0.0
B0_KEEP,12,0,1,0.0
B0_KEEP,15,0,1,0.0
B0_KEEP,16,0,1,0.0
B0_KEEP,18,0,1,0.0
B0_KEEP,20,0,1,0.0
B0_KEEP,23,0,1,0.0
B0_KEEP,24,0,1,0.0
B0_KEEP,25,0,1,0.0
B0_KEEP,26,0,1,0.0
B0_KEEP,27,0,1,0.0
B0_KEEP,29,0,1,0.0
B0_KEEP,30,0,1,0.0
B0_KEEP,31,0,1,0.0
B0_KEEP,34,0,1,0.0
B0_KEEP,37,0,1,0.0
B0_KEEP,38,0,1,0.0
B0_KEEP,41,0,1,0.0
B0_KEEP,42,0,1,0.0
B0_KEEP,43,0,1,0.0
B0_KEEP,44,0,1,0.0
B0_KEEP,49,0,1,0.0
B0_KEEP,5,0,1,0.0
B0_KEEP,51,0,1,0.0
B0_KEEP,52,0,1,0.0
B0_KEEP,8,0,1,0.0
B0_KEEP,12,1,0,0.0
B0_KEEP,13,1,0,0.0
B0_KEEP,15,1,0,0.0
B0_KEEP,18,1,0,0.0
B0_KEEP,2,1,0,0.0
B0_KEEP,20,1,0,0.0
B0_KEEP,23,1,0,0.0
B0_KEEP,24,1,0,0.0
B0_KEEP,26,1,0,0.0
B0_KEEP,27,1,0,0.0
B0_KEEP,29,1,0,0.0
B0_KEEP,30,1,0,0.0
B0_KEEP,31,1,0,0.0
B0_KEEP,32,1,0,0.0
B0_KEEP,33,1,0,0.0
B0_KEEP,34,1,0,0.0
B0_KEEP,36,1,0,0.0
B0_KEEP,37,1,0,0.0
B0_KEEP,41,1,0,0.0
B0_KEEP,44,1,0,0.0
B0_KEEP,47,1,0,0.0
B0_KEEP,49,1,0,0.0
B0_KEEP,51,1,0,0.0
B0_KEEP,52,1,0,0.0
B0_KEEP,54,1,0,0.0
B0_KEEP,8,1,0,0.0
B0_KEEP,12,1,1,0.0
B0_KEEP,13,1,1,0.0
B0_KEEP,15,1,1,0.0
B0_KEEP,18,1,1,0.0
B0_KEEP,2,1,1,0.0
B0_KEEP,20,1,1,0.0
B0_KEEP,23,1,1,0.0
B0_KEEP,24,1,1,0.0
B0_KEEP,26,1,1,0.0
B0_KEEP,27,1,1,0.0
B0_KEEP,29,1,1,0.0
B0_KEEP,30,1,1,0.0
B0_KEEP,31,1,1,0.0
B0_KEEP,32,1,1,0.0
B0_KEEP,33,1,1,0.0
B0_KEEP,34,1,1,0.0
B0_KEEP,36,1,1,0.0
B0_KEEP,37,1,1,0.0
B0_KEEP,41,1,1,0.0
B0_KEEP,44,1,1,0.0
B0_KEEP,47,1,1,0.0
B0_KEEP,49,1,1,0.0
B0_KEEP,51,1,1,0.0
B0_KEEP,52,1,1,0.0
B0_KEEP,54,1,1,0.0
B0_KEEP,8,1,1,0.0
B0_KEEP,10,2,0,0.0
B0_KEEP,11,2,0,0.0
B0_KEEP,12,2,0,0.0
B0_KEEP,13,2,0,0.0
B0_KEEP,15,2,0,0.0
B0_KEEP,19,2,0,0.0
B0_KEEP,2,2,0,0.0
B0_KEEP,20,2,0,0.0
B0_KEEP,23,2,0,0.0
B0_KEEP,24,2,0,0.0
B0_KEEP,27,2,0,0.0
B0_KEEP,3,2,0,0.0
B0_KEEP,31,2,0,0.0
B0_KEEP,32,2,0,0.0
B0_KEEP,33,2,0,0.0
B0_KEEP,36,2,0,0.0
B0_KEEP,37,2,0,0.0
B0_KEEP,38,2,0,0.0
B0_KEEP,40,2,0,0.0
B0_KEEP,41,2,0,0.0
B0_KEEP,42,2,0,0.0
B0_KEEP,43,2,0,0.0
B0_KEEP,45,2,0,0.0
B0_KEEP,47,2,0,0.0
B0_KEEP,48,2,0,0.0
B0_KEEP,50,2,0,0.0
B0_KEEP,8,2,0,0.0
B0_KEEP,10,2,1,0.0
B0_KEEP,11,2,1,0.0
B0_KEEP,12,2,1,0.0
B0_KEEP,13,2,1,0.0
B0_KEEP,15,2,1,0.0
B0_KEEP,19,2,1,0.0
B0_KEEP,2,2,1,0.0
B0_KEEP,20,2,1,0.0
B0_KEEP,23,2,1,0.0
B0_KEEP,24,2,1,0.0
B0_KEEP,27,2,1,0.0
B0_KEEP,3,2,1,0.0
B0_KEEP,31,2,1,0.0
B0_KEEP,32,2,1,0.0
B0_KEEP,33,2,1,0.0
B0_KEEP,36,2,1,0.0
B0_KEEP,37,2,1,0.0
B0_KEEP,38,2,1,0.0
B0_KEEP,40,2,1,0.0
B0_KEEP,41,2,1,0.0
B0_KEEP,42,2,1,0.0
B0_KEEP,43,2,1,0.0
B0_KEEP,45,2,1,0.0
B0_KEEP,47,2,1,0.0
