policy_id,mean_subject_delta_BA,bootstrap_CI95_L,bootstrap_CI95_U,positive_subject_fraction,action_rate,unsafe_intervention_rate,rescue_precision,OUTER_TEST_USED
B0_KEEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
B1_UNIFORM_ACTION_ENSEMBLE,-0.014583333333333342,-0.019459375000000015,-0.009905468750000021,0.075,0.0,0.0,0.0,False
B2_BEST_FIXED_SOURCE_ACTION,-0.015979166666666666,-0.021063281250000006,-0.01102057291666667,0.15,0.0755379746835443,0.6112274821952242,0.3887725178047759,False
B3_ENTROPY_ONLY,-0.021239583333333336,-0.028135677083333335,-0.01493723958333334,0.125,0.10360759493670886,0.6065974343310935,0.3934025656689065,False
B4_SOURCE_ONLY_LOGISTIC_ERROR,-0.024916666666666667,-0.032198437499999996,-0.017968750000000006,0.125,0.11642405063291139,0.6064147866268007,0.39358521337319924,False
B5_OLD_I003_CROSS_RUN,0.007312500000000001,0.004791666666666666,0.009979166666666674,0.775,0.04170886075949367,0.40212443095599393,0.5978755690440061,False
B6_RANDOM_MATCHED_GATE,-0.026583333333333337,-0.03138541666666666,-0.021895572916666675,0.05,0.09424050632911392,0.6467427803895232,0.35325721961047685,False
B7_SESSION_LEVEL_TARGET_WEIGHT,2.0833333333335203e-05,-0.000187499999999996,0.00025000000000000163,0.025,0.0022468354430379748,0.4788732394366197,0.5211267605633803,False
B9_TEA_EEG,0.0024479166666666646,0.0012393229166666555,0.0037395833333333296,0.65,0.09424050632911392,0.04667562122229684,0.0819341840161182,False
B8_TEA_WITHOUT_TARGET_CONTEXT,0.0022708333333333296,0.0010624999999999999,0.0035520833333333264,0.675,0.07098101265822784,0.06509139545251895,0.10655372269282211,False
