task,fold,seed,random_id,rank,coordinate_ids,overlap_with_P,target_hash,used_primary_control,pool_file
OpenBMI_MI,0,0,0,5,"[5, 4, 13, 16, 12]",2,b9e5688100c861a8cbb30618d1d664bdb3b1ee79c45d6f66cfc8a544a7e8f829,True,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,1,5,"[4, 12, 3, 6, 0]",3,270dfbaf10234993876b231b8907bddf4ec3fa392a00c6e561e1372693ee322b,True,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,2,5,"[8, 5, 9, 17, 10]",1,20830ecd37dc5cf49b7b412f128bf24bedfa5e535d665bdeb12170b0212cb48e,True,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,3,5,"[0, 6, 19, 9, 11]",1,26fb212a2a23361606070b7c9f91ba6f02df47c239ef0aca36fefb32d799ba8f,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,4,5,"[13, 1, 6, 10, 14]",1,3d7e0c8f7ef4db785e9b79b56dbe96638e45810042e4a457007e3463ef020593,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,5,5,"[8, 5, 6, 15, 10]",2,00b86fd59bff1b2a57f0cabfb1e519a110fa68978671bbab33ecff6dbce6edfe,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,6,5,"[16, 19, 9, 7, 18]",1,8f063f2463daf518d5694f5139bb56094db69984f8d086643f07ec93259cd3cd,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,7,5,"[17, 8, 12, 0, 16]",0,62cad405b4da28fb765f0a590726d15b13dc647d5ac0f6f46250cb42f82bef07,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,8,5,"[13, 12, 2, 0, 18]",0,01d535b4c2ed6fec1a0fa68b7cc77cd2086b535c6c9cafad529fbc609ddd1420,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,9,5,"[4, 7, 0, 1, 13]",2,78c1130079dc6166a465b63de3987e4249d037834e7e00e3e0b1513ec174318b,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,10,5,"[16, 13, 17, 1, 0]",0,bed18e86f82009529cccfbb7167f7941b7ba49f0d2a9a0b276ede4efabb31a5c,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,11,5,"[11, 3, 8, 1, 15]",1,a5657a1c25c6aeec4a9c56fc5666b6940f73241ace29f5fd4b2ac753d684dc02,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,12,5,"[17, 7, 18, 0, 3]",2,599f7171e8098f673af729b7bcae09e14fd39705b2527f2faee1278b93c1d4e6,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,13,5,"[2, 14, 15, 6, 1]",1,154185782ad435794ffffdf3cb0fdc049b483a036f39b1bef141ca0c46cb13b2,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,14,5,"[3, 9, 15, 18, 10]",1,d387f691e9c236bfeac251557d27e8347d5d0f1df04d59c4c8702b26b7385c1c,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,15,5,"[6, 7, 17, 9, 18]",2,59adc856e596c1289e78a0dafdb9f4fc92dc07a09f57d74eaf6f98216bd91393,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,16,5,"[7, 14, 18, 9, 6]",2,ee5aee9409121235d85c52ec8f23e7ea3a231887e4a9540d3ff9e3037739c955,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,17,5,"[5, 11, 3, 7, 16]",3,e6cf9a311cceb728dddfe72c4a6ef0e325dba882465463391d77c59c8c218497,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,18,5,"[18, 5, 11, 0, 19]",1,feaa919c2f794aa3ba80e0a8c32c6ef9ba2c3e5465f8b6103228102bd316f069,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,19,5,"[12, 17, 2, 6, 3]",2,a8f2f6b4b51ba284f8ebe17ece0c6112c72b91b67bd2eb044f714a5039604b34,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,20,5,"[9, 0, 13, 1, 10]",0,ceeba0b7f4c512f2e4e5044b2922a0a5725ed55051244a4b6098295214782293,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,21,5,"[19, 7, 18, 11, 3]",2,7a159b8fc84ea8d7094980415af84b7738d12db73331f6f25f5ab1165139a153,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,22,5,"[3, 12, 0, 11, 4]",2,836f9d375678c32a5d4e4acd10007c667f091aed51de416d9a26c200fd78bb2e,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,23,5,"[8, 1, 9, 5, 16]",1,c56ab654533170129781121ead05d1c5eac46a691465656a0ce2ae48e3c1b743,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
OpenBMI_MI,0,0,24,5,"[18, 14, 17, 1, 3]",1,a9189c850ffe49196dead50ce3b124e91117b7abef9de74c896afe9c7483052f,False,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/manifests/OpenBMI_MI/random_pool_fold0_seed0.json
