subject,ba,run,model
1,0.76,fold-0/seed-1,control
10,0.75,fold-0/seed-1,control
17,0.685,fold-0/seed-1,control
28,0.95,fold-0/seed-1,control
3,0.905,fold-0/seed-1,control
45,0.875,fold-0/seed-1,control
48,0.575,fold-0/seed-1,control
54,0.615,fold-0/seed-1,control
6,0.82,fold-0/seed-1,control
