task,fold,seed,selected_epoch,inner_validation_subject_equal_BA,checkpoint_sha256
OpenBMI_MI,0,0,12,0.52,21f3ec51ec2f05afc9dd16d91eb71dc4e2a9995d9b1dca824c8db21462581626
OpenBMI_MI,0,1,10,0.5266666666666666,edc25e50ebf7dd1df5dec2b9015bdb85d823b1756ec44c446b2ab14f43728c56
OpenBMI_MI,0,2,16,0.5233333333333333,d62ac654e3be6f36544dbaee02291a63be0f09d9cee65dab766e863e4831faec
OpenBMI_MI,1,0,22,0.515,a5dfe10fdc38825e4dbe526e4e6fc68f6ae8c86c0f39d5f29bfd5d8a32a10442
OpenBMI_MI,1,1,24,0.515,0994fd16791bc434132caa09140f82def1680db968a193f96ff7637183346d36
OpenBMI_MI,1,2,14,0.5016666666666667,313bfaa303024e27f8240aa83dd673e813e0033a489d2243c4cfc17696383156
OpenBMI_MI,2,0,23,0.555,b7f1bb2f0d0681e20c466db9b1703861e497395d72bbaafec60b1b9f9f94b1b1
OpenBMI_MI,2,1,22,0.5716666666666667,0d9faf47711bb7baccd45891a77be24404b0d17cf35be9acb55f87aac8327150
OpenBMI_MI,2,2,22,0.56,d4bd5f29c3d2f6f57dd24f8f81551c927fb42305e63a07745a07ecee61921a28
OpenBMI_MI,3,0,40,0.5666666666666667,05d7c5ac5fb3269b252cd33cd3ae503b91ac9ab402f156dc6810b06f7f803606
OpenBMI_MI,3,1,11,0.5133333333333333,5520b4d468bab5cdab28535eec24bda234e2f3eb37e14606bf929aec7b1d05d7
OpenBMI_MI,3,2,38,0.5650000000000001,b6dd83bec4e08ae763c88d23cc8f99e46ff2cc00d69a506172ba5a5c9ff006ee
OpenBMI_MI,4,0,11,0.5266666666666666,711bef686bf4455e4a92729167792588619d8072f7b0ba50cc235ecd605fdc85
OpenBMI_MI,4,1,19,0.5333333333333333,28e3c2ac680027b0359f0070b59214192761e5cb978967232573b43e3ea3efa6
OpenBMI_MI,4,2,29,0.5633333333333334,3b0dcf5ed2f2871c801ed2e3a2e6895a75e6a06b8c593231f86eed0e95b3add8
OpenBMI_ERP,0,0,18,0.7683333333333332,a8b6c751c5d28cecd3bf0136d5d966e09f1f3344f65eb7a76289917b4185ae00
OpenBMI_ERP,0,1,19,0.7686868686868688,02f78521357285b7ecb9f6ced250ccf0d33137ec589d8d897f332723c0008cc6
OpenBMI_ERP,0,2,27,0.761010101010101,e9faff26d0aba6c06db15f216b395e8e69fabab4e743dde671a44c860e8a6857
OpenBMI_ERP,1,0,21,0.7182828282828283,01ffc8e63de2fa2fce7725621159afced345b2a095a0d62c29b9e04c1dc3e719
OpenBMI_ERP,1,1,16,0.692878787878788,780dcace8cd28cb25c3305aa7cbda755f5a30abe57e2a970ddbebe0b1dcb0672
OpenBMI_ERP,1,2,20,0.7186363636363636,ebda407c4ff9ba9f78d7597bdfe02769076ae3760053ea328063d41ea24f8967
OpenBMI_ERP,2,0,28,0.6867171717171717,9fe71905c97b8aad052fbc8f1b3cbe1b8340c667099205e59a5a1853bd990ff8
OpenBMI_ERP,2,1,27,0.6938888888888889,225745cf422ed8f33514231add689fe8a25b07f51bab52ee4466922bddc65ded
OpenBMI_ERP,2,2,21,0.688030303030303,2fcaba8a1fae40dddd5793de074c5bc66129ade1df80976769a8ca2bb9205215
OpenBMI_ERP,3,0,21,0.7422727272727272,e82e054c306c3c50cdef98c3eb54f6e87c2ec8d6bc527de9b3148f91ef99fbfa
OpenBMI_ERP,3,1,21,0.7458585858585858,8460f0417f5d57011d8420da50f4051ccb23169f68d2970a6ab944934e49d6a4
OpenBMI_ERP,3,2,21,0.7475757575757576,c09c2641a8d0a358834425eddf053bc80be463f1430878e327346c9471981d92
OpenBMI_ERP,4,0,23,0.7272222222222222,bf3f1290a2b4d13f8b95e22dda643597bfa8bfa54f146599d9c9f5438b0db46d
