task,dataset,fold,seed,subject_id,BA,macro_F1,accuracy,trials
OpenBMI_ERP,OpenBMI,0,0,17,0.7096969696969697,0.6262131004987246,0.7101010101010101,1980
OpenBMI_ERP,OpenBMI,0,0,18,0.7951515151515152,0.7157048949140206,0.795959595959596,1980
OpenBMI_ERP,OpenBMI,0,0,24,0.81,0.7388011575031005,0.8186868686868687,1980
OpenBMI_ERP,OpenBMI,0,0,25,0.6787878787878787,0.6301776861418709,0.7393939393939394,1980
OpenBMI_ERP,OpenBMI,0,0,29,0.8106060606060606,0.7431647945991089,0.8237373737373738,1980
OpenBMI_ERP,OpenBMI,0,0,36,0.8315151515151515,0.7307772601415199,0.8,1980
OpenBMI_ERP,OpenBMI,0,0,37,0.8,0.7534192157085295,0.8404040404040404,1980
OpenBMI_ERP,OpenBMI,0,0,39,0.6718181818181819,0.6170891573876649,0.7217171717171718,1980
OpenBMI_ERP,OpenBMI,0,0,42,0.7696969696969698,0.716917423601774,0.8101010101010101,1980
OpenBMI_ERP,OpenBMI,0,0,51,0.6445454545454545,0.6013243963498345,0.7166666666666667,1980
OpenBMI_ERP,OpenBMI,0,0,54,0.676060606060606,0.6252091921827158,0.7328282828282828,1980
OpenBMI_ERP,OpenBMI,1,0,4,0.7881818181818182,0.6869748591386866,0.76010101010101,1980
OpenBMI_ERP,OpenBMI,1,0,12,0.8584848484848484,0.7697540969146819,0.8368686868686869,1980
OpenBMI_ERP,OpenBMI,1,0,13,0.803030303030303,0.702448662723935,0.7747474747474747,1980
OpenBMI_ERP,OpenBMI,1,0,17,0.7124242424242424,0.634929148339294,0.7227272727272728,1980
OpenBMI_ERP,OpenBMI,1,0,18,0.8090909090909091,0.725966145001597,0.803030303030303,1980
OpenBMI_ERP,OpenBMI,1,0,24,0.8151515151515152,0.7279836550655207,0.803030303030303,1980
OpenBMI_ERP,OpenBMI,1,0,25,0.6493939393939394,0.6016723383568303,0.7126262626262626,1980
OpenBMI_ERP,OpenBMI,1,0,29,0.8090909090909091,0.7323670617624481,0.8111111111111111,1980
OpenBMI_ERP,OpenBMI,1,0,36,0.8424242424242425,0.7438868172783906,0.8121212121212121,1980
OpenBMI_ERP,OpenBMI,1,0,37,0.8036363636363637,0.7264815582262744,0.806060606060606,1980
OpenBMI_ERP,OpenBMI,1,0,39,0.633030303030303,0.5831678047795573,0.6914141414141414,1980
OpenBMI_ERP,OpenBMI,1,0,42,0.7457575757575758,0.6786116766453181,0.7702020202020202,1980
OpenBMI_ERP,OpenBMI,1,0,51,0.6315151515151516,0.5851399070266404,0.696969696969697,1980
OpenBMI_ERP,OpenBMI,1,0,54,0.6618181818181819,0.6045912043234667,0.7070707070707071,1980
OpenBMI_ERP,OpenBMI,2,0,4,0.793030303030303,0.7138076972113421,0.7944444444444444,1980
OpenBMI_ERP,OpenBMI,2,0,12,0.86,0.7724404428889264,0.8393939393939394,1980
OpenBMI_ERP,OpenBMI,2,0,13,0.7827272727272727,0.6901872256452397,0.7671717171717172,1980
OpenBMI_ERP,OpenBMI,2,0,17,0.6781818181818182,0.5671937818279281,0.6292929292929293,1980
OpenBMI_ERP,OpenBMI,2,0,18,0.8096969696969698,0.7269641069966336,0.804040404040404,1980
OpenBMI_ERP,OpenBMI,2,0,24,0.8118181818181818,0.7011073950204385,0.7691919191919192,1980
OpenBMI_ERP,OpenBMI,2,0,25,0.6696969696969697,0.6141801135347755,0.7181818181818181,1980
OpenBMI_ERP,OpenBMI,2,0,29,0.8124242424242425,0.7282764993888295,0.8045454545454546,1980
OpenBMI_ERP,OpenBMI,2,0,36,0.8390909090909091,0.7383481714493325,0.8065656565656566,1980
OpenBMI_ERP,OpenBMI,2,0,37,0.8403030303030303,0.7678028084803166,0.8409090909090909,1980
OpenBMI_ERP,OpenBMI,2,0,39,0.6254545454545455,0.5655361619601722,0.6626262626262627,1980
OpenBMI_ERP,OpenBMI,2,0,42,0.7724242424242425,0.7107394765349837,0.8005050505050505,1980
OpenBMI_ERP,OpenBMI,2,0,51,0.6351515151515151,0.5789110967236526,0.6808080808080809,1980
