BA,accuracy,dataset,fold,macro_F1,seed,subject_id,task,trials
0.7854545454545454,0.7696969696969697,OpenBMI,0,0.692929292929293,0,4,OpenBMI_ERP,1980
0.8548484848484847,0.842929292929293,OpenBMI,0,0.7740879486057237,0,12,OpenBMI_ERP,1980
0.7860606060606061,0.7808080808080808,OpenBMI,0,0.701201286824789,0,13,OpenBMI_ERP,1980
0.7096969696969697,0.7101010101010101,OpenBMI,0,0.6262131004987246,0,17,OpenBMI_ERP,1980
0.7951515151515152,0.795959595959596,OpenBMI,0,0.7157048949140206,0,18,OpenBMI_ERP,1980
0.81,0.8186868686868687,OpenBMI,0,0.7388011575031005,0,24,OpenBMI_ERP,1980
0.6787878787878787,0.7393939393939394,OpenBMI,0,0.6301776861418709,0,25,OpenBMI_ERP,1980
0.8106060606060606,0.8237373737373738,OpenBMI,0,0.7431647945991089,0,29,OpenBMI_ERP,1980
0.8315151515151515,0.8,OpenBMI,0,0.7307772601415199,0,36,OpenBMI_ERP,1980
0.8,0.8404040404040404,OpenBMI,0,0.7534192157085295,0,37,OpenBMI_ERP,1980
0.6718181818181819,0.7217171717171718,OpenBMI,0,0.6170891573876649,0,39,OpenBMI_ERP,1980
0.7696969696969698,0.8101010101010101,OpenBMI,0,0.716917423601774,0,42,OpenBMI_ERP,1980
0.6445454545454545,0.7166666666666667,OpenBMI,0,0.6013243963498345,0,51,OpenBMI_ERP,1980
0.676060606060606,0.7328282828282828,OpenBMI,0,0.6252091921827158,0,54,OpenBMI_ERP,1980
0.7684848484848485,0.7494949494949495,OpenBMI,0,0.6729273878019181,1,4,OpenBMI_ERP,1980
0.8651515151515152,0.843939393939394,OpenBMI,0,0.778017160838689,1,12,OpenBMI_ERP,1980
0.7878787878787878,0.7919191919191919,OpenBMI,0,0.710075288872714,1,13,OpenBMI_ERP,1980
0.683939393939394,0.6671717171717172,OpenBMI,0,0.5913230775205768,1,17,OpenBMI_ERP,1980
0.766969696969697,0.7772727272727272,OpenBMI,0,0.6917337057655802,1,18,OpenBMI_ERP,1980
0.8212121212121212,0.7626262626262627,OpenBMI,0,0.6990589528829674,1,24,OpenBMI_ERP,1980
0.6736363636363636,0.7267676767676767,OpenBMI,0,0.6207126217738106,1,25,OpenBMI_ERP,1980
0.8087878787878788,0.8065656565656566,OpenBMI,0,0.7286486211833273,1,29,OpenBMI_ERP,1980
0.8133333333333334,0.7898989898989899,OpenBMI,0,0.7171801520678591,1,36,OpenBMI_ERP,1980
0.8154545454545454,0.8378787878787879,OpenBMI,0,0.7568508361480379,1,37,OpenBMI_ERP,1980
0.6684848484848485,0.704040404040404,OpenBMI,0,0.6059174202243283,1,39,OpenBMI_ERP,1980
0.7772727272727273,0.7843434343434343,OpenBMI,0,0.7006363946347821,1,42,OpenBMI_ERP,1980
0.6551515151515152,0.6777777777777778,OpenBMI,0,0.5860639837261975,1,51,OpenBMI_ERP,1980
0.6957575757575758,0.7131313131313132,OpenBMI,0,0.6225406947474409,1,54,OpenBMI_ERP,1980
0.7672727272727273,0.7878787878787878,OpenBMI,0,0.6994496415514123,2,4,OpenBMI_ERP,1980
0.8212121212121212,0.8212121212121212,OpenBMI,0,0.7446877331219695,2,12,OpenBMI_ERP,1980
0.7739393939393939,0.7666666666666667,OpenBMI,0,0.6867689357622244,2,13,OpenBMI_ERP,1980
0.6906060606060607,0.6944444444444444,OpenBMI,0,0.6096101283016852,2,17,OpenBMI_ERP,1980
0.7881818181818182,0.7803030303030303,OpenBMI,0,0.7015707296081128,2,18,OpenBMI_ERP,1980
0.7872727272727273,0.7808080808080808,OpenBMI,0,0.7016249999999999,2,24,OpenBMI_ERP,1980
0.6599999999999999,0.7444444444444445,OpenBMI,0,0.6235679214402619,2,25,OpenBMI_ERP,1980
0.7654545454545454,0.7929292929292929,OpenBMI,0,0.7024123733108109,2,29,OpenBMI_ERP,1980
0.8087878787878788,0.7823232323232323,OpenBMI,0,0.7099595245726187,2,36,OpenBMI_ERP,1980
0.8224242424242425,0.8414141414141414,OpenBMI,0,0.7623608879321284,2,37,OpenBMI_ERP,1980
0.6448484848484848,0.6989898989898989,OpenBMI,0,0.592549829849295,2,39,OpenBMI_ERP,1980
0.750909090909091,0.7888888888888889,OpenBMI,0,0.6936463941154523,2,42,OpenBMI_ERP,1980
0.6506060606060606,0.6984848484848485,OpenBMI,0,0.5949628546336536,2,51,OpenBMI_ERP,1980
0.6487878787878788,0.7035353535353536,OpenBMI,0,0.5967230145046615,2,54,OpenBMI_ERP,1980
0.7881818181818182,0.76010101010101,OpenBMI,1,0.6869748591386866,0,4,OpenBMI_ERP,1980
0.8584848484848484,0.8368686868686869,OpenBMI,1,0.7697540969146819,0,12,OpenBMI_ERP,1980
0.803030303030303,0.7747474747474747,OpenBMI,1,0.702448662723935,0,13,OpenBMI_ERP,1980
0.7124242424242424,0.7227272727272728,OpenBMI,1,0.634929148339294,0,17,OpenBMI_ERP,1980
0.8090909090909091,0.803030303030303,OpenBMI,1,0.725966145001597,0,18,OpenBMI_ERP,1980
0.8151515151515152,0.803030303030303,OpenBMI,1,0.7279836550655207,0,24,OpenBMI_ERP,1980
0.6493939393939394,0.7126262626262626,OpenBMI,1,0.6016723383568303,0,25,OpenBMI_ERP,1980
0.8090909090909091,0.8111111111111111,OpenBMI,1,0.7323670617624481,0,29,OpenBMI_ERP,1980
0.8424242424242425,0.8121212121212121,OpenBMI,1,0.7438868172783906,0,36,OpenBMI_ERP,1980
0.8036363636363637,0.806060606060606,OpenBMI,1,0.7264815582262744,0,37,OpenBMI_ERP,1980
0.633030303030303,0.6914141414141414,OpenBMI,1,0.5831678047795573,0,39,OpenBMI_ERP,1980
0.7457575757575758,0.7702020202020202,OpenBMI,1,0.6786116766453181,0,42,OpenBMI_ERP,1980
0.6315151515151516,0.696969696969697,OpenBMI,1,0.5851399070266404,0,51,OpenBMI_ERP,1980
0.6618181818181819,0.7070707070707071,OpenBMI,1,0.6045912043234667,0,54,OpenBMI_ERP,1980
0.7681818181818182,0.7429292929292929,OpenBMI,1,0.6683361421196514,1,4,OpenBMI_ERP,1980
0.8490909090909091,0.8111111111111111,OpenBMI,1,0.7450295007189252,1,12,OpenBMI_ERP,1980
0.7739393939393939,0.7262626262626263,OpenBMI,1,0.6588811188811189,1,13,OpenBMI_ERP,1980
0.6909090909090909,0.6707070707070707,OpenBMI,1,0.5958799134511359,1,17,OpenBMI_ERP,1980
0.8106060606060606,0.7732323232323233,OpenBMI,1,0.7037310058022761,1,18,OpenBMI_ERP,1980
0.8154545454545454,0.8095959595959596,OpenBMI,1,0.7333041792206205,1,24,OpenBMI_ERP,1980
0.6584848484848485,0.7015151515151515,OpenBMI,1,0.6001286225934949,1,25,OpenBMI_ERP,1980
0.796969696969697,0.7868686868686868,OpenBMI,1,0.7094630023964539,1,29,OpenBMI_ERP,1980
0.8075757575757576,0.7641414141414141,OpenBMI,1,0.6960785634908401,1,36,OpenBMI_ERP,1980
0.7972727272727274,0.7833333333333333,OpenBMI,1,0.706922625461524,1,37,OpenBMI_ERP,1980
0.6363636363636364,0.6747474747474748,OpenBMI,1,0.5764120594601705,1,39,OpenBMI_ERP,1980
0.7366666666666666,0.7611111111111111,OpenBMI,1,0.6688770053475936,1,42,OpenBMI_ERP,1980
0.6254545454545455,0.6707070707070707,OpenBMI,1,0.5695078031212485,1,51,OpenBMI_ERP,1980
0.6572727272727272,0.6954545454545454,OpenBMI,1,0.5963744899915113,1,54,OpenBMI_ERP,1980
0.7554545454545454,0.7580808080808081,OpenBMI,1,0.6741244684963278,2,4,OpenBMI_ERP,1980
0.8312121212121213,0.8297979797979798,OpenBMI,1,0.7552014105470382,2,12,OpenBMI_ERP,1980
0.7848484848484849,0.7909090909090909,OpenBMI,1,0.708231120020616,2,13,OpenBMI_ERP,1980
0.7193939393939394,0.7101010101010101,OpenBMI,1,0.6298361471587941,2,17,OpenBMI_ERP,1980
0.8306060606060606,0.8247474747474748,OpenBMI,1,0.7507183003593043,2,18,OpenBMI_ERP,1980
0.7948484848484849,0.7752525252525253,OpenBMI,1,0.700134668836161,2,24,OpenBMI_ERP,1980
