task,seed,subject_equal_BA,subject_equal_macro_F1,trial_accuracy,checkpoint_folds,heldout_subjects
OpenBMI_MI,0,0.522857142857143,0.505249169993671,0.5228571428571429,5,14
OpenBMI_MI,1,0.5235714285714288,0.5091533971050562,0.5235714285714286,5,14
OpenBMI_MI,2,0.5214285714285716,0.4900824091458332,0.5214285714285715,5,14
OpenBMI_ERP,0,0.7546320346320347,0.6755020482037042,0.7588455988455989,5,14
OpenBMI_ERP,1,0.7508138528138528,0.6797737515268576,0.7671428571428571,5,14
OpenBMI_ERP,2,0.751138528138528,0.6833290090349594,0.7722727272727272,5,14
OpenBMI_SSVEP,0,0.27757142857142864,0.2642402425321951,0.2775714285714286,5,14
OpenBMI_SSVEP,1,0.32542857142857157,0.31603896058120107,0.32542857142857146,5,14
OpenBMI_SSVEP,2,0.29600000000000004,0.28283181604670943,0.296,5,14
WBCIC_MI,0,0.6779999999999998,0.674444182188745,0.6779999999999999,5,10
WBCIC_MI,1,0.6755,0.6728101816847659,0.6755,5,10
WBCIC_MI,2,0.6888000000000001,0.6863870904553662,0.6888,5,10
