C_cosine,C_standardized_euclidean,H_cosine,H_standardized_euclidean,P_cosine,P_standardized_euclidean,mechanism_cosine,mechanism_standardized_euclidean,random_excess_included_in_drift,split,status,subject,drift_C_effect_norm,drift_C_to_C_norm,drift_C_to_P_norm,drift_PC_prediction_flip_disagreement_rate,drift_P_effect_norm,drift_P_oppose_C_support_rate,drift_P_support_C_oppose_rate,drift_P_to_C_norm,drift_P_to_P_norm,drift_final_C_true_margin,drift_final_P_true_margin,drift_interaction_norm,drift_interaction_random_excess,drift_local_C_context_sensitivity,drift_local_P_context_sensitivity,drift_protected_top10_interaction_norm
0.17775051264819589,1.201314395054018,0.6839575860006654,1.1770601073562368,0.7504123295830195,1.0986517098252444,0.3408110696753188,0.9928799828878911,True,TRAIN,PAIRED,1,-1.309432568443838,-2.1603769680454845,-0.7269859081071007,0.0,-0.002968864077901534,0.665791775651059,-0.36177469415651875,-0.13472094418045366,0.14927891613179955,-0.9532618360349406,0.08242469538568442,0.64605791376771,0.1716403674697956,2.6087102565025493,-1.8110564364848258e-07,0.283363717914797
0.37793071390708455,1.0448223828355014,0.6823171502233746,0.9766611917993661,0.7193663125687744,0.3209396535903072,0.5951432243994148,1.201486656035951,True,TRAIN,PAIRED,2,-1.0905109632111878,-1.538254484992518,1.5219355406720096,-1.586584826269978,-0.9542684085428219,0.3328958878255295,1.447098776626075,-0.8989918796810215,-1.0159527982230563,-0.9274507759122892,0.2790673517386384,-0.09643974247280465,-1.510634954025648,1.7391400241488553,-6.64054026766614e-07,-1.870369847488139
0.6669803478930744,0.889924145365472,0.8450553007199729,0.8143713019034,0.9546744335718051,0.4201393047686951,-0.014748172838680785,1.0022494571134497,True,TRAIN,PAIRED,7,1.5711998922472956,0.46229200381537067,2.0300282141030443,-0.7932924131349889,-0.4954489785425414,-1.331583551302118,-0.36177469415651875,-0.5785746010982812,-0.39826124173404037,-0.17367143321220602,-0.7845398886554094,1.4254531153045404,0.4572946125910568,-1.7391404647073876,-1.2073709576565506e-07,-0.2919214309856109
0.7868468194927708,1.1309923069678707,0.890203411492761,1.0355945963977795,0.3300847047782583,0.6593487280798365,-0.027802713015077935,1.2079890099728783,True,TRAIN,PAIRED,10,-0.3072370685599296,-0.005237662639532958,0.9974406566896742,-1.1899386197024833,-0.7844062341010583,0.0,3.617746941565187,-0.8230652845533097,-0.7372914197600043,-0.4686275782857721,-0.1604763914825018,0.4425409479623784,-1.3926940396221674,1.739140179640102,-3.622112873524763e-07,-0.7160320829096516
0.3069591900342016,1.025451139855724,0.8263699039033712,1.0509891466180312,0.8658461584233123,0.8419498267423424,-0.021509824992258477,1.181131350538575,True,TRAIN,PAIRED,16,2.448648779080495,2.4780971872649573,-0.4769466998594373,-1.5865848262699775,0.2058615031725241,-0.665791775651059,-1.447098776626075,-0.031516673116796345,0.4796826138224903,0.13412670360400974,0.7845057034629003,0.6381520291315184,-0.5682976022683035,-1.7391401537248943,-4.829483830626202e-07,-0.4903826542560463
0.15928944852657673,1.11387928747502,0.6929362982836701,1.025220105589325,0.9332339584155827,0.4041661572396739,0.48238855858051144,0.8003792698069012,True,TRAIN,PAIRED,20,1.309590011117983,1.1577827496377586,0.7156118861439451,1.1899386197024833,0.2588055891478511,0.0,1.0853240824695563,0.25849156567910225,0.2650545963847184,-0.03650070169344244,0.4337775879660621,0.10897273926806861,-0.5721962054172091,-1.7391400241488553,-1.8110564364848258e-07,-0.5751547827873547
0.5605755521931978,0.8988502223706156,0.788673233719986,0.9651431405399375,0.29445312339006074,1.7623521376669105,-0.3685451245181475,1.1514492129772176,True,TRAIN,PAIRED,21,-1.3262970689151334,-0.6052097469671888,-2.896170838899916,-1.5865848262699778,-0.16601080476160301,0.9986876634765884,-1.0853240824695563,-0.06720035984905803,-0.2538246648148314,-0.3947649788581826,-1.0782288025790328,-0.6978010764613578,-0.023297635473443268,-1.8140645430264613e-07,2.0256321538919813,-0.04566854080771413
0.7421896168038682,1.0861892305508667,0.874811400601512,1.1112981364951902,0.6940397595662019,1.2063592902025908,0.5033471840137206,0.9810577726422043,True,TRAIN,PAIRED,22,0.4079756922877629,0.41350833201912873,-0.47463387870499973,-1.5865848262699778,-0.9419853112936971,-0.9986876634765884,1.8088734707825935,-0.9487118891235966,-0.9248388303346553,-0.7187767917149376,0.33476564257357966,-0.7519122011092167,-0.18474954678193078,1.5549124654512525e-07,2.025632878314556,-0.27587836769836127
0.6064628021712029,0.836999717643033,0.86801860453847,0.8291446991016853,0.9076861738929871,0.5281698896808176,0.41584253747877625,1.3078242512000688,True,TRAIN,PAIRED,23,-0.5300578406057053,-0.7006888429465142,0.3499828484349936,0.0,-0.18765278788640294,1.6644794391276474,-1.085324082469556,-0.2375616746119245,-0.08883767713996016,-0.2142416215621572,-0.5817653695404909,-1.0294060607016233,1.5976924569877424,-0.8695699732016161,4.051264790732346,1.1218493595716417
0.5231288800014022,1.059016284600785,0.4150005860878481,1.075866171349542,0.8126817065694206,0.7577993543182199,0.0698721112558456,1.778013160110363,True,TRAIN,PAIRED,27,-1.8933596838178262,-2.537488880991937,0.3005491946999503,2.3798772394049665,1.0770667252759172,-1.9973753269531769,2.532422859095631,1.0520270495308672,1.1035313397617121,-2.6934575130638874,1.8439416415418612,-0.5885725135878566,-1.6053264175512592,-1.7391401018944785,-1.207370958211662e-07,-2.0768401001654575
