split,subject,session,cluster,cluster_definition,future_BA
TRAIN,2,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,2,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,3,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,3,2,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,7,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,7,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,9,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,9,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,10,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,10,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,15,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,15,2,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,16,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,16,2,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,19,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,19,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,20,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,20,2,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,21,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,21,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,22,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,22,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,26,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,26,2,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,27,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,27,2,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,28,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,28,2,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,31,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,31,2,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,32,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,32,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,33,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,33,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,34,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,34,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,38,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,38,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,40,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,40,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,41,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,41,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,43,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,43,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,44,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,44,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,47,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,47,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,49,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,49,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,53,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,53,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
OUTER_DEVELOPMENT,1,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
OUTER_DEVELOPMENT,1,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,0.703125
OUTER_DEVELOPMENT,8,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
OUTER_DEVELOPMENT,8,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,0.703125
OUTER_DEVELOPMENT,11,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
OUTER_DEVELOPMENT,11,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,0.65625
OUTER_DEVELOPMENT,23,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
OUTER_DEVELOPMENT,23,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,0.59375
OUTER_DEVELOPMENT,30,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
OUTER_DEVELOPMENT,30,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,0.6875
OUTER_DEVELOPMENT,48,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
OUTER_DEVELOPMENT,48,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,0.640625
OUTER_DEVELOPMENT,50,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
OUTER_DEVELOPMENT,50,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,0.65625
OUTER_DEVELOPMENT,52,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
OUTER_DEVELOPMENT,52,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,0.75
