fold,seed,task,rdm_diff,cross_session_diff,loso_diff,validation_ridge_BA
0,0,mi,0.0,0.0,0.1720220588235294,0.7951388888888888
0,0,erp,0.0,0.0,0.11255514705882352,0.6388888888888888
0,0,ssvep,-0.6257815126050421,-0.5971176470588235,0.13015624999999997,0.9661458333333334
0,1,mi,0.0,0.0,0.11429227941176467,0.7916666666666667
0,1,erp,0.0,0.0,0.06056066176470587,0.6545138888888888
0,1,ssvep,-0.54290756302521,-0.529890756302521,0.13715533088235277,0.9704861111111112
1,0,mi,0.0,0.0,0.12524816176470588,0.7430555555555556
1,0,erp,0.0,0.0,0.055468749999999956,0.6371527777777778
1,0,ssvep,-0.5847563025210085,-0.5785462184873952,0.12115349264705866,0.9644097222222223
1,1,mi,0.0,0.0,0.15235294117647047,0.7013888888888888
1,1,erp,0.0,0.0,0.06904411764705887,0.6527777777777778
1,1,ssvep,-0.39423529411764713,-0.3910000000000001,0.17723345588235295,0.9678819444444444
2,0,mi,0.0,0.0,0.12285845588235311,0.7986111111111112
2,0,erp,0.0,0.0,0.10653492647058815,0.6302083333333333
2,0,ssvep,-0.6048907563025212,-0.5851848739495799,0.2652251838235291,0.9505208333333333
2,1,mi,0.0,0.0,0.1324908088235296,0.8159722222222222
2,1,erp,0.0,0.0,0.11284926470588252,0.6111111111111112
2,1,ssvep,-0.5539159663865548,-0.5264621848739498,0.1124586397058821,0.9435763888888888
