backbone,fold,seed,run_id,direction_id,direction_rank,source_pool_index,persistence,geometry_strength,identity_score,identity_full,identity_erased,D_finite,C_train_BA_harm,C_train_CE_harm,C_validation_BA_harm,C_validation_CE_harm,U_pseudo_BA,U_pseudo_BA_median_subject,U_pseudo_BA_ci_low,U_pseudo_BA_ci_high,U_pseudo_F1,U_pseudo_CE,U_pseudo_positive_subjects,U_pseudo_negative_subjects,U_pseudo_tied_subjects,U_pseudo_subject_count,model_SHA,direction_SHA,direction_construction_SHA,pseudo_subject_count,future_subject_count,outcome_loaded,U_future_BA,U_future_BA_median_subject,U_future_BA_ci_low,U_future_BA_ci_high,U_future_F1,U_future_CE,U_future_positive_subjects,U_future_negative_subjects,U_future_tied_subjects,U_future_subject_count,global_source_freeze_SHA
eegnet,0,0,eegnet|fold-0|seed-0,0,1,0,0.8612532470264427,1.9795716570886872,0.0255291617311805,0.0807482550408362,0.0552190933096556,0.0231379681892008,-0.0005,-0.0004491395124165,-0.0025,0.0010006881606093,-0.0025,0.0,-0.00875,0.0025,-0.0026348350543702,-0.0012805908511146,1,2,5,8,8f39834bb30d8d7613967ddf94c9024ffa573c9eb4ad2004036d730e92c00d1b,b2402ce40ec6cc5d35f197371c51b5fa2ff80ca937f61649470ad582efc2aef5,b206af2880ec34bd142b5b882baebebe089fd302f71d517cef097516ec02e937,8,8,False,0.00125,0.0,0.0,0.00375,0.0012736552933654,0.0007537215756884,1,0,7,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,0,0,eegnet|fold-0|seed-0,1,2,4,0.6942211700648501,1.446631697089831,0.0102907369289044,0.0807482550408362,0.0704575181119318,0.3364141605203284,0.0089999999999999,0.0114425689335871,0.02,-0.001334933012071,-0.0025,-0.005,-0.0175,0.0187499999999999,-0.002188663594563,-0.0023980990941795,1,4,3,8,8f39834bb30d8d7613967ddf94c9024ffa573c9eb4ad2004036d730e92c00d1b,29d373ee3a40bf8e060edc4706811bb1e42bf373391b3f3bd82aa916c7a95749,b206af2880ec34bd142b5b882baebebe089fd302f71d517cef097516ec02e937,8,8,False,-0.00625,-0.005,-0.01625,0.0037499999999999,-0.0065296102903123,-0.0049091145584532,1,4,3,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,0,0,eegnet|fold-0|seed-0,2,3,1,0.6873807198840449,2.004192034617365,0.0113910353635788,0.0807482550408362,0.0693572196772573,0.1693686236702535,0.0005,0.0021692255638277,0.0075,0.0090014532558429,-0.00625,-0.0149999999999999,-0.02125,0.0099999999999999,-0.0064631576594962,0.0003453755974509,3,5,0,8,8f39834bb30d8d7613967ddf94c9024ffa573c9eb4ad2004036d730e92c00d1b,b8f854e7fcafa90e3831e04361d07c79dd50c76965148f4d097a0a28c3c17c38,b206af2880ec34bd142b5b882baebebe089fd302f71d517cef097516ec02e937,8,8,False,-0.0049999999999999,0.0,-0.01,0.0,-0.0053376823640152,-0.0034553197373496,0,3,5,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,0,0,eegnet|fold-0|seed-0,3,4,2,0.624040333795183,1.7250110408069692,0.0099364369382912,0.0807482550408362,0.070811818102545,0.121679994379688,0.0025,0.0038134702342981,0.0025,0.0043258893333119,0.0074999999999999,0.01,-0.00375,0.0174999999999999,0.0073879588221215,-0.0016566665350732,6,1,1,8,8f39834bb30d8d7613967ddf94c9024ffa573c9eb4ad2004036d730e92c00d1b,d4808bece34e42391497236b480dcb8cd88fd8b2d7eb0ee8345a6f3a24aa354c,b206af2880ec34bd142b5b882baebebe089fd302f71d517cef097516ec02e937,8,8,False,-0.0024999999999999,-0.0049999999999999,-0.0099999999999999,0.00625,-0.0029632445824466,-0.0009601350406803,2,4,2,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,0,0,eegnet|fold-0|seed-0,4,5,3,0.6204578844586772,2.125409432683304,0.0089792315901309,0.0807482550408362,0.0717690234507053,0.6081593129819662,0.024,0.0374276586056862,-0.0125,-0.0114159268950402,-0.00625,0.005,-0.03,0.0137499999999999,-0.0066596305946652,0.0162838673865216,4,3,1,8,8f39834bb30d8d7613967ddf94c9024ffa573c9eb4ad2004036d730e92c00d1b,520684a24a3ad7ac4eded472120b82666be59502187f5f88cc7ddb0a060cfaaf,b206af2880ec34bd142b5b882baebebe089fd302f71d517cef097516ec02e937,8,8,False,-0.0199999999999999,-0.025,-0.04375,0.0037812499999998,-0.0198241790534481,-0.0100623360474605,2,6,0,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,0,0,eegnet|fold-0|seed-0,5,6,5,0.5853446907194544,1.823724160517713,0.0071437178338586,0.0807482550408362,0.0736045372069775,0.5126010743389674,0.0115,0.0253270312066449,0.01,0.0036743674432591,0.0112499999999999,0.005,-0.0025,0.0287499999999999,0.0130142953997736,0.0211982637445877,5,1,2,8,8f39834bb30d8d7613967ddf94c9024ffa573c9eb4ad2004036d730e92c00d1b,285af770c055097c1318f505dffbb69cba1de2a0a92cdf3b8a12027e167b6c03,b206af2880ec34bd142b5b882baebebe089fd302f71d517cef097516ec02e937,8,8,False,-0.0024999999999999,-0.0099999999999999,-0.0137499999999999,0.01125,-0.0032102026617106,0.0121147908963165,2,5,1,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,0,0,eegnet|fold-0|seed-0,6,7,8,0.5237814958968666,1.2329441672469692,0.0047635725301555,0.0807482550408362,0.0759846825106806,0.2875787542099116,0.0084999999999999,0.0120488843003842,0.0025,-0.0022113282808754,-0.0087499999999999,-0.005,-0.02,0.00125,-0.0095759763269061,-0.001064653843826,3,4,1,8,8f39834bb30d8d7613967ddf94c9024ffa573c9eb4ad2004036d730e92c00d1b,235d1885b08f3dfc35af5f59d46572f36b05413bea9704284a1aa3f308e3092d,b206af2880ec34bd142b5b882baebebe089fd302f71d517cef097516ec02e937,8,8,False,-0.0137499999999999,-0.0149999999999999,-0.0299999999999999,0.0012499999999999,-0.0143866322890142,-0.0076946454012564,3,5,0,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,0,0,eegnet|fold-0|seed-0,7,8,11,0.4355876271676587,1.0811710345207186,0.0025676589810981,0.0807482550408362,0.0781805960597381,0.0184355462560382,0.0015,1.8934345143475783e-05,-0.0025,-0.0001070589244331,0.0,0.0,-0.00375,0.00375,-0.0001187319947889,0.0002493681407966,1,1,6,8,8f39834bb30d8d7613967ddf94c9024ffa573c9eb4ad2004036d730e92c00d1b,634f6e6430729a4e15ccc3775f170d0df60b7f9426204e1ba166333d5a944e62,b206af2880ec34bd142b5b882baebebe089fd302f71d517cef097516ec02e937,8,8,False,0.0025,0.0,0.0,0.00625,0.0025397749310309,-0.0004948678524886,2,0,6,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,0,1,eegnet|fold-0|seed-1,0,1,3,0.7949086997214293,1.336678112242384,0.0089554770884703,0.0705823399497103,0.0616268628612399,0.205132274211812,0.0029999999999999,0.0052028409371149,0.0075,0.0029400084000128,-0.00375,-0.01,-0.015,0.00875,-0.0020369711625213,0.0046620542383264,2,6,0,8,7508a2f3cd4ef1fac7aa587eece8f642ff696ea2d38a4b405446371607b4bd65,61a4b76628d25461bf2f14ec1a8246fd6b519646454812f914e959d6b3884223,ada1dfc7a7eec5b0eb58269e1b077de61251a19856e988ae6629026ef00a1307,8,8,False,0.0099999999999999,0.01,-0.00125,0.0212499999999999,0.0101941276865341,0.0055252886194193,7,1,0,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,0,1,eegnet|fold-0|seed-1,1,2,0,0.7857771386374235,2.0063149584264286,0.020490661859335,0.0705823399497103,0.0500916780903752,0.0317842397859404,-0.0025,0.0011828466724616,-0.0049999999999999,-0.0014726373023902,0.0124999999999999,0.01,0.0074999999999999,0.0187499999999999,0.0137304093356767,0.0013144843014745,7,0,1,8,7508a2f3cd4ef1fac7aa587eece8f642ff696ea2d38a4b405446371607b4bd65,4e4fad538828ff66d9bbb80a3830a8b41169368d02a36f2eac2b31aff53719e2,ada1dfc7a7eec5b0eb58269e1b077de61251a19856e988ae6629026ef00a1307,8,8,False,-0.00125,0.0,-0.005,0.0025,-0.0011238328307844,0.0002963618252451,1,2,5,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,0,1,eegnet|fold-0|seed-1,2,3,2,0.7381211914911563,1.347955220173226,0.0108631219075541,0.0705823399497103,0.0597192180421561,0.1083204321341305,-0.001,0.0025695146098549,0.0025,-0.0042469890719042,0.00625,0.005,0.0,0.01375,0.006582549142982,-0.0034417921795739,4,1,3,8,7508a2f3cd4ef1fac7aa587eece8f642ff696ea2d38a4b405446371607b4bd65,b6d40a1f98b2836268e5b06c745b091fea23cd14921807e0232680b259806a84,ada1dfc7a7eec5b0eb58269e1b077de61251a19856e988ae6629026ef00a1307,8,8,False,0.0024999999999999,0.0049999999999999,-0.0075,0.0124999999999999,0.0022419538568921,-0.0002301048502442,4,3,1,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,0,1,eegnet|fold-0|seed-1,3,4,4,0.6917364420576677,1.4322088217298397,0.0067504865080088,0.0705823399497103,0.0638318534417015,0.042011992135988,-0.0035,2.443950024460617e-05,-0.0,-0.0023954526306369,0.0025,0.0,-0.0025,0.00625,0.0032246529136339,0.0003800769064857,3,1,4,8,7508a2f3cd4ef1fac7aa587eece8f642ff696ea2d38a4b405446371607b4bd65,826d16fc48c91c3b53d05972c4eb208f2ba22d6ae8b6f37a4022d3bdf7028632,ada1dfc7a7eec5b0eb58269e1b077de61251a19856e988ae6629026ef00a1307,8,8,False,0.0024999999999999,0.0,-0.005,0.0112499999999999,0.0023160802793223,0.0019971004491357,3,3,2,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
