fold,role,subject_id
0,fit_train,1
0,fit_train,3
0,fit_train,5
0,fit_train,6
0,fit_train,7
0,fit_train,9
0,fit_train,10
0,fit_train,14
0,fit_train,21
0,fit_train,22
0,fit_train,23
0,fit_train,27
0,fit_train,28
0,fit_train,30
0,fit_train,31
0,fit_train,35
0,fit_train,40
0,fit_train,44
0,fit_train,48
0,fit_train,52
0,fit_validation,8
0,fit_validation,11
0,fit_validation,34
0,fit_validation,43
0,pseudo_target,2
0,pseudo_target,16
0,pseudo_target,20
0,pseudo_target,26
0,pseudo_target,38
0,pseudo_target,45
0,pseudo_target,50
0,pseudo_target,53
0,outcome,15
0,outcome,19
0,outcome,32
0,outcome,33
0,outcome,41
0,outcome,46
0,outcome,47
0,outcome,49
1,fit_train,1
1,fit_train,6
1,fit_train,7
1,fit_train,8
1,fit_train,11
1,fit_train,16
1,fit_train,22
1,fit_train,26
1,fit_train,27
1,fit_train,28
1,fit_train,30
1,fit_train,31
1,fit_train,32
1,fit_train,33
1,fit_train,35
1,fit_train,38
1,fit_train,41
1,fit_train,46
1,fit_train,49
1,fit_train,53
1,fit_validation,5
1,fit_validation,9
1,fit_validation,20
1,fit_validation,23
1,pseudo_target,3
1,pseudo_target,10
1,pseudo_target,15
1,pseudo_target,19
1,pseudo_target,21
1,pseudo_target,45
1,pseudo_target,47
1,pseudo_target,52
1,outcome,2
1,outcome,14
1,outcome,34
1,outcome,40
1,outcome,43
1,outcome,44
1,outcome,48
1,outcome,50
2,fit_train,1
2,fit_train,2
2,fit_train,5
2,fit_train,6
2,fit_train,7
2,fit_train,14
2,fit_train,15
2,fit_train,23
2,fit_train,26
2,fit_train,28
2,fit_train,30
2,fit_train,32
2,fit_train,35
2,fit_train,40
2,fit_train,41
2,fit_train,44
2,fit_train,48
2,fit_train,49
2,fit_train,50
2,fit_train,52
2,fit_validation,3
2,fit_validation,20
2,fit_validation,27
2,fit_validation,43
2,pseudo_target,8
2,pseudo_target,11
2,pseudo_target,19
2,pseudo_target,33
2,pseudo_target,34
2,pseudo_target,38
2,pseudo_target,46
2,pseudo_target,47
2,outcome,9
2,outcome,10
2,outcome,16
2,outcome,21
2,outcome,22
2,outcome,31
2,outcome,45
2,outcome,53
3,fit_train,3
3,fit_train,8
3,fit_train,9
3,fit_train,10
3,fit_train,14
3,fit_train,15
3,fit_train,21
3,fit_train,22
3,fit_train,28
3,fit_train,30
3,fit_train,31
3,fit_train,33
3,fit_train,41
3,fit_train,43
3,fit_train,45
3,fit_train,47
3,fit_train,48
3,fit_train,50
3,fit_train,52
3,fit_train,53
3,fit_validation,16
3,fit_validation,34
3,fit_validation,40
3,fit_validation,46
3,pseudo_target,2
3,pseudo_target,11
3,pseudo_target,19
3,pseudo_target,27
3,pseudo_target,32
3,pseudo_target,38
3,pseudo_target,44
3,pseudo_target,49
3,outcome,1
3,outcome,5
3,outcome,6
3,outcome,7
3,outcome,20
3,outcome,23
3,outcome,26
3,outcome,35
4,fit_train,1
4,fit_train,2
4,fit_train,7
4,fit_train,9
4,fit_train,10
4,fit_train,14
4,fit_train,16
4,fit_train,19
4,fit_train,21
4,fit_train,26
4,fit_train,31
4,fit_train,32
4,fit_train,33
4,fit_train,35
4,fit_train,41
4,fit_train,45
4,fit_train,46
4,fit_train,47
4,fit_train,48
4,fit_train,49
4,fit_validation,5
4,fit_validation,20
4,fit_validation,23
4,fit_validation,53
4,pseudo_target,6
4,pseudo_target,15
4,pseudo_target,22
4,pseudo_target,34
4,pseudo_target,40
4,pseudo_target,43
4,pseudo_target,44
4,pseudo_target,50
4,outcome,3
4,outcome,8
4,outcome,11
4,outcome,27
4,outcome,28
4,outcome,30
4,outcome,38
4,outcome,52
