backbone,fold,seed,best_epoch,epochs_executed,fit_validation_BA,fit_validation_NLL,elapsed_seconds,checkpoint_SHA,pseudo_target_used_for_training_or_selection,outcome_used
eegnet,0,0,56,60,0.745,0.5326192378997803,53.56940507888794,8f39834bb30d8d7613967ddf94c9024ffa573c9eb4ad2004036d730e92c00d1b,False,False
eegnet,0,1,31,43,0.7025,0.5904924869537354,39.164135217666626,7508a2f3cd4ef1fac7aa587eece8f642ff696ea2d38a4b405446371607b4bd65,False,False
eegnet,0,2,58,60,0.735,0.5708421468734741,53.66356921195984,74c491966aa50489fbfdfc7f1028ad50a0c4bcf26dd399a1a4f3b4db50657e65,False,False
eegnet,1,0,42,54,0.6975,0.6459333300590515,48.701744556427,bd97a16bb813c5e730cf26430c1c470301c58e64aefa79077f20e87e14beaab7,False,False
eegnet,1,1,55,60,0.705,0.6771760582923889,53.83475971221924,d0813add84cef27e90a78b88ba4e037fb5e6145a8a76ee611cadb0111093d1bd,False,False
eegnet,1,2,60,60,0.7225,0.6338684558868408,53.73542284965515,66a42c43d91bbfb594a90011c21f078c3d5b01b8df9cfcc9ea39fbb99cf65377,False,False
eegnet,2,0,57,60,0.855,0.34499862790107727,53.8108856678009,e4c507878c1343989477ec802d12b55ab3fef0d9decb26f6007b102a6c30e7af,False,False
eegnet,2,1,16,28,0.815,0.4284861087799072,26.52141547203064,37440a1a3c0bc6bf408229c07175d5aaa0afd0e95b035253b12d372c8f509607,False,False
eegnet,2,2,59,60,0.8574999999999999,0.34151971340179443,53.781341314315796,f0dcf8034ccf8d7603145d0a684c1878c014d6a86186c40aed4df0beac852943,False,False
eegnet,3,0,44,56,0.7425,0.553372859954834,50.43260645866394,4eb210595ed6a9e536223ea048b3432b2909f0e2c82e66d97cac4b4e1ba83a5f,False,False
eegnet,3,1,11,23,0.6875,0.6556540131568909,22.403902053833008,4597035dda18b898b269407d2e99c404b6b8b01f800aef54fa385d320d74f740,False,False
eegnet,3,2,29,41,0.71,0.6409241557121277,37.54599070549011,1a7ac5ef03cb8bfab3cc1ae79119d4ccaa6b2174ddea593f0a4f3b9d8bc5ce25,False,False
eegnet,4,0,20,32,0.6900000000000001,0.6206709146499634,29.86885666847229,92a6f4bc144770462e2e26e30e506bd92bf649560f276f4360d5657619734d10,False,False
eegnet,4,1,54,60,0.75,0.5459578633308411,53.81416440010071,dd3cce44106ca90a78650140db79bd829c3ce75a6b8c8f06c0aee25e3859c48d,False,False
eegnet,4,2,59,60,0.7500000000000001,0.5344269275665283,53.85614085197449,05d55471fcfe3072c6246d37d503e2958aba6044f9c437676c2a79610a472163,False,False
eegconformer,0,0,52,60,0.725,0.6766169667243958,40.006518840789795,eb5eb3cce24555c06120746557baecdc0b94b4303b68f1342736d42b90dca5ef,False,False
eegconformer,0,1,50,60,0.7525,0.6908103823661804,40.07647752761841,ef930d37a0f8916872e97ffc5bee8fb183780a5059d2bd3669e564bb4f5d729f,False,False
eegconformer,0,2,37,49,0.7275,0.6254127621650696,33.64880108833313,8788be7e3b2ba230077ede28811d91ad96e5a5cf7c30ec62a01d23493149bf2a,False,False
eegconformer,1,0,37,49,0.7525,0.6140766739845276,33.398629903793335,e6165d7053f42cd8f2071a7762903897001085ae5f8861f48658ddc017e44411,False,False
eegconformer,1,1,33,45,0.7549999999999999,0.5293391942977905,31.125993967056274,928da8dc01b210a0dc1322fc39822973cdef714d7af497b14e2ca58da2706ced,False,False
eegconformer,1,2,47,59,0.7749999999999999,0.5918415188789368,39.956284284591675,35310d68effc01d95e50e5be87e2d75e4496625cb7c2008dd116c441160794ff,False,False
eegconformer,2,0,39,51,0.8699999999999999,0.31785911321640015,34.48172163963318,e2c4dd3bc6cd1bbecd16560f32794d5b4f6ad857a70050a5bfbefecf47072501,False,False
eegconformer,2,1,38,50,0.8775000000000001,0.30381450057029724,33.816001415252686,3978f1239db1a3003134316c433adc18769486cf79636d5696fde3c1cc0f0ea4,False,False
eegconformer,2,2,50,60,0.885,0.3295941948890686,40.0515615940094,7b0b17624299e215aecfef8120a4257e6656efd985ae29ea8754fa0d21f1aa07,False,False
eegconformer,3,0,60,60,0.77,0.6742305755615234,40.052775621414185,23149a98e8484fa4b7bc6441f2da3d985b674341e245837d7420a8b9c2ec098d,False,False
eegconformer,3,1,56,60,0.7224999999999999,0.7201218605041504,40.040292501449585,1ca1842d590b99e672c8b6782a490b7af3e4409f0b44e1458f8ca2a338c95158,False,False
eegconformer,3,2,38,50,0.7449999999999999,0.6311113834381104,33.91041302680969,eb8d5c6daae4f5fd81db086edfd51d66ec3292b1dcdf8c0c22a719cdf53e42f9,False,False
eegconformer,4,0,55,60,0.785,0.5434677600860596,40.5960648059845,7a318429f2be3e88fd85972b968c6603a4e034a3776442398a2507501bf921aa,False,False
eegconformer,4,1,55,60,0.7775000000000001,0.5129351615905762,40.79619383811951,b199cbcc4c205beacc854ac6a102da05638e973f911dcdb3cf557190e7d5eee2,False,False
eegconformer,4,2,17,29,0.7,0.6052266955375671,21.46914052963257,8630f0b29a5393ef3e3c77b8d398c6041e1834a6fd4ee651fbf90aa34fa291d0,False,False
