comparison,task,candidate,seed_scope,feature_family,B0_BA,candidate_BA,selective_policy_BA,policy_delta_vs_B0_pp,policy_delta_vs_candidate_pp,ci_low_pp,ci_high_pp,nonnegative_folds,positive_folds,worst_fold_pp,switch_rate_disagreements,switch_rate_all_trials,intervention_precision,realized_rescue_count,realized_harm_count,switched_both_wrong_count,oracle_headroom_pp,recovered_oracle_fraction
X,OpenBMI_ERP,X,seed0,F0,0.8325530303030302,0.8349848484848484,0.8411818181818183,0.862878787878788,0.6196969696969695,0.31285984848484716,1.4553409090909093,4,4,-0.08712121212121338,0.6451570851257985,0.06248737373737374,0.6437664174580724,3186,1763,0,5.187878787878787,0.1663259345794393
X,OpenBMI_ERP,X,seed0,F1,0.8325530303030302,0.8349848484848484,0.831189393939394,-0.13636363636363638,-0.37954545454545496,-0.6734848484848477,0.37200757575757604,3,3,-1.162878787878789,0.59548950593143,0.05767676767676767,0.6217162872154116,2840,1728,0,5.187878787878787,-0.026285046728971972
X,OpenBMI_ERP,X,seed0,F2,0.8325530303030302,0.8349848484848484,0.8328257575757576,0.02727272727272717,-0.21590909090909133,-0.4818181818181813,0.5431818181818177,3,3,-1.0871212121212128,0.3876939121366184,0.03755050505050505,0.8032952252858103,2389,585,0,5.187878787878787,0.005257009345794374
X,OpenBMI_MI,X,seed0,F0,0.7847500000000001,0.793,0.7882499999999999,0.3500000000000003,-0.47500000000000153,-0.7000000000000011,1.3500000000000003,4,4,-2.125000000000001,0.4992700729927007,0.0855,0.52046783625731,178,164,0,8.975,0.0389972144846797
X,OpenBMI_MI,X,seed0,F1,0.7847500000000001,0.793,0.786,0.125000000000002,-0.6999999999999998,-0.9999999999999979,1.2500000000000024,4,4,-2.000000000000001,0.5766423357664233,0.09875,0.5063291139240507,200,195,0,8.975,0.013927576601671533
X,OpenBMI_MI,X,seed0,F2,0.7847500000000001,0.793,0.7849999999999999,0.025000000000000088,-0.8000000000000018,-1.299999999999999,1.399999999999999,2,2,-2.125000000000002,0.5941605839416059,0.10175,0.5012285012285013,204,203,0,8.975,0.002785515320334272
X,OpenBMI_SSVEP,X,seed0,F0,0.8919999999999998,0.91325,0.92075,2.875,0.7499999999999997,1.1250000000000004,5.025,5,5,1.1250000000000002,0.5200892857142857,0.05825,0.7889447236180904,157,42,34,5.5249999999999995,0.5203619909502263
X,OpenBMI_SSVEP,X,seed0,F1,0.8919999999999998,0.91325,0.9147500000000001,2.275,0.14999999999999963,0.6749999999999999,4.2,5,5,0.375000000000001,0.6049107142857143,0.06775,0.7040358744394619,157,66,48,5.5249999999999995,0.411764705882353
X,OpenBMI_SSVEP,X,seed0,F2,0.8919999999999998,0.91325,0.91275,2.0749999999999997,-0.05000000000000071,0.3250000000000005,4.0249999999999995,5,5,0.6249999999999964,0.6785714285714286,0.076,0.6653386454183267,167,84,53,5.5249999999999995,0.3755656108597285
X,WBCIC_MI,X,seed0,F0,0.7902743157380254,0.7836697621375041,0.7933437194525904,0.30694037145650105,0.9673957315086343,-0.27419354838709553,0.8870967741935486,4,4,-0.8333333333333321,0.30479102956167176,0.04826472962066183,0.5317725752508361,159,140,0,7.582640925382861,0.040479349408333365
X,WBCIC_MI,X,seed0,F1,0.7902743157380254,0.7836697621375041,0.7923743483219289,0.2100032583903566,0.8704586184424898,-0.48424160964483404,0.90355979146302,4,4,-0.5833333333333338,0.363914373088685,0.0576271186440678,0.5182072829131653,185,172,0,7.582640925382861,0.027695266129162403
X,WBCIC_MI,X,seed0,F2,0.7902743157380254,0.7836697621375041,0.7915729879439557,0.1298672205930281,0.7903225806451613,-1.0645161290322562,1.3225806451612903,3,3,-1.9956860269360295,0.49337410805300713,0.07812752219531881,0.5082644628099173,246,238,0,7.582640925382861,0.017126911569595508
XS,OpenBMI_ERP,XS,seed0,F0,0.8325530303030302,0.8317348484848486,0.8402499999999999,0.7696969696969701,0.8515151515151512,0.05378787878787929,1.4204924242424253,5,5,0.4545454545454547,0.5413405088062623,0.05588383838383838,0.6640307275192047,2939,1487,0,5.413636363636364,0.14217744192555282
XS,OpenBMI_ERP,XS,seed1,F0,0.8325530303030302,0.8423863636363637,0.8455757575757575,1.3022727272727266,0.3189393939393933,0.7909090909090899,1.8477462121212114,5,5,0.7045454545454521,0.4946167649320687,0.048724747474747476,0.6973309147447525,2691,1168,0,5.654545454545456,0.23030546623794193
XS,OpenBMI_ERP,XS,seed2,F0,0.8325530303030302,0.8339772727272727,0.8425151515151516,0.9962121212121222,0.8537878787878797,0.3469507575757581,1.6325757575757578,5,5,0.25757575757575646,0.5329601990049752,0.054103535353535355,0.7117852975495916,3050,1235,0,5.378787878787879,0.18521126760563397
XS,OpenBMI_ERP,XS,seed0,F1,0.8325530303030302,0.8317348484848486,0.8328333333333333,0.028030303030303384,0.1098484848484845,-0.5598484848484842,0.5833522727272741,2,2,-0.38636363636363896,0.45364481409001955,0.046830808080808084,0.6802372607171744,2523,1186,0,5.413636363636364,0.005177721802407006
XS,OpenBMI_ERP,XS,seed1,F1,0.8325530303030302,0.8423863636363637,0.8374621212121213,0.4909090909090922,-0.49242424242424115,0.0424242424242449,0.9825946969696987,5,5,0.026515151515150992,0.4109202768520892,0.04047979797979798,0.7195882719900187,2307,899,0,5.654545454545456,0.08681672025723493
