comparison,task,seed_scope,feature_family,bootstrap_unit,bootstrap_resamples,point_delta_pp,ci_low_pp,ci_high_pp
X,OpenBMI_ERP,seed0,F0,real_subject,10000,0.862878787878788,0.31285984848484716,1.4553409090909093
X,OpenBMI_ERP,seed0,F1,real_subject,10000,-0.13636363636363638,-0.6734848484848477,0.37200757575757604
X,OpenBMI_ERP,seed0,F2,real_subject,10000,0.02727272727272717,-0.4818181818181813,0.5431818181818177
X,OpenBMI_MI,seed0,F0,real_subject,10000,0.3500000000000003,-0.7000000000000011,1.3500000000000003
X,OpenBMI_MI,seed0,F1,real_subject,10000,0.125000000000002,-0.9999999999999979,1.2500000000000024
X,OpenBMI_MI,seed0,F2,real_subject,10000,0.025000000000000088,-1.299999999999999,1.399999999999999
X,OpenBMI_SSVEP,seed0,F0,real_subject,10000,2.875,1.1250000000000004,5.025
X,OpenBMI_SSVEP,seed0,F1,real_subject,10000,2.275,0.6749999999999999,4.2
X,OpenBMI_SSVEP,seed0,F2,real_subject,10000,2.0749999999999997,0.3250000000000005,4.0249999999999995
X,WBCIC_MI,seed0,F0,real_subject,10000,0.30694037145650105,-0.27419354838709553,0.8870967741935486
X,WBCIC_MI,seed0,F1,real_subject,10000,0.2100032583903566,-0.48424160964483404,0.90355979146302
X,WBCIC_MI,seed0,F2,real_subject,10000,0.1298672205930281,-1.0645161290322562,1.3225806451612903
XS,OpenBMI_ERP,seed0,F0,real_subject,10000,0.7696969696969701,0.05378787878787929,1.4204924242424253
XS,OpenBMI_ERP,seed1,F0,real_subject,10000,1.3022727272727266,0.7909090909090899,1.8477462121212114
XS,OpenBMI_ERP,seed2,F0,real_subject,10000,0.9962121212121222,0.3469507575757581,1.6325757575757578
XS,OpenBMI_ERP,seed0,F1,real_subject,10000,0.028030303030303384,-0.5598484848484842,0.5833522727272741
XS,OpenBMI_ERP,seed1,F1,real_subject,10000,0.4909090909090922,0.0424242424242449,0.9825946969696987
XS,OpenBMI_ERP,seed2,F1,real_subject,10000,0.14469696969696993,-0.5310795454545457,0.7272727272727275
XS,OpenBMI_ERP,seed0,F2,real_subject,10000,0.11666666666666543,-0.3310606060606075,0.550776515151515
