comparison,task,seed,feature_family,heldout_fold,selected_threshold,training_subject_equal_policy_BA,B0_BA,candidate_BA,selective_policy_BA,policy_delta_vs_B0_pp,policy_delta_vs_candidate_pp,fraction_disagreement_trials_switched,fraction_all_trials_switched,realized_rescue_count,realized_harm_count,switched_both_wrong_count,intervention_precision
X,OpenBMI_ERP,0,F0,0,0.46,0.8475662878787878,0.8046590909090909,0.8176136363636364,0.8187499999999999,1.4090909090909096,0.11363636363636159,0.6347926267281107,0.06957070707070707,779,323,0,0.7068965517241379
X,OpenBMI_ERP,0,F0,1,0.44,0.8269128787878788,0.8907575757575757,0.8923106060606061,0.9002272727272728,0.9469696969696976,0.791666666666667,0.6858440575321726,0.0571969696969697,510,396,0,0.5629139072847682
X,OpenBMI_ERP,0,F0,2,0.46,0.8612310606060607,0.765,0.7571590909090908,0.7641287878787879,-0.08712121212121338,0.6969696969696959,0.5206372194062274,0.04539141414141414,444,275,0,0.6175243393602226
X,OpenBMI_ERP,0,F0,3,0.46,0.8295170454545454,0.8755681818181817,0.8862878787878788,0.8919318181818182,1.6363636363636385,0.5643939393939423,0.7216764898493778,0.06957070707070707,763,339,0,0.6923774954627949
X,OpenBMI_ERP,0,F0,4,0.46,0.8450662878787879,0.826780303030303,0.8215530303030303,0.8308712121212121,0.4090909090909076,0.9318181818181809,0.6565064478311841,0.0707070707070707,690,430,0,0.6160714285714286
X,OpenBMI_ERP,0,F1,0,0.81,0.8415625,0.8046590909090909,0.8176136363636364,0.8114772727272728,0.681818181818182,-0.6136363636363662,0.29147465437788017,0.03194444444444444,451,55,0,0.8913043478260869
X,OpenBMI_ERP,0,F1,1,0.05,0.8206249999999999,0.8907575757575757,0.8923106060606061,0.8924621212121212,0.17045454545454863,0.015151515151518025,0.9969719909159728,0.0831439393939394,627,690,0,0.4760820045558087
X,OpenBMI_ERP,0,F1,2,0.09,0.855558712121212,0.765,0.7571590909090908,0.7533712121212122,-1.162878787878789,-0.37878787878787984,0.8204199855177408,0.07152777777777777,637,496,0,0.5622241835834069
X,OpenBMI_ERP,0,F1,3,0.84,0.8233522727272727,0.8755681818181817,0.8862878787878788,0.8790530303030303,0.3484848484848452,-0.7234848484848511,0.1951538965291421,0.018813131313131313,263,35,0,0.8825503355704698
X,OpenBMI_ERP,0,F1,4,0.17,0.838873106060606,0.826780303030303,0.8215530303030303,0.8195833333333333,-0.7196969696969688,-0.1969696969696954,0.7702227432590856,0.08295454545454546,862,452,0,0.6560121765601218
X,OpenBMI_ERP,0,F2,0,0.82,0.8476231060606061,0.8046590909090909,0.8176136363636364,0.8096590909090908,0.5000000000000004,-0.7954545454545479,0.39055299539170507,0.0428030303030303,585,93,0,0.8628318584070797
X,OpenBMI_ERP,0,F2,1,0.71,0.8280492424242425,0.8907575757575757,0.8923106060606061,0.8936363636363637,0.28787878787878834,0.13257575757575774,0.34519303557910674,0.02878787878787879,370,86,0,0.8114035087719298
X,OpenBMI_ERP,0,F2,2,0.78,0.8614015151515152,0.765,0.7571590909090908,0.7541287878787879,-1.0871212121212128,-0.3030303030303036,0.48587979724837077,0.04236111111111111,458,213,0,0.6825633383010432
X,OpenBMI_ERP,0,F2,3,0.78,0.8294791666666667,0.8755681818181817,0.8862878787878788,0.8843560606060605,0.8787878787878803,-0.19318181818181596,0.5042567125081859,0.04861111111111111,663,107,0,0.861038961038961
X,OpenBMI_ERP,0,F2,4,0.8,0.8448579545454546,0.826780303030303,0.8215530303030303,0.8223484848484848,-0.44318181818182034,0.07954545454545298,0.23388042203985931,0.02518939393939394,313,86,0,0.7844611528822055
X,OpenBMI_MI,0,F0,0,0.56,0.793125,0.82375,0.83875,0.8374999999999999,1.3750000000000013,-0.12500000000000422,0.3358208955223881,0.05625,28,17,0,0.6222222222222222
X,OpenBMI_MI,0,F0,1,0.55,0.7962499999999999,0.8062499999999999,0.8325,0.815,0.8749999999999993,-1.7500000000000013,0.10091743119266056,0.01375,9,2,0,0.8181818181818182
X,OpenBMI_MI,0,F0,2,0.46,0.8146875,0.73,0.72875,0.7362500000000001,0.6249999999999992,0.7500000000000007,0.6685082872928176,0.15125,63,58,0,0.5206611570247934
X,OpenBMI_MI,0,F0,3,0.36,0.8043750000000001,0.79125,0.76875,0.77,-2.125000000000001,0.1250000000000001,0.9071428571428571,0.15875,55,72,0,0.4330708661417323
X,OpenBMI_MI,0,F0,4,0.54,0.80375,0.7725,0.79625,0.7825,1.0000000000000022,-1.3750000000000027,0.3140495867768595,0.0475,23,15,0,0.6052631578947368
X,OpenBMI_MI,0,F1,0,0.52,0.791875,0.82375,0.83875,0.8262499999999999,0.2500000000000044,-1.250000000000001,0.5373134328358209,0.09,37,35,0,0.5138888888888888
X,OpenBMI_MI,0,F1,1,0.52,0.79625,0.8062499999999999,0.8325,0.81875,1.2499999999999998,-1.3750000000000013,0.23853211009174313,0.0325,18,8,0,0.6923076923076923
X,OpenBMI_MI,0,F1,2,0.52,0.82125,0.73,0.72875,0.7375,0.750000000000002,0.8750000000000036,0.5966850828729282,0.135,57,51,0,0.5277777777777778
X,OpenBMI_MI,0,F1,3,0.39,0.8049999999999999,0.79125,0.76875,0.77125,-2.000000000000001,0.2500000000000002,0.8571428571428571,0.15,52,68,0,0.43333333333333335
X,OpenBMI_MI,0,F1,4,0.51,0.8118749999999999,0.7725,0.79625,0.7762500000000001,0.37500000000000455,-2.0000000000000004,0.5702479338842975,0.08625,36,33,0,0.5217391304347826
X,OpenBMI_MI,0,F2,0,0.58,0.8290625,0.82375,0.83875,0.8387499999999999,1.5000000000000013,-4.107825191113079e-15,0.417910447761194,0.07,34,22,0,0.6071428571428571
X,OpenBMI_MI,0,F2,1,0.44,0.8365624999999999,0.8062499999999999,0.8325,0.825,1.875,-0.7500000000000007,0.8899082568807339,0.12125,56,41,0,0.5773195876288659
X,OpenBMI_MI,0,F2,2,0.47,0.855,0.73,0.72875,0.725,-0.5000000000000018,-0.37500000000000033,0.6077348066298343,0.1375,53,57,0,0.4818181818181818
X,OpenBMI_MI,0,F2,3,0.53,0.8453124999999999,0.79125,0.76875,0.77,-2.125000000000002,0.12499999999999872,0.8214285714285714,0.14375,49,66,0,0.4260869565217391
X,OpenBMI_MI,0,F2,4,0.48,0.8431249999999999,0.7725,0.79625,0.7662499999999999,-0.6249999999999978,-3.0000000000000027,0.2396694214876033,0.03625,12,17,0,0.41379310344827586
X,OpenBMI_SSVEP,0,F0,0,0.51,0.928125,0.84875,0.90125,0.90375,5.5,0.24999999999999883,0.6911764705882353,0.1175,57,13,24,0.8142857142857143
X,OpenBMI_SSVEP,0,F0,1,0.49,0.91625,0.91,0.9287500000000001,0.9500000000000001,4.000000000000002,2.124999999999999,0.5504587155963303,0.075,44,12,4,0.7857142857142857
X,OpenBMI_SSVEP,0,F0,2,0.53,0.935,0.8574999999999999,0.875,0.8799999999999999,2.2499999999999964,0.49999999999999906,0.29357798165137616,0.04,22,4,6,0.8461538461538461
X,OpenBMI_SSVEP,0,F0,3,0.54,0.9359374999999999,0.86625,0.87,0.8775,1.1250000000000002,0.7500000000000013,0.4027777777777778,0.03625,19,10,0,0.6551724137931034
X,OpenBMI_SSVEP,0,F0,4,0.51,0.9078124999999999,0.9774999999999999,0.99125,0.9925,1.5000000000000013,0.1250000000000001,0.8181818181818182,0.0225,15,3,0,0.8333333333333334
X,OpenBMI_SSVEP,0,F1,0,0.33,0.929375,0.84875,0.90125,0.9,5.125,-0.1250000000000001,0.8161764705882353,0.13875,61,20,30,0.7530864197530864
X,OpenBMI_SSVEP,0,F1,1,0.4,0.9165625,0.91,0.9287500000000001,0.9375,2.75,0.8749999999999967,0.6513761467889908,0.08875,42,20,9,0.6774193548387096
X,OpenBMI_SSVEP,0,F1,2,0.35,0.9346875,0.8574999999999999,0.875,0.87375,1.6249999999999967,-0.12500000000000083,0.44036697247706424,0.06,26,13,9,0.6666666666666666
X,OpenBMI_SSVEP,0,F1,3,0.38,0.9325,0.86625,0.87,0.87,0.375000000000001,2.1649348980190553e-15,0.3472222222222222,0.03125,14,11,0,0.56
X,OpenBMI_SSVEP,0,F1,4,0.35,0.905625,0.9774999999999999,0.99125,0.9924999999999999,1.5000000000000013,0.1250000000000001,0.7272727272727273,0.02,14,2,0,0.875
X,OpenBMI_SSVEP,0,F2,0,0.54,0.9465625,0.84875,0.90125,0.9,5.125,-0.1250000000000001,0.7720588235294118,0.13125,58,17,30,0.7733333333333333
X,OpenBMI_SSVEP,0,F2,1,0.36,0.9346875,0.91,0.9287500000000001,0.9275,1.7500000000000002,-0.1250000000000029,0.8807339449541285,0.12,49,35,12,0.5833333333333334
X,OpenBMI_SSVEP,0,F2,2,0.47,0.951875,0.8574999999999999,0.875,0.86375,0.6249999999999964,-1.1250000000000009,0.3669724770642202,0.05,20,15,5,0.5714285714285714
X,OpenBMI_SSVEP,0,F2,3,0.4,0.9503125,0.86625,0.87,0.8825,1.6249999999999996,1.2500000000000004,0.6111111111111112,0.055,26,13,5,0.6666666666666666
X,OpenBMI_SSVEP,0,F2,4,0.34,0.92875,0.9774999999999999,0.99125,0.99,1.2500000000000009,-0.1250000000000001,0.8636363636363636,0.02375,14,4,1,0.7777777777777778
X,WBCIC_MI,0,F0,0,0.56,0.7995273042929293,0.7871428571428571,0.7850000000000001,0.7942857142857143,0.7142857142857134,0.9285714285714278,0.4357976653696498,0.08,61,51,0,0.5446428571428571
