comparison,task,target,feature_family,heldout_fold,training_scope,feature,standardized_coefficient,mean_coefficient,mean_absolute_coefficient,sign_consistency
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,2,seed0,JS_divergence,-0.1521484286251839,0.03360321352826733,0.09502602128318301,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,b0_top1_probability,-0.02852547780151074,-0.023644510901156445,0.026327291658903646,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,b0_margin,-0.028525679713308702,-0.02364481924390327,0.026327249219010883,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,b0_entropy,0.370100432402909,0.27318096168422434,0.2731809616842243,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,b0_logit_l2_norm,0.07739932670704265,0.1174656065372713,0.11746560653727127,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,candidate_top1_probability,-0.024626934563832192,-0.04345557699327135,0.04345557699327134,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,candidate_margin,-0.02462738403185632,-0.04345594616762962,0.04345594616762963,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,candidate_entropy,-0.09263868518713034,-0.25186526585832325,0.2518652658583233,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,candidate_logit_l2_norm,0.06373051531068637,0.09181163475894238,0.1167401272148942,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,top1_probability_difference,0.0011735283514502132,-0.015254342757963987,0.020848882243387722,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,margin_difference,0.0011733450107308876,-0.01525440378629966,0.020848831397510915,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,entropy_difference,-0.28642810692743537,-0.3456468936421245,0.3456468936421245,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,probability_L1_distance,-0.03977435905386858,-0.05126821347493632,0.05126821347493632,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,JS_divergence,0.2253162959233547,0.03360321352826733,0.09502602128318301,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,b0_top1_probability,-0.04016215313260646,-0.023644510901156445,0.026327291658903646,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,b0_margin,-0.04016238319474302,-0.02364481924390327,0.026327249219010883,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,b0_entropy,0.3203579272422126,0.27318096168422434,0.2731809616842243,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,b0_logit_l2_norm,0.14442317523553597,0.1174656065372713,0.11746560653727127,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,candidate_top1_probability,-0.01824170160162411,-0.04345557699327135,0.04345557699327134,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,candidate_margin,-0.01824204734564403,-0.04345594616762962,0.04345594616762963,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,candidate_entropy,-0.05345898511524802,-0.25186526585832325,0.2518652658583233,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,candidate_logit_l2_norm,0.3148034390232393,0.09181163475894238,0.1167401272148942,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,top1_probability_difference,0.012812820362109121,-0.015254342757963987,0.020848882243387722,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,margin_difference,0.012812724017297245,-0.01525440378629966,0.020848831397510915,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,entropy_difference,-0.22527394878223145,-0.3456468936421245,0.3456468936421245,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,probability_L1_distance,-0.042880536210516976,-0.05126821347493632,0.05126821347493632,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,JS_divergence,0.02276995953698003,0.03360321352826733,0.09502602128318301,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,b0_top1_probability,-0.06594353705646976,-0.0491067447707349,0.0491067447707349,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,b0_margin,-0.06594396784445963,-0.04910711679584823,0.04910711679584823,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,b0_entropy,0.12418601301654685,0.18217211052276733,0.18217211052276733,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,b0_logit_l2_norm,0.021893241261593362,0.05716006171646741,0.06194253455262786,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,candidate_top1_probability,-0.033350342061357355,0.0007362296222452449,0.018523852256490857,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,candidate_margin,-0.03335056869521909,0.0007360571352047118,0.018523795677961453,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,candidate_entropy,-0.004526342403709853,0.09042999400456328,0.1103043758850865,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,candidate_logit_l2_norm,0.52840963363401,0.554882680080095,0.554882680080095,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,top1_probability_difference,0.018907586340684825,0.03182557139408807,0.03182557139408807,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,margin_difference,0.018907703789730442,0.031825688490381754,0.031825688490381754,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,entropy_difference,-0.07472998149615306,-0.038008509523200965,0.066577434550448,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,probability_L1_distance,-0.07436606349927274,-0.03461675141144712,0.041510449261939794,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,JS_divergence,-0.08590409937235016,-0.15252952761947233,0.1600352943493965,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,b0_centered_logit_0,0.2294235548234504,0.2483949340235858,0.2483949340235858,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,b0_centered_logit_1,-0.2294235548234504,-0.2483949340235858,0.2483949340235858,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,candidate_centered_logit_0,-0.22175062458718084,-0.21649724946737087,0.21649724946737087,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,candidate_centered_logit_1,0.22175062458718084,0.21649724946737087,0.21649724946737087,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,delta_centered_logit_0,-0.2558289950387955,-0.26159834757389905,0.26159834757389905,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,delta_centered_logit_1,0.2558289950387955,0.26159834757389905,0.26159834757389905,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,b0_probability_0,-0.5034472375635731,-0.5390828954709084,0.5390828954709084,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,b0_probability_1,0.503447709176925,0.5390833100820565,0.5390833100820565,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,candidate_probability_0,0.5763163371976743,0.5608755532244464,0.5608755532244464,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,candidate_probability_1,-0.576316114147799,-0.5608753780491617,0.5608753780491617,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,delta_probability_0,0.5860857732579416,0.5969037671674239,0.5969037671674238,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,delta_probability_1,-0.5860858732125317,-0.596903869212502,0.596903869212502,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,b0_signed_logit_margin,-0.22942355482345014,-0.24839493402358603,0.2483949340235861,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,candidate_signed_logit_margin,0.22175062458718042,0.21649724946736995,0.21649724946736998,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,signed_margin_delta,0.25582899503879625,0.26159834757389927,0.26159834757389927,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,b0_top1_probability,-0.050209695150963074,-0.0491067447707349,0.0491067447707349,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,b0_margin,-0.050210199173434424,-0.04910711679584823,0.04910711679584823,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,b0_entropy,0.12747076760146275,0.18217211052276733,0.18217211052276733,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,b0_logit_l2_norm,0.07917672253891216,0.05716006171646741,0.06194253455262786,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,candidate_top1_probability,0.007523969841104802,0.0007362296222452449,0.018523852256490857,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,candidate_margin,0.0075238201618947126,0.0007360571352047118,0.018523795677961453,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,candidate_entropy,0.029691513196002637,0.09042999400456328,0.1103043758850865,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,candidate_logit_l2_norm,0.47493678793334626,0.554882680080095,0.554882680080095,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,top1_probability_difference,0.03753089624490152,0.03182557139408807,0.03182557139408807,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,margin_difference,0.03753111465096588,0.031825688490381754,0.031825688490381754,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,entropy_difference,-0.051353715770180594,-0.038008509523200965,0.066577434550448,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,probability_L1_distance,-0.029880985143297904,-0.03461675141144712,0.041510449261939794,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,JS_divergence,-0.20976002440567107,-0.15252952761947233,0.1600352943493965,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,b0_centered_logit_0,0.2350885913129095,0.2483949340235858,0.2483949340235858,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,b0_centered_logit_1,-0.2350885913129095,-0.2483949340235858,0.2483949340235858,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,candidate_centered_logit_0,-0.17493905137245902,-0.21649724946737087,0.21649724946737087,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,candidate_centered_logit_1,0.17493905137245902,0.21649724946737087,0.21649724946737087,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,delta_centered_logit_0,-0.22843116980350917,-0.26159834757389905,0.26159834757389905,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,delta_centered_logit_1,0.22843116980350917,0.26159834757389905,0.26159834757389905,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,b0_probability_0,-0.5149368441127556,-0.5390828954709084,0.5390828954709084,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,b0_probability_1,0.5149374106317397,0.5390833100820565,0.5390833100820565,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,candidate_probability_0,0.46724410247008225,0.5608755532244464,0.5608755532244464,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,candidate_probability_1,-0.46724394654578005,-0.5608753780491617,0.5608753780491617,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,delta_probability_0,0.5307281111401084,0.5969037671674239,0.5969037671674238,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,delta_probability_1,-0.5307283018908282,-0.596903869212502,0.596903869212502,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,b0_signed_logit_margin,-0.23508859131290955,-0.24839493402358603,0.2483949340235861,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,candidate_signed_logit_margin,0.17493905137245838,0.21649724946736995,0.21649724946736998,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,signed_margin_delta,0.22843116980350917,0.26159834757389927,0.26159834757389927,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,b0_top1_probability,-0.03928507815308468,-0.0491067447707349,0.0491067447707349,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,b0_margin,-0.0392852559919279,-0.04910711679584823,0.04910711679584823,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,b0_entropy,0.1825422919055347,0.18217211052276733,0.18217211052276733,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,b0_logit_l2_norm,0.16585540167508375,0.05716006171646741,0.06194253455262786,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,candidate_top1_probability,-0.011118714524256676,0.0007362296222452449,0.018523852256490857,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,candidate_margin,-0.011118777661672774,0.0007360571352047118,0.018523795677961453,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,candidate_entropy,-0.045159612297598205,0.09042999400456328,0.1103043758850865,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,candidate_logit_l2_norm,0.4756312741782325,0.554882680080095,0.554882680080095,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,top1_probability_difference,0.01678194977573048,0.03182557139408807,0.03182557139408807,1.0
