comparison,task,target,feature_family,heldout_fold,subject_id,total_fit_weight,expected_equal_weight,absolute_difference,equal_weight_pass
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,1,185.46875,185.46875,0.0,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,10,185.46875,185.46875,0.0,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,11,185.46875000000003,185.46875,2.842170943040401e-14,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,14,185.46875,185.46875,0.0,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,16,185.46875,185.46875,0.0,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,19,185.46875,185.46875,0.0,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,2,185.46875,185.46875,0.0,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,20,185.46875,185.46875,0.0,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,21,185.46875,185.46875,0.0,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,22,185.46874999999997,185.46875,2.842170943040401e-14,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,23,185.46875,185.46875,0.0,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,26,185.46875000000003,185.46875,2.842170943040401e-14,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,27,185.46875,185.46875,0.0,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,28,185.46875,185.46875,0.0,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,30,185.46875000000003,185.46875,2.842170943040401e-14,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,31,185.46875,185.46875,0.0,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,34,185.46875,185.46875,0.0,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,35,185.46875,185.46875,0.0,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,40,185.46875,185.46875,0.0,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,41,185.46875,185.46875,0.0,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,43,185.46875,185.46875,0.0,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,44,185.46875,185.46875,0.0,True
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,45,185.46875,185.46875,0.0,True
