task,target,feature_family,heldout_fold,heldout_seed,n_rows,n_rescue,ROC_AUC,PR_AUC,balanced_accuracy,precision_RESCUE,recall_RESCUE
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,0,1965,1254,0.6281558646648586,0.7343816486964863,0.5933872367916339,0.7231695085255767,0.5749601275917066
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,1,1896,1141,0.6545774300456786,0.745796354392598,0.612342490321607,0.7227488151658767,0.5346187554776511
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,2,2235,1388,0.6978095260777996,0.7879677339086915,0.6422268457243568,0.7568058076225045,0.600864553314121
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,1,0,1337,639,0.6611355493675201,0.6414354224183013,0.606596759801086,0.5890625,0.5899843505477308
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,1,1,1358,743,0.721914015910011,0.7445741153485133,0.6616704417380648,0.7257799671592775,0.594885598923284
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,1,2,1293,632,0.6874820467645876,0.6887990452205751,0.6219072559796244,0.6192052980132451,0.5917721518987342
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,2,0,1302,682,0.6602379150506102,0.6825981703614349,0.6190615835777127,0.675146771037182,0.5058651026392962
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,2,1,1442,630,0.6178160919540229,0.5578895605520933,0.5717296113847838,0.5870206489675516,0.31587301587301586
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,2,2,1226,676,0.6630177514792899,0.7156329065680007,0.6110301237224314,0.7189054726368159,0.4275147928994083
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,0,1688,968,0.7240272038567493,0.7768687733774287,0.6629074839302111,0.7070506454816285,0.7355371900826446
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,1,1420,1017,0.710555787347109,0.8624497967836313,0.6625554164806234,0.8702791461412152,0.5211406096361848
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,2,1583,1040,0.7437615101289135,0.853832787441176,0.6715009208103131,0.7792207792207793,0.75
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,0,1884,983,0.6743744658077437,0.6918642819479197,0.6312563298606838,0.6332429990966576,0.7131230925737538
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,1,1686,937,0.6771960621989048,0.7157593047575497,0.6323066115902669,0.6730564430244942,0.6744930629669157
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,2,1703,1004,0.6678650206042782,0.7306647770608498,0.617561228619143,0.6842619745845552,0.6972111553784861
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,0,1965,1254,0.7807477394419433,0.8201164656448106,0.7734305076077228,0.8236173393124065,0.8787878787878788
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,1,1896,1141,0.8311728412975721,0.8636428461854789,0.8089279184635297,0.8444252376836646,0.8562664329535495
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,2,2235,1388,0.8219159671871225,0.840457255167708,0.791350809264092,0.8324137931034483,0.8695965417867435
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,0,1337,639,0.8651725699629167,0.8585988333068295,0.8423497047230855,0.8536184210526315,0.812206572769953
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,1,1358,743,0.8704220420400703,0.873042303600995,0.8330400814102353,0.85,0.8465679676985195
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,1,2,1293,632,0.8658534249985638,0.8420965288405075,0.8454860778643789,0.8343653250773994,0.8528481012658228
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,0,1302,682,0.7647597199886482,0.76561594111262,0.7254398826979472,0.7407407407407407,0.7331378299120235
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,1,1442,630,0.7631147861443428,0.7236795926249281,0.74064039408867,0.7818181818181819,0.6142857142857143
