"chronological_index","stage","branch","commit_sha","local_experiment_path","dataset","biological_subject_count","sessions","task","backbone","seed_count","split_protocol","training_role","validation_role","future_outer_role","intervention","primary_hypothesis","primary_metric","statistical_unit","exact_primary_result","exact_effect_size","confidence_interval","p_or_permutation","controls","protocol_frozen_before_outcome","prospective_status","evidence_class","validator_status","exact_terminal","scientific_interpretation","stronger_not_justified","manuscript_role","authoritative_source"
"-3","STAGE0_SEED0","SERVER_ONLY_NON_GIT","UNKNOWN","paper_closure/evidence_sources/server_only_early/delivery/persist_eeg_stage0","OpenBMI offline/train cohort","54","2 repeated MI sessions; ERP/SSVEP task-specific audits","MI; ERP; SSVEP","EEGNet; ConvTransformer; handcrafted","1","5 subject-disjoint folds; offline/train-only; no external or outer evaluation","Historical development representation and task-head training","Seed-0 fold/subject aggregate diagnostics only; no multi-seed inference","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Erase learned subject-persistent subspace; compare random erasure","Cross-session/cross-paradigm persistence contains target utility under erasure","Balanced-accuracy change after subject-subspace erasure","Biological subject within subject-disjoint folds; seed/run is not a biological sample","EEGNet subject-erasure Delta BA: MI -0.047600, ERP +0.000010, SSVEP -0.010436; ConvTransformer MI -0.021209; random-erasure EEGNet MI BA 0.739764 versus raw 0.739444","EEGNet MI subject-erasure Delta BA=-0.047600","NOT_REPORTED","NOT_REPORTED","Random erasure; task and backbone comparisons","YES; METHOD_FREEZE and SPLIT_FREEZE present","RETROSPECTIVE_DEVELOPMENT_ALREADY_OBSERVED; full OpenBMI 54 cohort was analyzed","NO_GIT_COMMIT_SERVER_ONLY_EVIDENCE; PRELIMINARY_SEED0","OFFICIAL_GATE_NOT_EVALUATED; no valid multi-seed gate","PARTIAL_CORE_ONLY; NOT_EVALUATED","Seed-0 provenance suggests MI erasure harm but is not the authoritative estimate","No multi-seed persistence-utility, task-generality, matched-random-specificity, or confirmatory claim","HISTORY_AND_MOTIVATION_ONLY; never use as the main effect estimate","paper_closure/evidence_sources/server_only_early/delivery/persist_eeg_stage0/OPENBMI_STAGE0_SEED0_CORE_SUMMARY.json; paper_closure/evidence_sources/server_only_early/SOURCE_MANIFEST.csv"
"-2","STAGE0B_SEED0_CONTROLS","SERVER_ONLY_NON_GIT","UNKNOWN","paper_closure/evidence_sources/server_only_early/outputs/persist_eeg_stage0b","OpenBMI","54","2 repeated MI sessions; ERP/SSVEP task-specific audits","MI; ERP; SSVEP","EEGNet","1","5 subject-disjoint folds; random controls use 100 draws per fold-task","Historical development with fixed-C, refit-SGD head","Seed-0 fold/subject diagnostics; fast-mode epoch caveat","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Erase train-local long/medium utility matrix; compare random and PCA controls","Train-local long/medium utility survives random and PCA controls","Raw-versus-erased balanced accuracy and matched-random Delta BA","Biological subject within folds; random draws are controls, not subjects","Raw/erase-UL BA: MI 0.738064/0.688218 (Delta -0.049846); ERP 0.650099/0.649087; SSVEP 0.924845/0.908591; matched-random mean Delta: MI -0.000257727, ERP -0.000101450, SSVEP +0.000124455","MI erase-UL Delta BA=-0.049846","NOT_REPORTED","NOT_REPORTED","100 matched-random draws per fold-task; PCA control","PARTIAL; protocol embedded in report; standalone protocol-lock commit unavailable","RETROSPECTIVE_DEVELOPMENT_ALREADY_OBSERVED","NO_GIT_COMMIT_SERVER_ONLY_EVIDENCE; PRELIMINARY_SEED0_CONTROLS","COMPLETE.json present; no multi-seed validator","SEED0_SUPPORTS_SELECTIVE_PERSISTENCE_UTILITY; MEDIUM_SUPPORTED","Historical seed-0 control evidence; medium conclusion was later revised to weak/redundant","No multi-seed inference; do not retain MEDIUM_SUPPORTED as the final conclusion","HISTORY_AND_CONTROL_PROVENANCE_ONLY","paper_closure/evidence_sources/server_only_early/outputs/persist_eeg_stage0b/FINAL_STAGE0B_SEED0_REPORT.json; paper_closure/evidence_sources/server_only_early/SOURCE_MANIFEST.csv"
"-1","P2_MULTI_SEED_CLOSURE","SERVER_ONLY_NON_GIT","UNKNOWN","paper_closure/evidence_sources/server_only_early/outputs/persist_eeg_p2p3","OpenBMI offline/train cohort","54","2 repeated MI sessions; ERP/SSVEP task-specific audits","MI; ERP; SSVEP","EEGNet","5","5 subject-disjoint folds; 54 subjects x 5 seeds=270 subject-seed rows; 10,000-draw hierarchical bootstrap over subject evidence within seed/run","Frozen development closure over five seeds","Multi-seed subject-level hierarchical bootstrap; Gates A-E","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Erase persistent UL directions; residualized and matched-random controls; long cross-session verification","Persistent directions are specifically and reproducibly useful to task decisions","Mean Delta balanced accuracy with hierarchical-bootstrap confidence intervals","54 biological subjects; 270 subject-seed rows are repeated measurements, not 270 people","MI erase-UL Delta BA -0.046462963, 5/5 seeds negative; residualized MI -0.046888889; ERP -0.003164613; SSVEP -0.009759259; long-verification drop -0.110751983; target-dependence contrast -0.043298350; matched-random MI mean -0.000037745","MI erase-UL Delta BA=-0.046462963","MI [-0.056963426,-0.035981481]; residualized MI [-0.056963889,-0.036870370]; ERP [-0.005010848,-0.001161746]; SSVEP [-0.013666667,-0.006129630]; long verification [-0.122146686,-0.100081454]; target dependence [-0.054263265,-0.032310426]","NOT_REPORTED; directional consistency 5/5 seeds negative","Residualization; matched-random same-rank erasure; multi-task and long-verification checks","YES for seeds 1-4 under P2_LOCKED_PROTOCOL; seed 0 supplied historical provenance","RETROSPECTIVE_DEVELOPMENT_ALREADY_OBSERVED; not independent confirmation","NO_GIT_COMMIT_SERVER_ONLY_EVIDENCE; AUTHORITATIVE_MULTI_SEED_MAIN","COMPLETE.json present; Gates A-E all true","P2_PASS_MULTI_SEED_PERSISTENCE_UTILITY","Removing learned persistent structure is task-harmful in tested OpenBMI settings and substantially exceeds matched-random harm in MI","No universal cross-dataset persistence-specific effect, prospective actionability, or beneficial suppression claim","PRIMARY_PERSISTENCE_UTILITY_EVIDENCE","paper_closure/evidence_sources/server_only_early/outputs/persist_eeg_p2p3/P2_FINAL_REPORT.json; paper_closure/evidence_sources/server_only_early/outputs/persist_eeg_p2p3/protocol/P2_LOCKED_PROTOCOL.json; paper_closure/evidence_sources/server_only_early/SOURCE_MANIFEST.csv"
"0","P3_TRAJECTORY_CLOSURE","SERVER_ONLY_NON_GIT","UNKNOWN","paper_closure/evidence_sources/server_only_early/outputs/persist_eeg_p2p3","OpenBMI","54","2 repeated MI sessions","MI trajectory and long cross-session verification","EEGNet","5","Frozen checkpoint grid; subject/run bootstrap with 10,000 draws where reported","Observe frozen training checkpoints; no P4 method training","Evaluate event learning, persistent-utility trajectory, compression, low-rank concentration, and multi-seed consistency","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Checkpoint-wise trajectory audit of persistent utility and representation rank","Useful persistence emerges through stable low-rank/selective-compression training dynamics","Frozen conjunction of learning, compression, low-rank, and multi-seed trajectory gates","54 biological subjects with repeated seed/run measurements","MI event epoch0-to-best +0.190222222; long AUROC +0.155700533; MI persistent-utility early-to-best -0.021425926; UL rank increased 2.8 to 4.88; compression-negative seeds=0; multi-seed consistency=false","MI persistent-utility early-to-best=-0.021425926; MI event learning=+0.190222222","MI event [0.172777315,0.207445370]; long AUROC [0.140579231,0.170819713]; persistent utility [-0.037816204,-0.004887963]","Two-sided p=0.0104 for persistent-utility early-to-best change","Frozen checkpoint grid; separate event-learning, compression, low-rank, and consistency clauses","YES; P3_CHECKPOINT_GRID present","RETROSPECTIVE_DEVELOPMENT_ALREADY_OBSERVED; external and outer not run","NO_GIT_COMMIT_SERVER_ONLY_EVIDENCE; AUTHORITATIVE_NEGATIVE_BOUNDARY","COMPLETE.json present; broad_compression=false; low_rank_concentration=false; multi_seed_consistency=false","P3_TRAJECTORY_CLAIM_NOT_SUPPORTED; GO_PERSIST_UTILITY_NO_TRAJECTORY_CLAIM","Task learning occurred, but the frozen low-rank/selective-compression trajectory claim failed","Do not explain P2 utility through universal compression, low-rank emergence, or stable trajectory","PRIMARY_NEGATIVE_TRAJECTORY_BOUNDARY; appendix/boundary analysis","paper_closure/evidence_sources/server_only_early/outputs/persist_eeg_p2p3/P3_FINAL_REPORT.json; paper_closure/evidence_sources/server_only_early/outputs/persist_eeg_p2p3/P2P3_FINAL_DECISION.json"
"1","P3_CLOSURE_P4_PILOT","codex/persist-eeg-p3-p4","37dce5fb6035422f063316b774b5197b6626a029","experiments/persist_eeg_p3closure_p4","OpenBMI","NOT_REPORTED","MI/ERP/SSVEP development sessions; exact session allocation not reported","MI; ERP; SSVEP","EEGNet","NOT_REPORTED","Development pilot with mixed partial version panel; formal outer not run","P3 closure plus P4 free-projector development pilot","Development gates over V0-V3; no formal outer evaluation","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Learned persistent/complementary-fast representation","A learned P4 representation improves task performance after P3 closure","Learned-minus-zero Delta BA with development gate conjunction","NOT_REPORTED_IN_COMPACT_REPORT; folds/seeds/runs must not be treated as biological subjects","Best-looking V2 learned-minus-zero Delta BA: MI +0.017222222, ERP +0.008013468, SSVEP -0.002777778; every V0-V3 state is DEVELOPMENT_GATES_FAIL","V2 MI learned-minus-zero Delta BA=+0.017222222","NOT_REPORTED","NOT_REPORTED","Zero baseline; V0-V3 development gate panel","NO; P4 method lock REFUSED","DEVELOPMENT_ONLY; formal outer NOT_RUN","SUPERSEDED_NEGATIVE_PILOT_HISTORY","INTEGRITY.json present; formal outer NOT_RUN","P4_MAIN_METHOD_NOT_SUPPORTED; P4 method lock REFUSED; P3_CLOSED_AND_FROZEN; selective compression NOT_SUPPORTED","Negative P4 pilot; apparent V2 deltas did not satisfy development gates","No positive P4 method result and no renewed P3 trajectory claim","HISTORY_ONLY","experiments/persist_eeg_p3closure_p4/outputs/persist_eeg_p3closure_p4/p4/P4_FINAL_REPORT.json; experiments/persist_eeg_p3closure_p4/outputs/persist_eeg_p3closure_p4/p3_closure/P3_FINAL_REPORT_V2.json"
"2","P4_SELECTIVE_INVARIANCE","codex/persist-eeg-invariance-rescue-v1","bb38e10e562fabaf99b4bfaed106ec0321fd23b8","experiments/persist_eeg_p4_selective_invariance","OpenBMI","NOT_REPORTED","MI/ERP/SSVEP development sessions","MI; ERP; SSVEP","EEGNet measured subspace","2","Folds 0-2 x seeds 0-1; 6 runs per version; development only","Selective-invariance method development; formal evaluation not authorized","Development Gates A-D and nuisance-suppression/viable-gain checks","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Suppress task-irrelevant persistent coordinates while protecting task-relevant persistence","Selective invariance can reduce nuisance persistence without sacrificing protected utility","Task-wise Delta BA plus nuisance-suppression and viable-gain gates","Biological subject intended; compact report gives fold-seed run aggregates but not distinct subject count","SI-V4 Delta BA: MI -0.000555556, ERP +0.007912458, SSVEP +0.000370370; V0-V2 passed A-D but never met viable gain; V3/V4 failed mean nuisance-suppression gate","SI-V4 ERP Delta BA=+0.007912458; MI=-0.000555556; SSVEP=+0.000370370","NOT_REPORTED","NOT_REPORTED","Versions V0-V4; protected-coordinate constraint; nuisance-suppression gate","YES; P4_SI_PROTOCOL frozen; method lock absent","DEVELOPMENT_ONLY; formal evaluation not authorized","FROZEN_NEGATIVE_DEVELOPMENT_BOUNDARY","STANDALONE_VALIDATOR_NOT_IDENTIFIED; method lock absent","P4_SI_CLOSED; P4_SELECTIVE_INVARIANCE_NOT_SUPPORTED","Detectable persistent structure did not validate selective suppression","No viable selective-invariance gain or authorized method claim","HISTORY_ONLY_NEGATIVE_BOUNDARY","experiments/persist_eeg_p4_selective_invariance/results/P4_SI_FINAL_REPORT.json; experiments/persist_eeg_p4_selective_invariance/protocol/P4_SI_PROTOCOL.json"
"3","P4_COUNTERFACTUAL_TRANSPORT_V1","codex/persist-eeg-p3-p4","66ce32d101ea386db7e7306f95c2114301f01e8f","experiments/persist_eeg_p4_counterfactual_transport","OpenBMI","NOT_REPORTED","MI development audit; exact session allocation not reported","MI","NOT_REPORTED","2","6 fold-seed audit runs; no method training or outer test","Pre-training measurement audit only","Counterfactual block-harm separation audit","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Counterfactual transport of persistent blocks","Counterfactual transport identifies harmful persistent blocks before method training","Mean MI harm difference and per-run threshold coverage","Fold-seed run aggregate; biological subject count not reported","Mean MI harm difference 0.046046949; only 4 runs reached >=0.02; separation did not hold in every run","Mean MI harm difference=0.046046949","NOT_REPORTED","NOT_REPORTED","Corrected intervention audit; run-wise threshold requirement","YES; P4_CT_PROTOCOL present","DEVELOPMENT_AUDIT_ONLY; no CT training, method lock, or outer test","INVALID_SUPERSEDED_AUDIT_HISTORY","CORRECTED_INTERVENTION_AUDIT_PRESENT; method lock refused","P4_CT_AUDIT_FAIL","The first CT audit failed its uniform run criterion and was measurement-repaired in experiment 4","No harmful-block identification or transport-method claim","INVALID_SUPERSEDED_HISTORY_ONLY","experiments/persist_eeg_p4_counterfactual_transport/outputs/persist_eeg_p4_ct/P4_CT_FINAL_REPORT.json; experiments/persist_eeg_p4_counterfactual_transport/outputs/persist_eeg_p4_ct/protocol/P4_CT_PROTOCOL.json"
"4","P4_COUNTERFACTUAL_TRANSPORT_V2","codex/persist-eeg-exp4-headroom-mechanism-audit-v1","a8725cd3e3735cf6311f01e8e6b627d551e26c80","experiments/persist_eeg_p4_ct_audit_v2","OpenBMI","NOT_REPORTED","MI/ERP/SSVEP development panel","MI; ERP; SSVEP","NOT_REPORTED","2","Repaired development audit over fold-seed runs; no outer evaluation","Repaired CT-V0/V1 development audit; no locked method training","Clean-gain, task-gain, protection, and counterfactual-robustness gates","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Repaired counterfactual transport CT-V0/V1","Repaired CT transport yields clean, task, protection, and robustness gains","Macro and task-specific Delta BA with gate conjunction","Development fold-seed panel; distinct biological subject count not reported","Macro Delta BA +0.000261777; 4 positive runs; task means MI -0.000550612, ERP +0.001109970, SSVEP +0.000225971; clean >=0.003, task >=0.005, protection, and robustness gates failed","Macro Delta BA=+0.000261777","NOT_REPORTED","NOT_REPORTED","CT-V0/V1; clean/task thresholds; protection and counterfactual-robustness checks","YES; P4_CT_AUDIT_V2_PROTOCOL present","DEVELOPMENT_ONLY; no method lock; outer not used","AUTHORITATIVE_REPAIR_NEGATIVE_DEVELOPMENT","P4_CT_AUDIT_V2_PASS for measurement integrity; scientific gates failed","P4_CT_NOT_SUPPORTED; P4_CT_AUDIT_V2_PASS","The repaired audit was technically valid but scientifically negative","No counterfactual transport benefit or method authorization","HISTORY_ONLY_NEGATIVE_METHOD_EVIDENCE","experiments/persist_eeg_p4_ct_audit_v2/outputs/persist_eeg_p4_ct_v2/P4_CT_FINAL_REPORT.json; experiments/persist_eeg_p4_ct_audit_v2/outputs/persist_eeg_p4_ct_v2/P4_CT_AUDIT_V2_PROTOCOL.json"
"5","P4_SIGNED_V3","codex/persist-eeg-p3-p4","dff9305415f3f31237f8e559ba0173d040faaffa","experiments/persist_eeg_p4_signed","OpenBMI","NOT_REPORTED","MI/ERP/SSVEP development sessions","MI; ERP; SSVEP","EEGNet lineage","2","6 fold-seed runs per task; subject-level bootstrap claimed; distinct n not reported","Signed assignment and actionability audit; method training not started","Six-gate actionable-headroom audit","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Signed harmful/protected assignment and source-defined suppression policy","Signed assignment creates actionable headroom for suppression","Mean actionable gain with 95% CI across tasks and six gates","Biological subject intended; six fold-seed runs are repeated measurements, not six people","Mean actionable gain: MI -0.000289352, ERP +0.000144676, SSVEP -0.000277778; no task met all six gates","MI actionable gain=-0.000289352","MI [-0.000868056,0]; ERP approximately [0,0.000434028]; SSVEP [-0.000833333,0]","NOT_REPORTED","Signed protected/harmful assignment; task-wise six-gate headroom checks","YES; P4_SIGNED_PROTOCOL present","DEVELOPMENT_ONLY; method training=false; outer=false","SUPERSEDED_ASSIGNMENT_PROVENANCE; PRESERVED_NEGATIVE_ACTIONABILITY_TERMINAL","Baseline reproduction passed; assignment replay provenance defective and repaired by V3.1","P4_SIGNED_PERSISTENCE_HAS_NO_ACTIONABLE_HEADROOM","No actionable suppression headroom; V3 assignment-specific positive evidence is not authoritative because sampling was unreplayable","Do not merge V3.1 protected-consequence evidence into a beneficial-suppression claim","HISTORY_ONLY_FOR_NO_HEADROOM; assignment effect superseded by V3.1","experiments/persist_eeg_p4_signed/outputs/persist_eeg_p4_signed/P4_SIGNED_FINAL_REPORT.json; experiments/persist_eeg_p4_signed/outputs/persist_eeg_p4_signed/protocol/P4_SIGNED_PROTOCOL.json"
"6","SHARED_GEOMETRY_V1_2","codex/persist-eeg-p3-p4","c7e68c18301da6c04100686f59e9523b1d7d9575","experiments/persist_eeg_p4_shared_geometry","OpenBMI","NOT_REPORTED_DISTINCT; 34_PER_RUN","MI/ERP/SSVEP development sessions","MI; ERP; SSVEP","EEGNet with Signed-V3.1 canonical blocks","2","6 runs; 204 subject-run gate values (34/run); 43 blocks; 10,000-draw subject-within-run and run-clustered bootstrap","No method training; deterministic Signed-V3.1 blocks supply geometry","Gates A-F over geometry, utility, and provenance","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Replay shared-geometry analysis from deterministic protected assignments","Task geometry is shared across subjects/sessions and linked to protected utility","Geometry-utility regression coefficient plus pooled Spearman and Gates A-F","Biological subject nested within run for subject outcomes; run-clustered block for 43-block regression","V1.2 Gates A-F pass; geometry-utility beta 0.024463423; pooled Spearman rho 0.555849270; Gate A 0.336709, Gate B 0.158137 BA, Gate C 0.339453, Gate D 0.403651; 43 blocks","Geometry-utility beta=0.024463423","Beta [0.013653064,0.042257209]; Gate A [0.239373,0.436462]; Gate B [0.121542,0.197137]; Gate C [0.247125,0.436688]; Gate D [0.315825,0.499107]","NOT_REPORTED","Deterministic Signed-V3.1 assignment replay; hierarchical subject-within-run and run-clustered block bootstrap","YES for V1.2 repaired estimand; scientific definitions preserved","VALID_DEVELOPMENT_EVIDENCE; no outer evaluation or method training","AUTHORITATIVE_PROVENANCE_REPAIR_PRIMARY_GEOMETRY","V1.1 basis-reconstruction/provenance failure preserved; V1.2 report Gates A-F pass","SHARED_GEOMETRY_V1_2_PASS","Shared geometry and its association with protected utility are supported in the repaired OpenBMI development analysis","No causal mechanism, prospective actionability, outer generalization, or method-benefit claim","PRIMARY_GEOMETRY_EVIDENCE_WITH_VERSION_REPAIR_DISCLOSURE","experiments/persist_eeg_p4_shared_geometry/results_v1_2/SHARED_GEOMETRY_FINAL_REPORT.json; experiments/persist_eeg_p4_shared_geometry/results/protocol/SHARED_GEOMETRY_PROTOCOL.json"
