task,seed,candidate,N_CC,N_RESCUE,N_HARM,N_WW,N_total,rescue_fraction_all,harm_fraction_all,rescue_given_B0_wrong,harm_given_B0_correct,balanced_rescue_rate,balanced_harm_rate,subject_equal_B0_BA,subject_equal_candidate_BA,identity_abs_error,eligible_folds,requested_folds,status
OpenBMI_ERP,0,LiteBN_X,51476,3749,2601,5534,63360,0.05916982323232323,0.041051136363636366,0.4038565119034795,0.04809808236403647,0.054820075757575755,0.05216856060606061,0.818001893939394,0.8206534090909091,6.938893903907228e-18,4,5,PROTOCOL_PARTIAL
OpenBMI_ERP,0,LiteBN_XS,64711,4526,3650,6313,79200,0.05714646464646465,0.046085858585858584,0.41756619614355567,0.0533930164860081,0.054136363636363635,0.05495454545454546,0.8325530303030302,0.8317348484848486,9.75781955236954e-18,5,5,PASS
OpenBMI_ERP,1,LiteBN_XS,39019,2494,2081,3926,47520,0.052483164983164986,0.04379208754208754,0.38847352024922116,0.050632603406326034,0.0531060606060606,0.04773989898989899,0.8276262626262625,0.8329924242424243,3.903127820947816e-17,3,5,PROTOCOL_PARTIAL
OpenBMI_ERP,2,LiteBN_XS,39511,2270,1927,3812,47520,0.04776936026936027,0.0405513468013468,0.37323248931272607,0.046503209614363626,0.04805555555555555,0.048724747474747476,0.8248232323232324,0.8241540404040405,6.938893903907228e-18,3,5,PROTOCOL_PARTIAL
OpenBMI_MI,0,LiteBN_X,2813,359,326,502,4000,0.08975,0.0815,0.4169570267131243,0.10385473080598917,0.08975000000000001,0.0815,0.7847500000000001,0.793,1.0408340855860843e-17,5,5,PASS
OpenBMI_MI,0,LiteBN_XS,2825,371,341,463,4000,0.09275,0.08525,0.4448441247002398,0.10770688566013897,0.09275,0.08525,0.7915,0.799,2.6020852139652106e-18,5,5,PASS
OpenBMI_MI,1,LiteBN_XS,2667,336,466,531,4000,0.084,0.1165,0.3875432525951557,0.14873922757740185,0.084,0.1165,0.78325,0.75075,6.938893903907228e-18,5,5,PASS
OpenBMI_MI,2,LiteBN_XS,2766,349,369,516,4000,0.08725,0.09225,0.40346820809248557,0.11770334928229666,0.08725000000000001,0.09225,0.78375,0.7787499999999999,1.6479873021779667e-17,5,5,PASS
OpenBMI_SSVEP,0,LiteBN_X,3432,221,136,211,4000,0.05525,0.034,0.5115740740740741,0.03811659192825112,0.05525,0.033999999999999996,0.8919999999999998,0.91325,3.469446951953614e-18,5,5,PASS
OpenBMI_SSVEP,0,LiteBN_XS,3467,266,101,166,4000,0.0665,0.02525,0.6157407407407407,0.028307174887892375,0.0665,0.02525,0.8919999999999998,0.9332499999999999,6.938893903907228e-18,5,5,PASS
OpenBMI_SSVEP,1,LiteBN_XS,3456,181,163,200,4000,0.04525,0.04075,0.47506561679790027,0.04504006631666206,0.04525,0.04075,0.9047499999999999,0.9092500000000001,0.0,5,5,PASS
OpenBMI_SSVEP,2,LiteBN_XS,3507,129,194,170,4000,0.03225,0.0485,0.431438127090301,0.0524182653336936,0.03225,0.04850000000000001,0.9252500000000001,0.909,6.938893903907228e-18,5,5,PASS
WBCIC_MI,0,LiteBN_X,4384,470,511,830,6195,0.07586763518966909,0.08248587570621468,0.36153846153846153,0.10439223697650664,0.07582640925382862,0.08243096285434996,0.7902743157380254,0.7836697621375041,7.806255641895632e-18,5,5,PASS
WBCIC_MI,0,LiteBN_XS,4370,523,505,797,6195,0.08442292171105731,0.08151735270379339,0.39621212121212124,0.10358974358974359,0.08437805474095797,0.08148338220918866,0.7870401596611274,0.7899348321928968,1.8648277366750676e-17,5,5,PASS
WBCIC_MI,1,LiteBN_XS,4416,482,441,856,6195,0.0778046811945117,0.0711864406779661,0.3602391629297459,0.09079678814082767,0.07775008145975887,0.07117098403388725,0.7841420250896057,0.7907211225154775,2.6020852139652106e-18,5,5,PASS
WBCIC_MI,2,LiteBN_XS,4374,555,427,839,6195,0.08958837772397095,0.06892655367231638,0.3981348637015782,0.08893980420745679,0.08953588302378622,0.06892473118279568,0.7751181166503747,0.7957292684913653,1.0408340855860843e-17,5,5,PASS
