task,mean_XS_net_delta_pp,mean_oracle_headroom_pp,min_oracle_headroom_pp,max_oracle_headroom_pp,mean_balanced_rescue_pp,mean_balanced_harm_pp,all_seeds_worth_investigating,status
OpenBMI_ERP,0.1292929292929305,5.1765993265993275,4.805555555555556,5.413636363636364,5.176599326599322,5.047306397306392,False,PROTOCOL_PARTIAL
OpenBMI_MI,-1.0,8.799999999999999,8.4,9.274999999999999,8.799999999999999,9.799999999999999,True,PASS
OpenBMI_SSVEP,0.9833333333333333,4.8,3.225,6.65,4.8,3.8166666666666664,True,PASS
WBCIC_MI,1.0028307266210479,8.388800640816768,7.775008145975885,8.953588302378625,8.388800640816768,7.3859699141957185,True,PASS
