comparison,task,seed,fold,method,checkpoint_path,expected_sha256,actual_sha256,cuda_tf32_allowed,status
X,OpenBMI_ERP,0,0,LiteBN_BASELINE,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_erp/fold0_litebn_baseline/selected_best.pt,28a3a3391845429b3068a60d65718cddfa31f46d98e01c40f947c61ce3c7b794,28a3a3391845429b3068a60d65718cddfa31f46d98e01c40f947c61ce3c7b794,False,AVAILABLE
X,OpenBMI_ERP,0,0,LiteBN_X,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_erp/fold0_litebn_x/selected_best.pt,d7cb37b6d157154a0cf019578f46678ec502e33a318db647a5d13cdd6c236cee,d7cb37b6d157154a0cf019578f46678ec502e33a318db647a5d13cdd6c236cee,False,AVAILABLE
X,OpenBMI_ERP,0,1,LiteBN_BASELINE,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_erp/fold1_litebn_baseline/selected_best.pt,d3fe53de2dd98ce38952d6944d559e093ad46ac345a4dc763f4aeecdd137fc22,d3fe53de2dd98ce38952d6944d559e093ad46ac345a4dc763f4aeecdd137fc22,False,AVAILABLE
X,OpenBMI_ERP,0,1,LiteBN_X,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_erp/fold1_litebn_x/selected_best.pt,11753c8d96656f728acfed0316ef5bf3567e9908006c285bc570352eece82657,11753c8d96656f728acfed0316ef5bf3567e9908006c285bc570352eece82657,False,AVAILABLE
X,OpenBMI_ERP,0,2,LiteBN_BASELINE,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_erp/fold2_litebn_baseline/selected_best.pt,3fe001253eab8f62281fa809e5f2bbae23c980eab7f1b1ed09acbba70c193222,3fe001253eab8f62281fa809e5f2bbae23c980eab7f1b1ed09acbba70c193222,False,AVAILABLE
X,OpenBMI_ERP,0,2,LiteBN_X,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_erp/fold2_litebn_x/selected_best.pt,b5478f2be6b9572a90c931551d9546bd3df49c7022f31e4881d5a68fa79786ac,b5478f2be6b9572a90c931551d9546bd3df49c7022f31e4881d5a68fa79786ac,False,AVAILABLE
X,OpenBMI_ERP,0,3,LiteBN_BASELINE,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_erp/fold3_litebn_baseline/selected_best.pt,039a9f8973a650797b3bfb4673ebe9b6c28618b10d2a5c67722707fe5e412e51,039a9f8973a650797b3bfb4673ebe9b6c28618b10d2a5c67722707fe5e412e51,False,AVAILABLE
X,OpenBMI_ERP,0,3,LiteBN_X,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_erp/fold3_litebn_x/selected_best.pt,c5dc7306a498b2cb8903e2e166a7d4b1c979f32f90b256bcfaa0b24376b0db41,c5dc7306a498b2cb8903e2e166a7d4b1c979f32f90b256bcfaa0b24376b0db41,False,AVAILABLE
X,OpenBMI_ERP,0,4,LiteBN_BASELINE,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_erp/fold4_litebn_baseline/selected_best.pt,c3fb4b011f1ba42b8e0ded81ece46b36d9b6c05fbb97dd532871c1f0a79d2aaa,c3fb4b011f1ba42b8e0ded81ece46b36d9b6c05fbb97dd532871c1f0a79d2aaa,False,AVAILABLE
X,OpenBMI_ERP,0,4,LiteBN_X,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_erp/fold4_litebn_x/selected_best.pt,8018a3b66123c5367420465a92937afa834a2589de74754e436ef996ea237840,8018a3b66123c5367420465a92937afa834a2589de74754e436ef996ea237840,False,AVAILABLE
X,OpenBMI_MI,0,0,LiteBN_BASELINE,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold0_litebn_baseline/selected_best.pt,aa920b25880374b8f4d427c289643f66d918f64d8042935b5b1b45dfa463c9a1,aa920b25880374b8f4d427c289643f66d918f64d8042935b5b1b45dfa463c9a1,False,AVAILABLE
X,OpenBMI_MI,0,0,LiteBN_X,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold0_litebn_x/selected_best.pt,873da01bd0c645448a22a5fa86b02461191f6a64ebeef75da29153a9c61b1f02,873da01bd0c645448a22a5fa86b02461191f6a64ebeef75da29153a9c61b1f02,False,AVAILABLE
X,OpenBMI_MI,0,1,LiteBN_BASELINE,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold1_litebn_baseline/selected_best.pt,48b6fd0269c1110c2df7cac80f1f04eab4df5758ac12f6084765fb6fbdb0d573,48b6fd0269c1110c2df7cac80f1f04eab4df5758ac12f6084765fb6fbdb0d573,False,AVAILABLE
X,OpenBMI_MI,0,1,LiteBN_X,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold1_litebn_x/selected_best.pt,3496216902f54b4337a77973bbe697456d86cddd67bb913b6e5a90224ec866cb,3496216902f54b4337a77973bbe697456d86cddd67bb913b6e5a90224ec866cb,False,AVAILABLE
X,OpenBMI_MI,0,2,LiteBN_BASELINE,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold2_litebn_baseline/selected_best.pt,c0dd602678b8f5dcf1dba8f1f11bca201db5daf49e6eef39a99417fcb672e711,c0dd602678b8f5dcf1dba8f1f11bca201db5daf49e6eef39a99417fcb672e711,False,AVAILABLE
X,OpenBMI_MI,0,2,LiteBN_X,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold2_litebn_x/selected_best.pt,73a2a61f7d62e09a991554bce21397c457dac8e9cea565ef811067acb58876fd,73a2a61f7d62e09a991554bce21397c457dac8e9cea565ef811067acb58876fd,False,AVAILABLE
X,OpenBMI_MI,0,3,LiteBN_BASELINE,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold3_litebn_baseline/selected_best.pt,4d32fccecc3caddd41ea6ec0e8f41b34bda9853dbf26eef72c5d4a57fbb97d57,4d32fccecc3caddd41ea6ec0e8f41b34bda9853dbf26eef72c5d4a57fbb97d57,False,AVAILABLE
X,OpenBMI_MI,0,3,LiteBN_X,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold3_litebn_x/selected_best.pt,43dbf3178f899416bdf26a0e37d8e4165d3ef06d7cf333bfcc2b467d4c297a14,43dbf3178f899416bdf26a0e37d8e4165d3ef06d7cf333bfcc2b467d4c297a14,False,AVAILABLE
X,OpenBMI_MI,0,4,LiteBN_BASELINE,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold4_litebn_baseline/selected_best.pt,2765697ee183b0f29ecdfaf343a7c16ba0b05781f9afa0bddd822707cc8e9501,2765697ee183b0f29ecdfaf343a7c16ba0b05781f9afa0bddd822707cc8e9501,False,AVAILABLE
X,OpenBMI_MI,0,4,LiteBN_X,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold4_litebn_x/selected_best.pt,e6adee5f94a73223aa3785cf43e290e6f3c7114bb1d2d94b7bf24e55d460c5c4,e6adee5f94a73223aa3785cf43e290e6f3c7114bb1d2d94b7bf24e55d460c5c4,False,AVAILABLE
