task,seed,candidate,metric,estimate_pp,ci95_low_pp,ci95_high_pp,resamples,bootstrap_unit,status
OpenBMI_SSVEP,1,LiteBN_XS,oracle_headroom_pp,4.5249999999999995,2.3749999999999996,7.2,10000,real_subject,PASS
OpenBMI_SSVEP,1,LiteBN_XS,balanced_rescue_pp,4.525,2.375,7.2,10000,real_subject,PASS
OpenBMI_SSVEP,1,LiteBN_XS,balanced_harm_pp,4.075,2.6,5.725,10000,real_subject,PASS
OpenBMI_SSVEP,2,LiteBN_XS,candidate_delta_pp,-1.6249999999999996,-3.2749999999999986,-0.10000000000000053,10000,real_subject,PASS
OpenBMI_SSVEP,2,LiteBN_XS,oracle_headroom_pp,3.225,1.725,5.025,10000,real_subject,PASS
OpenBMI_SSVEP,2,LiteBN_XS,balanced_rescue_pp,3.224999999999999,1.7249999999999992,5.0249999999999995,10000,real_subject,PASS
OpenBMI_SSVEP,2,LiteBN_XS,balanced_harm_pp,4.849999999999999,3.3249999999999984,6.524999999999997,10000,real_subject,PASS
WBCIC_MI,0,LiteBN_X,candidate_delta_pp,-0.6604553600521327,-2.1918784620397505,0.904081643043339,10000,real_subject,PASS
WBCIC_MI,0,LiteBN_X,oracle_headroom_pp,7.582640925382861,5.806451612903229,9.391088302378623,10000,real_subject,PASS
WBCIC_MI,0,LiteBN_X,balanced_rescue_pp,7.58264092538286,5.806451612903226,9.391088302378623,10000,real_subject,PASS
WBCIC_MI,0,LiteBN_X,balanced_harm_pp,8.243096285434994,6.582966764418377,9.96777095552297,10000,real_subject,PASS
WBCIC_MI,0,LiteBN_XS,candidate_delta_pp,0.2894672531769293,-1.291177908113392,1.9668866080156382,10000,real_subject,PASS
WBCIC_MI,0,LiteBN_XS,oracle_headroom_pp,8.437805474095793,6.698191593352883,10.274251588465297,10000,real_subject,PASS
WBCIC_MI,0,LiteBN_XS,balanced_rescue_pp,8.437805474095796,6.698191593352882,10.274251588465297,10000,real_subject,PASS
WBCIC_MI,0,LiteBN_XS,balanced_harm_pp,8.148338220918864,6.512628299120233,9.887096774193548,10000,real_subject,PASS
WBCIC_MI,1,LiteBN_XS,candidate_delta_pp,0.6579097425871613,-0.3225806451612894,1.677419354838707,10000,real_subject,PASS
WBCIC_MI,1,LiteBN_XS,oracle_headroom_pp,7.775008145975886,6.114532420984031,9.420169436298465,10000,real_subject,PASS
WBCIC_MI,1,LiteBN_XS,balanced_rescue_pp,7.775008145975887,6.114532420984032,9.420169436298469,10000,real_subject,PASS
WBCIC_MI,1,LiteBN_XS,balanced_harm_pp,7.117098403388725,5.645161290322581,8.580750040729878,10000,real_subject,PASS
WBCIC_MI,2,LiteBN_XS,candidate_delta_pp,2.061115184099053,0.45739094574779715,4.041585206907782,10000,real_subject,PASS
WBCIC_MI,2,LiteBN_XS,oracle_headroom_pp,8.953588302378627,6.709677419354841,11.389121558325188,10000,real_subject,PASS
WBCIC_MI,2,LiteBN_XS,balanced_rescue_pp,8.953588302378625,6.709677419354839,11.389121558325186,10000,real_subject,PASS
WBCIC_MI,2,LiteBN_XS,balanced_harm_pp,6.892473118279569,5.435349462365591,8.387096774193546,10000,real_subject,PASS
