comparison,task,seed,fold,subject_id,method,historical_BA,replay_BA,abs_BA_diff,historical_macro_F1,replay_macro_F1,abs_macro_F1_diff,historical_accuracy,replay_accuracy,abs_accuracy_diff,checkpoint_sha256,normalizer_sha256,status
X,OpenBMI_ERP,0,0,15,LiteBN_BASELINE,0.7884848484848486,0.7884848484848486,0.0,0.760514905465532,0.760514905465532,0.0,0.8535353535353535,0.8535353535353535,0.0,28a3a3391845429b3068a60d65718cddfa31f46d98e01c40f947c61ce3c7b794,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,PASS
X,OpenBMI_ERP,0,0,15,LiteBN_X,0.7648484848484849,0.7648484848484849,0.0,0.7476734013460173,0.7476734013460173,0.0,0.8505050505050505,0.8505050505050505,0.0,d7cb37b6d157154a0cf019578f46678ec502e33a318db647a5d13cdd6c236cee,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,PASS
X,OpenBMI_ERP,0,0,3,LiteBN_BASELINE,0.9236363636363636,0.9236363636363636,0.0,0.8307939160069486,0.8307939160069486,0.0,0.8828282828282829,0.8828282828282829,0.0,28a3a3391845429b3068a60d65718cddfa31f46d98e01c40f947c61ce3c7b794,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,PASS
X,OpenBMI_ERP,0,0,3,LiteBN_X,0.9330303030303032,0.9330303030303031,1.1102230246251565e-16,0.8540625445146665,0.8540625445146665,0.0,0.9025252525252524,0.9025252525252525,1.1102230246251565e-16,d7cb37b6d157154a0cf019578f46678ec502e33a318db647a5d13cdd6c236cee,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,PASS
X,OpenBMI_ERP,0,0,32,LiteBN_BASELINE,0.9045454545454544,0.9045454545454545,1.1102230246251565e-16,0.8104684567231942,0.8104684567231942,0.0,0.8671717171717171,0.8671717171717171,0.0,28a3a3391845429b3068a60d65718cddfa31f46d98e01c40f947c61ce3c7b794,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,PASS
X,OpenBMI_ERP,0,0,32,LiteBN_X,0.927878787878788,0.9278787878787879,1.1102230246251565e-16,0.8592807683716774,0.8592807683716774,0.0,0.908080808080808,0.908080808080808,0.0,d7cb37b6d157154a0cf019578f46678ec502e33a318db647a5d13cdd6c236cee,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,PASS
X,OpenBMI_ERP,0,0,33,LiteBN_BASELINE,0.7578787878787878,0.7578787878787878,0.0,0.7613501988748343,0.7613501988748343,0.0,0.8691919191919192,0.8691919191919192,0.0,28a3a3391845429b3068a60d65718cddfa31f46d98e01c40f947c61ce3c7b794,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,PASS
X,OpenBMI_ERP,0,0,33,LiteBN_X,0.7181818181818183,0.7181818181818183,0.0,0.7365815012873836,0.7365815012873836,0.0,0.8656565656565657,0.8656565656565657,0.0,d7cb37b6d157154a0cf019578f46678ec502e33a318db647a5d13cdd6c236cee,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,PASS
X,OpenBMI_ERP,0,0,38,LiteBN_BASELINE,0.7287878787878788,0.7287878787878788,0.0,0.69065395273547,0.69065395273547,0.0,0.7984848484848485,0.7984848484848485,0.0,28a3a3391845429b3068a60d65718cddfa31f46d98e01c40f947c61ce3c7b794,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,PASS
X,OpenBMI_ERP,0,0,38,LiteBN_X,0.7493939393939394,0.7493939393939394,0.0,0.7460985201541153,0.7460985201541153,0.0,0.8570707070707071,0.8570707070707071,0.0,d7cb37b6d157154a0cf019578f46678ec502e33a318db647a5d13cdd6c236cee,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,PASS
