task,seed,B0_BA,union_oracle_BA,union_oracle_headroom_pp,X_oracle_headroom_pp,XS_oracle_headroom_on_union_B0_pp,union_gain_over_best_single_pp,X_only_rescue,XS_only_rescue,X_and_XS_both_rescue,eligible_folds,requested_folds,B0_provenance,status
OpenBMI_ERP,0,0.818001893939394,0.8935700757575757,7.5568181818181825,5.482007575757575,5.684659090909092,1.8721590909090908,1061,1199,2688,4,5,X-seed0 historical cell,PROTOCOL_PARTIAL
OpenBMI_MI,0,0.7847500000000001,0.9032499999999999,11.85,8.975,9.575,2.2750000000000004,91,115,268,5,5,X-seed0 historical cell,PASS
OpenBMI_SSVEP,0,0.8919999999999998,0.9644999999999999,7.25,5.5249999999999995,6.65,0.5999999999999996,24,69,197,5,5,X-seed0 historical cell,PASS
WBCIC_MI,0,0.7902743157380254,0.8915862251547735,10.13119094167481,7.582640925382861,7.904040404040405,2.2271505376344045,138,158,332,5,5,X-seed0 historical cell,PASS
