epoch,loss,macro_f1,balanced_accuracy
1,1.5980670447130083,0.3009004654766648,0.3909531636070132
2,1.5451334540315254,0.2930969143482315,0.39046354847738185
3,1.4732759098627577,0.2986798740839792,0.4132472957325709
4,1.4057575010355547,0.3286059443776726,0.4384951396260396
5,1.3449059001571464,0.3421941021426236,0.4580731857228198
6,1.3046710221837254,0.35350530930363744,0.46330948606087785
7,1.2765830847508737,0.3783189881866135,0.4758303987088575
8,1.2491259594841482,0.3854444167915153,0.48484920500143547
9,1.2223988302581978,0.3867738873291918,0.4833950414485238
10,1.2111801774431972,0.3997442576526977,0.49194834510300767
11,1.190261612626798,0.4024881990485366,0.4928346097913511
12,1.1839700535750288,0.4074893427193144,0.5020908332523951
