epoch,method_strict_inductive_BA,control_strict_inductive_BA,method_loss,control_loss,geometry_loss,drift_loss,steps,elapsed_seconds
0,0.7672222222222222,0.7644444444444445,2.1764488472065455,0.4335750328822875,5.809659299716143,7.646838662187235e-05,71,2.1623830795288086
1,0.7577777777777778,0.7616666666666667,2.0319294979874516,0.4114357514280668,5.400352850766249,0.00047073623597536655,71,4.3655359745025635
2,0.7561111111111112,0.7627777777777778,1.9859191095325308,0.4112905677355511,5.2429097034561805,0.0016699587429453895,71,6.556272506713867
3,0.7511111111111111,0.7555555555555555,1.8634349829714063,0.4017865017686092,4.854919292557407,0.004402620375195754,71,8.768600940704346
4,0.7488888888888889,0.7561111111111111,1.7662108406214647,0.39563187725946936,4.539376198405951,0.009856450522292249,71,10.922084331512451
5,0.745,0.7516666666666667,1.751865116643234,0.4110534503846101,4.432632355622842,0.01711204308281902,71,13.164888620376587
6,0.7466666666666666,0.7522222222222221,1.6870720394900147,0.4170412666780848,4.1885231985172755,0.027740650639777452,71,15.350626945495605
7,0.7466666666666666,0.7544444444444445,1.5108224816725289,0.39868063238305107,3.6559134839286265,0.04260026710763783,71,17.55832600593567
8,0.7433333333333333,0.7533333333333334,1.4422874207228003,0.3998670326152318,3.4070530508605525,0.06050787719202713,71,19.782206773757935
9,0.7433333333333334,0.7527777777777778,1.479346942733711,0.41052323243987393,3.4884848258864714,0.08218239462921317,71,21.978861331939697
10,0.7427777777777778,0.7522222222222222,1.3697795078788004,0.4060755754020852,3.126495530907537,0.10770992436249491,71,24.17373490333557
11,0.7433333333333333,0.7555555555555555,1.3538111230017433,0.41241176489373327,3.0492015825191014,0.12808209269399373,71,26.30933713912964
12,0.7422222222222222,0.7477777777777778,1.277481047200485,0.38796895406615567,2.851829555672659,0.1655524883051993,71,28.455320596694946
13,0.7416666666666667,0.7522222222222222,1.2473092154717782,0.4055525435948036,2.704450887693486,0.18873198960028903,71,30.640641927719116
14,0.7422222222222221,0.7522222222222222,1.1711627354084606,0.39288940731908234,2.4808041075585594,0.22086996732043548,71,32.83988857269287
15,0.7427777777777778,0.7483333333333333,1.161777786805596,0.3883184771722471,2.44505208478847,0.2537086522075492,71,35.00070524215698
16,0.7377777777777778,0.7544444444444445,1.223275513716147,0.4069910444004435,2.578288219764199,0.28004864068098473,71,37.16645312309265
17,0.7422222222222222,0.7527777777777778,1.256104246831276,0.4132030117259899,2.6598266153268413,0.31708573371591703,71,39.354758739471436
18,0.7438888888888888,0.7611111111111111,1.1925514919657103,0.4128095742682336,2.4323337430685337,0.3439991427978999,71,41.5517201423645
19,0.7433333333333333,0.7561111111111112,1.114613263120114,0.396176900242416,2.2194268094821714,0.37705131483749604,71,43.71099257469177
20,0.7438888888888888,0.7555555555555555,1.0612950992416328,0.3969054706919361,2.027209071206375,0.429636289326238,71,45.91115355491638
21,0.7433333333333334,0.7533333333333334,1.0239168854666427,0.3889819314362298,1.9150111801187757,0.453683895544267,71,48.120418310165405
22,0.7438888888888888,0.7572222222222222,1.090845414450471,0.40435777436679515,2.0876661270437107,0.47366043631459626,71,50.284860134124756
23,0.741111111111111,0.7494444444444444,1.1504824980044028,0.4063994825725824,2.270777612504825,0.5135866453949834,71,52.52482223510742
