source_model,fold,seed,parameters,approximate_MACs,capacity_ratio_vs_B1
B0_VANILLA_EEGNET,2,0,34162,32895872,1.0
B1_STRONG_EEGNET,2,0,34162,32895872,1.0
A2_DUAL_CONTROL,2,0,39244,49307904,1.1487617820970668
PUD_SOURCE,2,0,39244,49307904,1.1487617820970668
A7_IDENTITY_PROTECTED,2,0,39244,49307904,1.1487617820970668
A8_RANDOM_PROTECTED,2,0,39244,49307904,1.1487617820970668
A3_P_ONLY,2,0,39244,49307904,1.1487617820970668
A4_P_PLUS_U,2,0,39244,49307904,1.1487617820970668
A5_P_PLUS_D,2,0,39244,49307904,1.1487617820970668
A9_PCA_PROTECTED,2,0,39244,49307904,1.1487617820970668
