task,fold,scope,subject_id,method,BA,macro_F1,accuracy,trials
OpenBMI_MI,0,outer_development,15,LiteBN_EMA,0.86,0.859775641025641,0.86,100
OpenBMI_MI,0,outer_development,15,LiteBN_BASELINE,0.87,0.8698828946051447,0.87,100
OpenBMI_MI,0,outer_development,38,LiteBN_EMA,0.73,0.712,0.73,100
OpenBMI_MI,0,outer_development,38,LiteBN_BASELINE,0.77,0.757153415690001,0.77,100
OpenBMI_MI,0,outer_development,6,LiteBN_EMA,0.9199999999999999,0.9199679871948779,0.92,100
OpenBMI_MI,0,outer_development,6,LiteBN_BASELINE,0.9099999999999999,0.9099189270343309,0.91,100
OpenBMI_MI,0,outer_development,33,LiteBN_EMA,0.83,0.8279178054458953,0.83,100
OpenBMI_MI,0,outer_development,33,LiteBN_BASELINE,0.88,0.8799519807923168,0.88,100
OpenBMI_MI,0,outer_development,32,LiteBN_EMA,0.6599999999999999,0.6594551282051282,0.66,100
OpenBMI_MI,0,outer_development,32,LiteBN_BASELINE,0.7,0.6998799519807923,0.7,100
OpenBMI_MI,0,outer_development,3,LiteBN_EMA,0.92,0.92,0.92,100
OpenBMI_MI,0,outer_development,3,LiteBN_BASELINE,0.87,0.8699869986998701,0.87,100
OpenBMI_MI,0,outer_development,5,LiteBN_EMA,0.79,0.7837503861600247,0.79,100
OpenBMI_MI,0,outer_development,5,LiteBN_BASELINE,0.75,0.7469379491851402,0.75,100
OpenBMI_MI,0,outer_development,47,LiteBN_EMA,0.8899999999999999,0.8894583458948849,0.89,100
OpenBMI_MI,0,outer_development,47,LiteBN_BASELINE,0.86,0.8579545454545454,0.86,100
OpenBMI_MI,0,heldout_internal,4,LiteBN_EMA,0.81,0.8076728413807066,0.81,100
OpenBMI_MI,0,heldout_internal,4,LiteBN_BASELINE,0.8,0.797077922077922,0.8,100
OpenBMI_MI,0,heldout_internal,12,LiteBN_EMA,0.77,0.769792813532179,0.77,100
OpenBMI_MI,0,heldout_internal,12,LiteBN_BASELINE,0.7,0.6875,0.7,100
OpenBMI_MI,0,heldout_internal,13,LiteBN_EMA,0.61,0.5920075321686369,0.61,100
OpenBMI_MI,0,heldout_internal,13,LiteBN_BASELINE,0.6799999999999999,0.6794871794871795,0.68,100
OpenBMI_MI,0,heldout_internal,17,LiteBN_EMA,0.5900000000000001,0.5746446726838883,0.59,100
OpenBMI_MI,0,heldout_internal,17,LiteBN_BASELINE,0.65,0.6457131288591963,0.65,100
OpenBMI_MI,0,heldout_internal,18,LiteBN_EMA,0.62,0.6193910256410255,0.62,100
OpenBMI_MI,0,heldout_internal,18,LiteBN_BASELINE,0.6399999999999999,0.6386993175431553,0.64,100
OpenBMI_MI,0,heldout_internal,24,LiteBN_EMA,0.5599999999999999,0.5280995280995281,0.56,100
OpenBMI_MI,0,heldout_internal,24,LiteBN_BASELINE,0.55,0.5248653785239151,0.55,100
OpenBMI_MI,0,heldout_internal,25,LiteBN_EMA,0.97,0.9699729756781104,0.97,100
OpenBMI_MI,0,heldout_internal,25,LiteBN_BASELINE,0.96,0.9599358974358975,0.96,100
OpenBMI_MI,0,heldout_internal,29,LiteBN_EMA,0.73,0.7286704853783539,0.73,100
OpenBMI_MI,0,heldout_internal,29,LiteBN_BASELINE,0.65,0.64996499649965,0.65,100
OpenBMI_MI,0,heldout_internal,36,LiteBN_EMA,0.8999999999999999,0.8998397435897436,0.9,100
OpenBMI_MI,0,heldout_internal,36,LiteBN_BASELINE,0.9099999999999999,0.9097744360902256,0.91,100
OpenBMI_MI,0,heldout_internal,37,LiteBN_EMA,0.73,0.7266929851199515,0.73,100
OpenBMI_MI,0,heldout_internal,37,LiteBN_BASELINE,0.72,0.7126436781609196,0.72,100
OpenBMI_MI,0,heldout_internal,39,LiteBN_EMA,0.6699999999999999,0.6673051718923279,0.67,100
OpenBMI_MI,0,heldout_internal,39,LiteBN_BASELINE,0.76,0.7596153846153846,0.76,100
OpenBMI_MI,0,heldout_internal,42,LiteBN_EMA,0.71,0.7050147492625369,0.71,100
OpenBMI_MI,0,heldout_internal,42,LiteBN_BASELINE,0.69,0.6892230576441103,0.69,100
OpenBMI_MI,0,heldout_internal,51,LiteBN_EMA,0.6699999999999999,0.6673051718923279,0.67,100
OpenBMI_MI,0,heldout_internal,51,LiteBN_BASELINE,0.7,0.6921182266009853,0.7,100
OpenBMI_MI,0,heldout_internal,54,LiteBN_EMA,0.75,0.7457023700539112,0.75,100
OpenBMI_MI,0,heldout_internal,54,LiteBN_BASELINE,0.71,0.7076318177235609,0.71,100
OpenBMI_MI,1,outer_development,26,LiteBN_EMA,0.86,0.8579545454545454,0.86,100
OpenBMI_MI,1,outer_development,26,LiteBN_BASELINE,0.85,0.84998499849985,0.85,100
OpenBMI_MI,1,outer_development,2,LiteBN_EMA,0.76,0.7519636213311285,0.76,100
OpenBMI_MI,1,outer_development,2,LiteBN_BASELINE,0.78,0.7796474358974359,0.78,100
OpenBMI_MI,1,outer_development,14,LiteBN_EMA,0.6100000000000001,0.6090225563909775,0.61,100
OpenBMI_MI,1,outer_development,14,LiteBN_BASELINE,0.75,0.7457023700539112,0.75,100
OpenBMI_MI,1,outer_development,31,LiteBN_EMA,0.81,0.8090644156366193,0.81,100
OpenBMI_MI,1,outer_development,31,LiteBN_BASELINE,0.79,0.7874278773155178,0.79,100
OpenBMI_MI,1,outer_development,28,LiteBN_EMA,0.8200000000000001,0.8199279711884754,0.82,100
OpenBMI_MI,1,outer_development,28,LiteBN_BASELINE,0.9299999999999999,0.9298245614035088,0.93,100
OpenBMI_MI,1,outer_development,35,LiteBN_EMA,0.79,0.7803117480908045,0.79,100
OpenBMI_MI,1,outer_development,35,LiteBN_BASELINE,0.8,0.7933030177759405,0.8,100
OpenBMI_MI,1,outer_development,40,LiteBN_EMA,0.8,0.7996794871794872,0.8,100
OpenBMI_MI,1,outer_development,40,LiteBN_BASELINE,0.81,0.8067338012409724,0.81,100
OpenBMI_MI,1,outer_development,43,LiteBN_EMA,0.8,0.7947454844006567,0.8,100
OpenBMI_MI,1,outer_development,43,LiteBN_BASELINE,0.95,0.9499549594635172,0.95,100
OpenBMI_MI,1,heldout_internal,4,LiteBN_EMA,0.74,0.7362012987012987,0.74,100
OpenBMI_MI,1,heldout_internal,4,LiteBN_BASELINE,0.81,0.8076728413807066,0.81,100
OpenBMI_MI,1,heldout_internal,12,LiteBN_EMA,0.72,0.72,0.72,100
OpenBMI_MI,1,heldout_internal,12,LiteBN_BASELINE,0.76,0.7596153846153846,0.76,100
OpenBMI_MI,1,heldout_internal,13,LiteBN_EMA,0.71,0.7099709970997099,0.71,100
OpenBMI_MI,1,heldout_internal,13,LiteBN_BASELINE,0.75,0.7479584635547938,0.75,100
OpenBMI_MI,1,heldout_internal,17,LiteBN_EMA,0.59,0.5849782366636299,0.59,100
OpenBMI_MI,1,heldout_internal,17,LiteBN_BASELINE,0.7,0.6989160979526294,0.7,100
OpenBMI_MI,1,heldout_internal,18,LiteBN_EMA,0.59,0.5899589958995899,0.59,100
OpenBMI_MI,1,heldout_internal,18,LiteBN_BASELINE,0.77,0.7699769976997699,0.77,100
OpenBMI_MI,1,heldout_internal,24,LiteBN_EMA,0.5,0.4832575444398512,0.5,100
OpenBMI_MI,1,heldout_internal,24,LiteBN_BASELINE,0.58,0.5495495495495495,0.58,100
OpenBMI_MI,1,heldout_internal,25,LiteBN_EMA,0.99,0.9899989998999901,0.99,100
OpenBMI_MI,1,heldout_internal,25,LiteBN_BASELINE,1.0,1.0,1.0,100
OpenBMI_MI,1,heldout_internal,29,LiteBN_EMA,0.81,0.8095238095238095,0.81,100
OpenBMI_MI,1,heldout_internal,29,LiteBN_BASELINE,0.69,0.6874684948079444,0.69,100
OpenBMI_MI,1,heldout_internal,36,LiteBN_EMA,0.89,0.8886526976414617,0.89,100
