dataset,seed,architecture,macro_f1,balanced_accuracy,classes_predicted_min,parameters,state_hash,model_path
hmc,0,old_mean_mlp,0.36326874355748723,0.44415825530175057,4,52741,3dea098611c6d740e3185de0cd015d50cb9afa89547785b5d951945e2ba2a0be,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/hmc/seed_0/old_mean_mlp/model.pt
hmc,0,temporal_attention_head,0.45389187850487095,0.47783072492360157,5,213941,37467092543161fdf8dab35fd8bb60839932d315565bfcfadb25162246574f7e,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/hmc/seed_0/temporal_attention_head/model.pt
hmc,1,old_mean_mlp,0.47899001073928404,0.5516030764186135,5,52741,dc319d1ffb11f90c1af34896400ab90d4acc1514272a2d31c83ec7a8233e3365,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/hmc/seed_1/old_mean_mlp/model.pt
hmc,1,temporal_attention_head,0.6044080151199458,0.633346947577053,5,213941,0f9c127983e6672f0108823e2a0934e339b4e706baaa3df0c92953d92177ed08,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/hmc/seed_1/temporal_attention_head/model.pt
hmc,2,old_mean_mlp,0.47275387224057874,0.5447968045095971,4,52741,3ad182f2049be138c067628d997ba834c8334dead26f3858939f362128f51852,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/hmc/seed_2/old_mean_mlp/model.pt
hmc,2,temporal_attention_head,0.5586480746452205,0.594052293232955,5,213941,f45b1297b9cf4d4fc480f5fa4b1886b66ba0600d69176d52eb1b3ff50fb74262,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/hmc/seed_2/temporal_attention_head/model.pt
hmc,3,old_mean_mlp,0.4074893427193144,0.5020908332523951,5,52741,e583f35794d60cf3979808a0af48deab87a2a88d4b4af89395c8cc9757885669,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/hmc/seed_3/old_mean_mlp/model.pt
hmc,3,temporal_attention_head,0.48422633314972574,0.5492567203170468,4,213941,9aca229b920e91ab47e4ffedc0f6ddf3cf9a7af64e52884c8a7dc9b10a172796,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/hmc/seed_3/temporal_attention_head/model.pt
hmc,4,old_mean_mlp,0.400474050969447,0.46909879023946877,4,52741,b07b99d716c5f348d1c84182bd2b046db1715d84be077f14c9bedd5508288747,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/hmc/seed_4/old_mean_mlp/model.pt
hmc,4,temporal_attention_head,0.4309415537358211,0.49206765406844966,5,213941,08c7b3f5e5f0bf4b7a9664473ee6673871046e559bd890c4b4a54a8a854c2448,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/hmc/seed_4/temporal_attention_head/model.pt
eegmmidb,0,old_mean_mlp,0.1988420794089772,0.2687461348175634,2,52484,417f84541da900e73e231abab569583b510cc894ec90d4fccc227fbfb4fbbdc7,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/eegmmidb/seed_0/old_mean_mlp/model.pt
eegmmidb,0,channel_temporal_head,0.2466762909715621,0.2722861377752682,4,387284,a032b2560863310720b55a784a57fe767f4f4d787116c87a7277eb68413026da,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/eegmmidb/seed_0/channel_temporal_head/model.pt
eegmmidb,0,official_downstream_head,0.40207172584141365,0.40518203328762337,4,10241004,741863ec565743a5e0a8b9f0a350de24a6a0d31413a436a9f7432cee01c72590,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/eegmmidb/seed_0/official_downstream_head/model.pt
eegmmidb,1,old_mean_mlp,0.18411144118402648,0.2608620029039283,2,52484,870ad5887df887aaf30c623f7dbe07dc2439c195d4303482968f27a5654937e0,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/eegmmidb/seed_1/old_mean_mlp/model.pt
eegmmidb,1,channel_temporal_head,0.27338883528272595,0.2870721411094082,4,387284,fdeba359ff5c92402f4de651062f6d5d781720d1eecc0055fc0ed08aee97381a,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/eegmmidb/seed_1/channel_temporal_head/model.pt
eegmmidb,1,official_downstream_head,0.4348915292414456,0.439024226291307,4,10241004,05ecf3e125837bec79c4921a7e436cba74a288242330889cd354c73f4eb90b07,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/eegmmidb/seed_1/official_downstream_head/model.pt
eegmmidb,2,old_mean_mlp,0.198983597017043,0.27007374095883413,2,52484,e0135b9c05f0fab8723cec34a3336a76f536a0818d5ac541b68cf6023f54d0b0,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/eegmmidb/seed_2/old_mean_mlp/model.pt
eegmmidb,2,channel_temporal_head,0.27932524594706537,0.2923094633110161,4,387284,5b159e324090b423a986ba6c862f4c0aaf5da868b6bcb6a31ad41642125c2c21,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/eegmmidb/seed_2/channel_temporal_head/model.pt
eegmmidb,2,official_downstream_head,0.45490441994487185,0.4574174531472668,4,10241004,61eb35384813cbb77cd94a8e30ebb5a56af37b6230dfc7bf906b6ba100b09f82,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/eegmmidb/seed_2/official_downstream_head/model.pt
eegmmidb,3,old_mean_mlp,0.19150291768942465,0.26481205130273455,2,52484,5f0140f2b5df7e2a3ac1c29fcf700cbdcfe6aadc27a4e180a564be7af40fa4b9,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/eegmmidb/seed_3/old_mean_mlp/model.pt
eegmmidb,3,channel_temporal_head,0.24482869870643625,0.2488858191497943,4,387284,2ea0d2da4f42a861db37834ef8c583b89cc2a81d07b77bb707d2e9429a2220f1,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/eegmmidb/seed_3/channel_temporal_head/model.pt
eegmmidb,3,official_downstream_head,0.400658369071521,0.40552821919281545,4,10241004,0b5581deb26d4daecbc606964dadb197e8bd0152e5cdac69c1a47f07dad4bdf0,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/eegmmidb/seed_3/official_downstream_head/model.pt
eegmmidb,4,old_mean_mlp,0.1565895623459453,0.256640551477508,1,52484,14e22a27ed45365370827a1bef8aae2240a28686decab1b6842fc3d2dcea5057,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/eegmmidb/seed_4/old_mean_mlp/model.pt
eegmmidb,4,channel_temporal_head,0.26604718317003734,0.27312723508375686,4,387284,2472a657bcfdb5e9d9a61e50099415dd86dbe8a2f3b6941f635dd3e726ed6adf,/root/autodl-tmp/hsc_tta_eeg/outputs/v2_joint_certified/source_models/eegmmidb/seed_4/channel_temporal_head/model.pt
