dataset,fold,seed,tau_raw_median_abs_anchor_margin,tau,tau_floor,anchor_checkpoint,legal_source_refit_trials,outcome_trials_used,frozen_before_harm
OpenBMI,0,0,2.061469078063965,2.061469078063965,0.001,D:\nips-temp\TotalP\P1\CRCICLR_CANONICAL_EEGNET\experiments\persist_eeg_canonical_eegnet_baseline\runtime\checkpoints\OpenBMI\fold-0\seed-0.pt,8600,0,True
OpenBMI,1,0,2.3248565196990967,2.3248565196990967,0.001,D:\nips-temp\TotalP\P1\CRCICLR_CANONICAL_EEGNET\experiments\persist_eeg_canonical_eegnet_baseline\runtime\checkpoints\OpenBMI\fold-1\seed-0.pt,8600,0,True
OpenBMI,2,0,2.4413065910339355,2.4413065910339355,0.001,D:\nips-temp\TotalP\P1\CRCICLR_CANONICAL_EEGNET\experiments\persist_eeg_canonical_eegnet_baseline\runtime\checkpoints\OpenBMI\fold-2\seed-0.pt,8600,0,True
OpenBMI,3,0,2.6375298500061035,2.6375298500061035,0.001,D:\nips-temp\TotalP\P1\CRCICLR_CANONICAL_EEGNET\experiments\persist_eeg_canonical_eegnet_baseline\runtime\checkpoints\OpenBMI\fold-3\seed-0.pt,8600,0,True
OpenBMI,4,0,2.343686819076538,2.343686819076538,0.001,D:\nips-temp\TotalP\P1\CRCICLR_CANONICAL_EEGNET\experiments\persist_eeg_canonical_eegnet_baseline\runtime\checkpoints\OpenBMI\fold-4\seed-0.pt,8800,0,True
WBCIC,0,0,1.2805280685424805,1.2805280685424805,0.001,D:\nips-temp\TotalP\P1\CRCICLR_CANONICAL_EEGNET\experiments\persist_eeg_canonical_eegnet_baseline\runtime\checkpoints\WBCIC\fold-0\seed-0.pt,12796,0,True
WBCIC,1,0,1.120287299156189,1.120287299156189,0.001,D:\nips-temp\TotalP\P1\CRCICLR_CANONICAL_EEGNET\experiments\persist_eeg_canonical_eegnet_baseline\runtime\checkpoints\WBCIC\fold-1\seed-0.pt,13196,0,True
WBCIC,2,0,2.680941343307495,2.680941343307495,0.001,D:\nips-temp\TotalP\P1\CRCICLR_CANONICAL_EEGNET\experiments\persist_eeg_canonical_eegnet_baseline\runtime\checkpoints\WBCIC\fold-2\seed-0.pt,13197,0,True
WBCIC,3,0,1.9502851963043213,1.9502851963043213,0.001,D:\nips-temp\TotalP\P1\CRCICLR_CANONICAL_EEGNET\experiments\persist_eeg_canonical_eegnet_baseline\runtime\checkpoints\WBCIC\fold-3\seed-0.pt,13198,0,True
WBCIC,4,0,2.3118042945861816,2.3118042945861816,0.001,D:\nips-temp\TotalP\P1\CRCICLR_CANONICAL_EEGNET\experiments\persist_eeg_canonical_eegnet_baseline\runtime\checkpoints\WBCIC\fold-4\seed-0.pt,13197,0,True
