dataset,fold,n_subjects,n_observations,BBR_H_BBR_AUROC,BBR_H_BBR_Spearman,BBR_H_BER_AUROC,BBR_H_BER_Spearman,CE_H_BER_AUROC,CE_H_BER_Spearman,harmful_flip_count,same_subject_signal_positive,BBR_not_worse_than_CE
OpenBMI,0,18,90,0.5786827551533434,0.16608634810882,0.8764044943820225,0.14205934711219612,0.9550561797752809,0.13104822574109987,1,True,True
OpenBMI,1,18,90,0.7532327586206896,0.6247602584681237,0.2134831460674157,-0.045904858564647696,0.0449438202247191,-0.21804807818207658,1,True,True
OpenBMI,2,18,90,0.7321428571428572,0.4587315306416429,0.5168539325842696,0.006120278420246316,0.3595505617977528,-0.051002320168719306,1,True,True
OpenBMI,3,18,90,0.7747402952433023,0.5274972218792443,0.348314606741573,-0.05508250578221685,0.1685393258426966,-0.12036547559817755,2,True,True
OpenBMI,4,27,90,0.7191358024691358,0.4400296332880603,0.5568181818181819,0.1445774953143537,0.5,0.16532933491043553,2,True,True
WBCIC,0,32,64,0.9398496240601504,0.8054029304029303,0.6040100250626567,0.023915417946776128,0.7619047619047619,0.24511619211083086,7,True,False
WBCIC,1,33,66,0.875,0.9529067946978397,0.6065573770491803,0.18219150759573383,0.6196721311475409,0.20207733760246765,10,True,False
WBCIC,2,33,66,0.8884297520661157,0.8240684688445884,0.2265625,-0.16239012005260772,0.21875,-0.16702983776839653,2,True,True
WBCIC,3,33,66,0.9207683073229292,0.8810562571756604,0.109375,-0.29998444395367996,0.4140625,-0.09189806852562125,2,True,False
WBCIC,4,33,66,0.9411157024793388,0.9061058344640437,0.0461538461538461,-0.09555656242877979,0.29230769230769227,-0.09028043321492078,1,True,False
