dataset,total_subject_step_observations,H_BER_positive_count,H_BER_negative_count,H_BER_zero_count,biological_subjects_with_harmful_event,total_correct_to_wrong_flips,total_wrong_to_correct_flips,EXACT_DECISION_ENDPOINT_UNDERPOWERED
OpenBMI,450,6,7,437,6,7,8,True
WBCIC,328,17,19,292,13,22,27,True
