dataset,metric,BBR,CE,BBR_minus_CE,BBR_minus_CE_CI95
OpenBMI,H_BER Spearman,0.07098099764234929,0.02673556684380036,0.044245430798548924,"[-0.06699980397191867, 0.15452293577907203]"
OpenBMI,H_BER Kendall,0.05770230407944175,0.021669498366524167,0.03603280571291758,"[-0.05501899173435145, 0.12635548116615974]"
OpenBMI,decision-harm AUROC,0.49999999999999994,0.4328078078078078,0.06719219219219214,"[-0.313048557903854, 0.4354991011543263]"
OpenBMI,harmful-flip AUROC,0.43921315704611413,0.4930667526604321,-0.05385359561431796,"[-0.4144879056128407, 0.3149638461770439]"
OpenBMI,top-bottom decision-risk separation,0.00046296296296296114,0.00030864197530864,0.00015432098765432112,"[-0.0006796482270397036, 0.0010893290767503075]"
WBCIC,H_BER Spearman,0.009762152125870666,0.0539643745402079,-0.04420222241433724,"[-0.2355290946789952, 0.15398426837707335]"
WBCIC,H_BER Kendall,0.007389732566382592,0.04272834193411164,-0.03533860936772905,"[-0.19097368514748048, 0.12509373466076812]"
WBCIC,decision-harm AUROC,0.41044070361263474,0.5515415169283148,-0.14110081331568003,"[-0.3929275110832735, 0.12455657006213973]"
WBCIC,harmful-flip AUROC,0.40275974025974026,0.5563311688311688,-0.15357142857142858,"[-0.379068197711909, 0.09406926513335136]"
WBCIC,top-bottom decision-risk separation,5.65610859728477e-05,5.6980056980055135e-05,-4.189710072074351e-07,"[-0.0008459940886602817, 0.0006787330316741923]"
