dataset,certificate,quintile,mean_certificate,mean_H_BBR,BBR_harm_frequency,mean_H_BER,decision_harm_frequency,correct_to_wrong_frequency,subject_count,observation_count
OpenBMI,CE,1,-0.0006341124008435078,-7.601338956089699e-05,0.25555555555555554,-0.00015432098765432,0.022222222222222223,0.00030864197530864197,39,90
OpenBMI,CE,2,-0.00016806738276495088,-5.0963378614842386e-05,0.15555555555555556,-0.00015432098765432,0.011111111111111112,0.00015432098765432098,38,90
OpenBMI,CE,3,-4.368713171566519e-05,-2.861337529288283e-05,0.2777777777777778,0.00015432098765432,0.011111111111111112,0.00015432098765432098,36,90
OpenBMI,CE,4,7.219159613971065e-05,-1.519785987006224e-05,0.34444444444444444,-0.00015432098765432,0.0,0.0,39,90
OpenBMI,CE,5,0.0004452369845238955,5.482965045503712e-06,0.5222222222222223,0.00015432098765432,0.022222222222222223,0.000462962962962963,38,90
WBCIC,CE,1,-0.00035851653647660605,-0.0002554166836268661,0.16666666666666666,-5.570409982174394e-05,0.06060606060606061,0.00033433634236041456,37,66
WBCIC,CE,2,-8.173119385900226e-05,-3.171006612704596e-05,0.3787878787878788,-0.00011140819964349394,0.030303030303030304,0.00011142682043567887,36,66
WBCIC,CE,3,-2.784870301603895e-05,-3.974463504093686e-05,0.2,5.698005698005384e-05,0.046153846153846156,0.00016975046681378373,34,65
WBCIC,CE,4,1.5934432803643368e-05,-1.2071916099747768e-05,0.3787878787878788,-0.0001671122994652379,0.045454545454545456,0.0002786912658157293,34,66
WBCIC,CE,5,0.00015542166953447475,-1.2299762322349587e-05,0.3384615384615385,4.1897100720743853e-07,0.07692307692307693,0.0003394817245671608,29,65
