dataset,fold,seed,epoch,step,task_gradient_norm,task_clip_scale,task_step_norm,bn_max_displacement
OpenBMI,0,0,1,1,3.2150609493255615,1.0,0.005544736981391907,0.0
OpenBMI,0,0,1,2,3.375857353210449,1.0,0.003934707026928663,0.0
OpenBMI,0,0,1,3,3.6354668140411377,1.0,0.003148204879835248,0.0
OpenBMI,0,0,1,4,4.516127586364746,1.0,0.002812121994793415,0.0
OpenBMI,0,0,1,5,2.6459145545959473,1.0,0.00242879381403327,0.0
OpenBMI,0,0,1,6,3.270627021789551,1.0,0.002340825041756034,0.0
OpenBMI,0,0,1,7,3.362717390060425,1.0,0.002244027331471443,0.0
OpenBMI,0,0,1,8,2.970684766769409,1.0,0.0020751291885972023,0.0
OpenBMI,0,0,1,9,2.588210105895996,1.0,0.0019533878657966852,0.0
OpenBMI,0,0,1,10,2.990123987197876,1.0,0.0018713729223236442,0.0
OpenBMI,0,0,1,11,2.960510730743408,1.0,0.0018359485547989607,0.0
OpenBMI,0,0,1,12,3.1106607913970947,1.0,0.0017784645315259695,0.0
OpenBMI,0,0,1,13,2.21034836769104,1.0,0.0017389358254149556,0.0
OpenBMI,0,0,1,14,4.421250820159912,1.0,0.0016860839677974582,0.0
OpenBMI,0,0,1,15,3.7187397480010986,1.0,0.0016062642680481076,0.0
OpenBMI,0,0,1,16,4.323824405670166,1.0,0.0015770170139148831,0.0
OpenBMI,0,0,1,17,3.9462599754333496,1.0,0.0015076994895935059,0.0
OpenBMI,0,0,1,18,3.325862407684326,1.0,0.001421134453266859,0.0
OpenBMI,0,0,1,19,2.890834093093872,1.0,0.001436821767129004,0.0
OpenBMI,0,0,1,20,2.9659650325775146,1.0,0.0014511465560644865,0.0
OpenBMI,0,0,1,21,3.124924659729004,1.0,0.0014447628054767847,0.0
OpenBMI,0,0,1,22,2.63836932182312,1.0,0.0014094793004915118,0.0
OpenBMI,0,0,1,23,2.5858662128448486,1.0,0.0013914399314671755,0.0
OpenBMI,0,0,1,24,3.4925026893615723,1.0,0.0013657871168106794,0.0
OpenBMI,0,0,1,25,3.4005913734436035,1.0,0.0014032031176611781,0.0
OpenBMI,0,0,1,26,3.353041410446167,1.0,0.001422822941094637,0.0
OpenBMI,0,0,1,27,3.0918426513671875,1.0,0.001385146169923246,0.0
OpenBMI,0,0,1,28,2.506946086883545,1.0,0.0013618165394291282,0.0
OpenBMI,0,0,1,29,2.9464542865753174,1.0,0.0013387687504291534,0.0
OpenBMI,0,0,1,30,2.881892204284668,1.0,0.0013649334432557225,0.0
OpenBMI,0,0,1,31,3.8645918369293213,1.0,0.0013128792634233832,0.0
OpenBMI,0,0,1,32,3.319348096847534,1.0,0.001337338937446475,0.0
OpenBMI,0,0,1,33,3.3488731384277344,1.0,0.0013615685747936368,0.0
OpenBMI,0,0,1,34,3.4072470664978027,1.0,0.0013877658639103174,0.0
OpenBMI,0,0,1,35,2.6437244415283203,1.0,0.001334348227828741,0.0
OpenBMI,0,0,1,36,2.4681732654571533,1.0,0.00136105518322438,0.0
OpenBMI,0,0,1,37,2.0066869258880615,1.0,0.0013040563790127635,0.0
OpenBMI,0,0,1,38,3.5148675441741943,1.0,0.0013584453845396638,0.0
OpenBMI,0,0,1,39,5.972177028656006,0.8372156377831307,0.0013524260139092803,0.0
OpenBMI,0,0,1,40,3.1580209732055664,1.0,0.0012911239173263311,0.0
OpenBMI,0,0,1,41,2.86977481842041,1.0,0.0012520262971520424,0.0
OpenBMI,0,0,1,42,2.6208395957946777,1.0,0.001242492813616991,0.0
OpenBMI,0,0,1,43,2.4511172771453857,1.0,0.001278343377634883,0.0
OpenBMI,0,0,1,44,2.8151888847351074,1.0,0.0012974576093256474,0.0
OpenBMI,0,0,1,45,3.838866949081421,1.0,0.0012995536671951413,0.0
OpenBMI,0,0,1,46,2.434174060821533,1.0,0.001345612108707428,0.0
OpenBMI,0,0,1,47,3.9488604068756104,1.0,0.0014148685149848461,0.0
OpenBMI,0,0,1,48,3.6295576095581055,1.0,0.001406873227097094,0.0
OpenBMI,0,0,1,49,3.8107781410217285,1.0,0.0013636646326631308,0.0
OpenBMI,0,0,1,50,4.868066787719727,1.0,0.00135939777828753,0.0
OpenBMI,0,0,1,51,3.027866840362549,1.0,0.001321776187978685,0.0
OpenBMI,0,0,1,52,3.166564702987671,1.0,0.0012807861203327775,0.0
OpenBMI,0,0,1,53,2.5230796337127686,1.0,0.0012802865821868181,0.0
OpenBMI,0,0,1,54,3.3133323192596436,1.0,0.0012044759932905436,0.0
OpenBMI,0,0,1,55,2.700248956680298,1.0,0.0012240026844665408,0.0
OpenBMI,0,0,1,56,4.109862804412842,1.0,0.0012571620754897594,0.0
OpenBMI,0,0,1,57,2.2132761478424072,1.0,0.0012132871197536588,0.0
OpenBMI,0,0,1,58,2.5866143703460693,1.0,0.00121067906729877,0.0
OpenBMI,0,0,1,59,2.300654888153076,1.0,0.0012410165509209037,0.0
OpenBMI,0,0,1,60,2.878631353378296,1.0,0.001268194057047367,0.0
OpenBMI,0,0,1,61,3.915107250213623,1.0,0.0013129847357049584,0.0
OpenBMI,0,0,1,62,3.5282135009765625,1.0,0.0012760366080328822,0.0
OpenBMI,0,0,1,63,2.9542336463928223,1.0,0.0012730802409350872,0.0
OpenBMI,0,0,1,64,2.1826529502868652,1.0,0.0012416758108884096,0.0
OpenBMI,0,0,1,65,4.880856513977051,1.0,0.001210742280818522,0.0
OpenBMI,0,0,1,66,3.6345088481903076,1.0,0.0012412361102178693,0.0
OpenBMI,0,0,1,67,3.3216915130615234,1.0,0.0012105186469852924,0.0
OpenBMI,0,0,1,68,2.259880781173706,1.0,0.00118034309707582,0.0
OpenBMI,0,0,2,69,2.526782274246216,1.0,0.001232622191309929,0.0
OpenBMI,0,0,2,70,3.191279888153076,1.0,0.001228179200552404,0.0
OpenBMI,0,0,2,71,3.402289628982544,1.0,0.001230156747624278,0.0
OpenBMI,0,0,2,72,2.8824832439422607,1.0,0.0012352621415629983,0.0
OpenBMI,0,0,2,73,3.1463537216186523,1.0,0.001236751559190452,0.0
OpenBMI,0,0,2,74,4.440476417541504,1.0,0.0012330590980127454,0.0
OpenBMI,0,0,2,75,2.7515201568603516,1.0,0.0011939035030081868,0.0
OpenBMI,0,0,2,76,3.722566604614258,1.0,0.0012497745919972658,0.0
OpenBMI,0,0,2,77,2.4024524688720703,1.0,0.0012291158782318234,0.0
OpenBMI,0,0,2,78,2.3012499809265137,1.0,0.0012108137598261237,0.0
OpenBMI,0,0,2,79,2.247854709625244,1.0,0.0011895536445081234,0.0
OpenBMI,0,0,2,80,2.9310338497161865,1.0,0.001195062417536974,0.0
OpenBMI,0,0,2,81,2.9840385913848877,1.0,0.001237827935256064,0.0
OpenBMI,0,0,2,82,2.1955909729003906,1.0,0.001196489087305963,0.0
OpenBMI,0,0,2,83,2.6966583728790283,1.0,0.0011935903457924724,0.0
OpenBMI,0,0,2,84,3.603911876678467,1.0,0.001303256954997778,0.0
OpenBMI,0,0,2,85,3.434258460998535,1.0,0.0012763418490067124,0.0
OpenBMI,0,0,2,86,2.8215463161468506,1.0,0.001267875893972814,0.0
OpenBMI,0,0,2,87,2.9292190074920654,1.0,0.0012519670417532325,0.0
OpenBMI,0,0,2,88,2.6707186698913574,1.0,0.0012355837970972061,0.0
OpenBMI,0,0,2,89,3.7190122604370117,1.0,0.001281888340599835,0.0
OpenBMI,0,0,2,90,2.1325392723083496,1.0,0.001244721352122724,0.0
OpenBMI,0,0,2,91,3.2054443359375,1.0,0.001255329349078238,0.0
OpenBMI,0,0,2,92,3.444801092147827,1.0,0.0011959719704464078,0.0
OpenBMI,0,0,2,93,3.4124386310577393,1.0,0.0011826538247987628,0.0
