dataset,control,certificate_column,spearman,kendall,pearson,auroc,top_minus_bottom,n_observations,n_subjects,event_count
OpenBMI,random,certificate_BBR_random,-0.020923824180986064,-0.013521472514258722,0.02881990925763943,0.48142857142857143,7.04055031140539e-06,450,50,140
WBCIC,random,certificate_BBR_random,0.06868374866226724,0.046656472639019675,0.123569682660649,0.5314295977011494,6.017633355579948e-05,328,41,96
