dataset,spearman,kendall,pearson,auroc,top_minus_bottom,n_observations,n_subjects,event_count,spearman_CI95,kendall_CI95,auroc_CI95,top_minus_bottom_CI95,CE_H_BER_Spearman,CE_H_BER_AUROC,mean_H_BER,positive_H_BER_events
OpenBMI,0.07098099764234929,0.05770230407944175,0.04290167843514611,0.49999999999999994,0.00046296296296296114,450,50,6,"[0.007743612868470724, 0.13458657811614555]","[0.006595580469337661, 0.10961168184964316]","[0.25347525234712215, 0.7565684855233852]","[0.0, 0.0010233918128654915]",0.02673556684380036,0.4328078078078078,-3.0864197530864e-05,6
WBCIC,0.009762152125870666,0.007389732566382592,0.10616602837998124,0.41044070361263474,5.65610859728477e-05,328,41,17,"[-0.12453076577732371, 0.14378956879592858]","[-0.10126149130809362, 0.11596167915300884]","[0.2538997933884298, 0.5880720503536946]","[-0.0005090497737556445, 0.0005656108597284922]",0.0539643745402079,0.5515415169283148,-5.587770338487627e-05,17
