dataset,certificate,quintile,mean_certificate,mean_H_BBR,BBR_harm_frequency,mean_H_BER,decision_harm_frequency,correct_to_wrong_frequency,subject_count,observation_count
OpenBMI,BBR,1,-0.0001411647977268287,-9.284383720819684e-05,0.13333333333333333,-0.00015432098765432,0.011111111111111112,0.00030864197530864197,39,90
OpenBMI,BBR,2,-6.443779036797221e-05,-4.586006204286894e-05,0.18888888888888888,-0.0003086419753086411,0.022222222222222223,0.00030864197530864197,42,90
OpenBMI,BBR,3,-3.3185061026112334e-05,-2.653201421101717e-05,0.3111111111111111,0.0,0.011111111111111112,0.00015432098765432098,35,90
OpenBMI,BBR,4,-7.002634396889738e-06,-1.7570952574410833e-05,0.36666666666666664,0.0,0.0,0.0,40,90
OpenBMI,BBR,5,5.696830326592062e-05,1.7501827743313058e-05,0.5555555555555556,0.0003086419753086411,0.022222222222222223,0.00030864197530864197,42,90
WBCIC,BBR,1,-0.00030628486891856973,-0.0003081028998800724,0.0,-0.0001114081996434894,0.06060606060606061,0.00033437360677663843,32,66
WBCIC,BBR,2,-6.349328142470716e-05,-6.748436752592956e-05,0.0,0.0001675249224268788,0.10606060606060606,0.00039003733214464814,36,66
WBCIC,BBR,3,-2.0579040910188967e-05,-2.354071117364173e-05,0.13846153846153847,-0.0003393665158371015,0.0,0.00011316057485572027,33,65
WBCIC,BBR,4,2.5832002675639214e-06,2.5316169767656286e-06,0.5,5.6116722783389146e-05,0.06060606060606061,0.0002786136186336788,31,66
WBCIC,BBR,5,5.763232293246957e-05,4.64895596870944e-05,0.8307692307692308,-5.656108597284923e-05,0.03076923076923077,0.00011317338162064282,33,65
