dataset,spearman,kendall,pearson,auroc,top_minus_bottom,n_observations,n_subjects,event_count,spearman_CI95,kendall_CI95,auroc_CI95,top_minus_bottom_CI95,mean_H_BBR,positive_harm_events
OpenBMI,0.44916779668600193,0.3215655608332422,0.561785797560293,0.7002073732718894,0.0001103456649515099,450,50,140,"[0.3278237419442527, 0.567712274455079]","[0.23157066227684636, 0.4154527828860567]","[0.6380476637444817, 0.7644793572796714]","[7.154888134498721e-05, 0.00015242335484908593]",-3.306100765863614e-05,140
WBCIC,0.905377676196177,0.7572073253317478,0.973084892776995,0.9298670977011494,0.0003572051914838094,328,41,96,"[0.8596973265936584, 0.9362056768812727]","[0.7005185446459536, 0.8054354277026691]","[0.8900029816721766, 0.9612779200455256]","[0.00028507976577827606, 0.00043263139033853444]",-7.051828589925358e-05,96
