dataset,fold,total_steps,audit_steps,schedule_sha256
OpenBMI,0,136,"[1, 16, 31, 46, 61, 76, 91, 106, 121, 136]",f495234c45bbfa44179d3c76a05ac0153125c23f4c95ce6d35f7cf299c5c1723
OpenBMI,1,136,"[1, 16, 31, 46, 61, 76, 91, 106, 121, 136]",796aea1792f260f58a8320e1cf13067bc2c75fe3593b22e9343fd8077598a7cd
OpenBMI,2,136,"[1, 16, 31, 46, 61, 76, 91, 106, 121, 136]",942a35796a0044f0c68ab2bf4ace8ab9c55a0026a529ca6874c4b8e849523d3b
OpenBMI,3,136,"[1, 16, 31, 46, 61, 76, 91, 106, 121, 136]",2ebac62f6ee60a4ef528aa151733765f8de0853d579e4714bfc0a2d555b02724
OpenBMI,4,138,"[1, 16, 31, 46, 61, 77, 92, 107, 122, 138]",c09b1fb6eb2ae4d613e679aa3174ea44b25eee1388a2b9a49b6318a7ff357d2a
WBCIC,0,200,"[1, 23, 45, 67, 89, 111, 133, 155, 177, 200]",70641293d46af9559a7a8d218b924c458badf30aaecae8a12feff190e3934f8e
WBCIC,1,208,"[1, 24, 47, 70, 93, 116, 139, 162, 185, 208]",3e0b842992452627351b3c755e82bb4122009606ebfe929fa8336fe105dc02ae
WBCIC,2,208,"[1, 24, 47, 70, 93, 116, 139, 162, 185, 208]",ee9d7458475e8a6440233366fa6f1692b2bcba13e412b4cb0c496de6785c5847
WBCIC,3,208,"[1, 24, 47, 70, 93, 116, 139, 162, 185, 208]",f6a76d5affbb82d8bd740531f0f6d6b2f1747d432ef1c2c9303915ec967a6961
WBCIC,4,208,"[1, 24, 47, 70, 93, 116, 139, 162, 185, 208]",69952b70d50292b4b574d1d0591e683ed4771f892b3041d2bd4c88d4fa912ec0
