dataset,same_subject_AUROC,different_subject_AUROC,AUROC_advantage,AUROC_advantage_CI95,same_subject_Spearman,different_subject_Spearman,Spearman_advantage,Spearman_advantage_CI95
OpenBMI,0.7002073732718894,0.5332258064516129,0.16698156682027654,"[0.08196618808529903, 0.25272593910560953]",0.44916779668600193,0.05755952893790521,0.3916082677480967,"[0.24870164175387702, 0.5321285110112621]"
WBCIC,0.9298670977011494,0.8328843390804598,0.09698275862068961,"[0.05169945389440868, 0.142488357198903]",0.905377676196177,0.6693944537188534,0.23598322247732362,"[0.17995103183010627, 0.2922816661295113]"
