seed,task,fold,subject_id,TFFormer_BA,LiteBN_BA,delta_pp
2,OpenBMI_SSVEP,0,4,1.0,1.0,0.0
2,OpenBMI_SSVEP,0,12,0.96,0.96,0.0
2,OpenBMI_SSVEP,0,13,0.88,0.85,3.0000000000000027
2,OpenBMI_SSVEP,0,17,0.98,0.97,1.0000000000000009
2,OpenBMI_SSVEP,0,18,1.0,1.0,0.0
2,OpenBMI_SSVEP,0,24,0.96,0.95,1.0000000000000009
2,OpenBMI_SSVEP,0,25,0.97,0.96,1.0000000000000009
2,OpenBMI_SSVEP,0,29,0.94,0.94,0.0
2,OpenBMI_SSVEP,0,36,1.0,1.0,0.0
2,OpenBMI_SSVEP,0,37,0.99,0.99,0.0
2,OpenBMI_SSVEP,0,39,1.0,1.0,0.0
2,OpenBMI_SSVEP,0,42,0.56,0.55,1.0000000000000009
2,OpenBMI_SSVEP,0,51,0.79,0.83,-3.9999999999999925
2,OpenBMI_SSVEP,0,54,0.8799999999999999,0.8899999999999999,-1.0000000000000009
2,OpenBMI_SSVEP,1,4,1.0,1.0,0.0
2,OpenBMI_SSVEP,1,12,0.96,0.96,0.0
2,OpenBMI_SSVEP,1,13,0.86,0.85,1.0000000000000009
2,OpenBMI_SSVEP,1,17,0.96,0.97,-1.0000000000000009
2,OpenBMI_SSVEP,1,18,1.0,1.0,0.0
2,OpenBMI_SSVEP,1,24,0.8999999999999999,0.8899999999999999,1.0000000000000009
2,OpenBMI_SSVEP,1,25,0.96,0.96,0.0
2,OpenBMI_SSVEP,1,29,0.97,0.98,-1.0000000000000009
2,OpenBMI_SSVEP,1,36,1.0,1.0,0.0
2,OpenBMI_SSVEP,1,37,0.99,0.99,0.0
2,OpenBMI_SSVEP,1,39,1.0,1.0,0.0
2,OpenBMI_SSVEP,1,42,0.6,0.59,1.0000000000000009
2,OpenBMI_SSVEP,1,51,0.8,0.78,2.0000000000000018
2,OpenBMI_SSVEP,1,54,0.8799999999999999,0.8799999999999999,0.0
2,OpenBMI_SSVEP,2,4,1.0,1.0,0.0
