Model,Task,seed,subject,folds_averaged,S1_BA,S1_macro_F1,S2_BA,S2_macro_F1,source_BA,future_BA,source_macro_F1,future_macro_F1,CSGD_pp,S0_to_S2_drop_pp,S1_to_S2_drop_pp,S0_BA,S0_macro_F1
EEGNet,OpenBMI_MI,0,12,5,0.74,0.737749859944467,0.6859999999999999,0.6828302953950101,0.74,0.6859999999999999,0.737749859944467,0.6828302953950101,5.400000000000005,,,,
EEGNet,OpenBMI_MI,0,13,5,0.7060000000000001,0.7056786629190499,0.6639999999999999,0.6605781753036194,0.7060000000000001,0.6639999999999999,0.7056786629190499,0.6605781753036194,4.200000000000015,,,,
EEGNet,OpenBMI_MI,0,17,5,0.734,0.7334831366576623,0.58,0.5606356421504174,0.734,0.58,0.7334831366576623,0.5606356421504174,15.400000000000002,,,,
EEGNet,OpenBMI_MI,0,18,5,0.65,0.6485670364801429,0.6319999999999999,0.6303272066584216,0.65,0.6319999999999999,0.6485670364801429,0.6303272066584216,1.8000000000000127,,,,
EEGNet,OpenBMI_MI,0,24,5,0.6399999999999999,0.6262899887299692,0.612,0.5900044922830204,0.6399999999999999,0.612,0.6262899887299692,0.5900044922830204,2.7999999999999914,,,,
EEGNet,OpenBMI_MI,0,25,5,0.79,0.7862606627839682,0.982,0.9819957986194779,0.79,0.982,0.7862606627839682,0.9819957986194779,-19.199999999999996,,,,
EEGNet,OpenBMI_MI,0,29,5,0.5700000000000001,0.5592586612098586,0.5680000000000001,0.5659282365289242,0.5700000000000001,0.5680000000000001,0.5592586612098586,0.5659282365289242,0.20000000000000018,,,,
EEGNet,OpenBMI_MI,0,36,5,0.7859999999999999,0.7825428211951918,0.79,0.788906264814933,0.7859999999999999,0.79,0.7825428211951918,0.788906264814933,-0.40000000000001146,,,,
EEGNet,OpenBMI_MI,0,37,5,0.59,0.5881625022711032,0.5980000000000001,0.5937460753128733,0.59,0.5980000000000001,0.5881625022711032,0.5937460753128733,-0.8000000000000118,,,,
EEGNet,OpenBMI_MI,0,39,5,0.7700000000000001,0.7680960021600703,0.6539999999999999,0.6378631283141472,0.7700000000000001,0.6539999999999999,0.7680960021600703,0.6378631283141472,11.600000000000021,,,,
EEGNet,OpenBMI_MI,0,4,5,0.696,0.6908556904330109,0.7399999999999999,0.7309377509950779,0.696,0.7399999999999999,0.6908556904330109,0.7309377509950779,-4.399999999999993,,,,
EEGNet,OpenBMI_MI,0,42,5,0.724,0.7218892613067015,0.6859999999999999,0.6840428948106536,0.724,0.6859999999999999,0.7218892613067015,0.6840428948106536,3.8000000000000034,,,,
EEGNet,OpenBMI_MI,0,51,5,0.688,0.6868382956854278,0.658,0.6577559554691967,0.688,0.658,0.6868382956854278,0.6577559554691967,2.9999999999999916,,,,
EEGNet,OpenBMI_MI,0,54,5,0.6140000000000001,0.6129519313059175,0.6839999999999999,0.6837215990227069,0.6140000000000001,0.6839999999999999,0.6129519313059175,0.6837215990227069,-6.999999999999984,,,,
EEGNet,OpenBMI_ERP,0,12,5,0.9372121212121212,0.8621527018717577,0.9632121212121211,0.9270266904349891,0.9372121212121212,0.9632121212121211,0.8621527018717577,0.9270266904349891,-2.599999999999991,,,,
EEGNet,OpenBMI_ERP,0,13,5,0.8912727272727272,0.8099256269776044,0.9085454545454545,0.8327334478053692,0.8912727272727272,0.9085454545454545,0.8099256269776044,0.8327334478053692,-1.7272727272727328,,,,
EEGNet,OpenBMI_ERP,0,17,5,0.8091515151515152,0.7257078507133731,0.8238181818181817,0.7432558644618039,0.8091515151515152,0.8238181818181817,0.7257078507133731,0.7432558644618039,-1.4666666666666495,,,,
EEGNet,OpenBMI_ERP,0,18,5,0.7573682856460298,0.7549704661964618,0.917818181818182,0.8888800724205881,0.7573682856460298,0.917818181818182,0.7549704661964618,0.8888800724205881,-16.044989617215222,,,,
EEGNet,OpenBMI_ERP,0,24,5,0.9472121212121213,0.895587440271786,0.8011515151515152,0.7223724764340937,0.9472121212121213,0.8011515151515152,0.895587440271786,0.7223724764340937,14.60606060606061,,,,
EEGNet,OpenBMI_ERP,0,25,5,0.7779393939393939,0.788383953319493,0.7637575757575756,0.7671285487219697,0.7779393939393939,0.7637575757575756,0.788383953319493,0.7671285487219697,1.4181818181818295,,,,
EEGNet,OpenBMI_ERP,0,29,5,0.7921818181818182,0.7832347226252201,0.8278787878787879,0.8057052234592217,0.7921818181818182,0.8278787878787879,0.7832347226252201,0.8057052234592217,-3.569696969696967,,,,
EEGNet,OpenBMI_ERP,0,36,5,0.9474545454545454,0.8868887793959936,0.9567878787878789,0.8979648762886617,0.9474545454545454,0.9567878787878789,0.8868887793959936,0.8979648762886617,-0.9333333333333416,,,,
EEGNet,OpenBMI_ERP,0,37,5,0.8535757575757575,0.7969863637596296,0.9521212121212121,0.9268640409440566,0.8535757575757575,0.9521212121212121,0.7969863637596296,0.9268640409440566,-9.85454545454546,,,,
