Model,Task,fold,seed,subject,session,session_index,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256
EEGNet,OpenBMI_MI,0,0,12,S1,1,0.77,0.769792813532179,0.77,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,13,S1,1,0.67,0.66996699669967,0.67,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,17,S1,1,0.72,0.7189883580891208,0.72,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,18,S1,1,0.63,0.6290726817042607,0.63,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,24,S1,1,0.61,0.5882166613873931,0.61,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,25,S1,1,0.8,0.7960016319869441,0.8,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,29,S1,1,0.5,0.4900040799673603,0.5,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,36,S1,1,0.8200000000000001,0.8193496587715776,0.82,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,37,S1,1,0.64,0.6394230769230769,0.64,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,39,S1,1,0.75,0.7469379491851402,0.75,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,4,S1,1,0.69,0.6828644501278772,0.69,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,42,S1,1,0.72,0.719551282051282,0.72,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,51,S1,1,0.66,0.6565656565656566,0.66,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,54,S1,1,0.6200000000000001,0.6186270574066639,0.62,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,12,S2,2,0.69,0.6897207486738064,0.69,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,13,S2,2,0.65,0.6471418489767113,0.65,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,17,S2,2,0.6399999999999999,0.6386993175431553,0.64,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,18,S2,2,0.63,0.6296667000300271,0.63,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,24,S2,2,0.61,0.5953937130407718,0.61,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,25,S2,2,0.97,0.96999699969997,0.97,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,29,S2,2,0.52,0.5151515151515151,0.52,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,36,S2,2,0.78,0.7799119647859143,0.78,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,37,S2,2,0.6200000000000001,0.6186270574066639,0.62,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,39,S2,2,0.62,0.6006725514922235,0.62,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,4,S2,2,0.74,0.7291666666666667,0.74,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,42,S2,2,0.7,0.6995192307692308,0.7,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,51,S2,2,0.6,0.5998399359743898,0.6,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,0,0,54,S2,2,0.6799999999999999,0.6798719487795117,0.68,100,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGNet,OpenBMI_MI,1,0,12,S1,1,0.73,0.7266929851199515,0.73,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,13,S1,1,0.74,0.74,0.74,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,17,S1,1,0.77,0.7699769976997699,0.77,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
