Model,Task,status,seed0_checkpoints,seed1_checkpoints,seed2_checkpoints,subjects,source_BA,future_BA,mean_CSGD_pp,median_CSGD_pp,CSGD_CI95_low_pp,CSGD_CI95_high_pp
EEGNet,OpenBMI_MI,COMPLETE,5/5,5/5,5/5,14,0.7082857142857143,0.6984285714285715,0.9857142857142875,0.766666666666671,-3.5572619047619036,5.328571428571428
EEGNet,OpenBMI_ERP,COMPLETE,5/5,5/5,5/5,14,0.8454670371741323,0.8468080808080808,-0.13410436339484383,-1.0272727272727264,-4.77616559338512,4.523393267335041
EEGNet,OpenBMI_SSVEP,COMPLETE,5/5,5/5,5/5,14,0.9312857142857143,0.8901904761904761,4.10952380952381,0.6666666666666654,-1.5905952380952395,11.781071428571419
EEGNet,WBCIC_MI,COMPLETE,5/5,5/5,5/5,10,0.7806166666666666,0.7917666666666667,-1.1150000000000015,-1.8333333333333368,-9.15,9.363541666666645
CBraMod,OpenBMI_MI,COMPLETE,5/5,5/5,5/5,14,0.5018095238095238,0.5067619047619047,-0.49523809523809487,-0.6999999999999978,-1.3525000000000018,0.39047619047619203
CBraMod,OpenBMI_ERP,COMPLETE,5/5,5/5,5/5,14,0.7621131701665359,0.7474357864357863,1.4677383730749385,0.33535353535353496,-2.0938004908305086,5.323329725829714
CBraMod,OpenBMI_SSVEP,COMPLETE,5/5,5/5,5/5,14,0.8801428571428571,0.8502857142857144,2.9857142857142844,-1.0666666666666638,-2.0285714285714294,10.381071428571415
CBraMod,WBCIC_MI,COMPLETE,5/5,5/5,5/5,10,0.7481666666666668,0.7544666666666666,-0.6299999999999985,-1.6083333333333318,-8.301874999999999,9.051958333333307
TeCh,OpenBMI_MI,COMPLETE,5/5,5/5,5/5,14,0.7114761904761905,0.7117619047619047,-0.02857142857142974,0.3999999999999948,-5.0,4.728571428571426
TeCh,OpenBMI_ERP,COMPLETE,5/5,5/5,5/5,14,0.8084128716778807,0.8046075036075037,0.3805368070377159,-1.497979797979802,-4.566874582697813,5.537557720057718
TeCh,OpenBMI_SSVEP,COMPLETE,5/5,5/5,5/5,14,0.8612380952380951,0.8235238095238095,3.7714285714285696,-0.733333333333334,-2.280952380952382,11.466666666666663
TeCh,WBCIC_MI,COMPLETE,5/5,5/5,5/5,10,0.7422166666666665,0.7436666666666667,-0.14500000000000246,-2.1833333333333353,-7.951666666666668,9.250416666666627
ModernTCN,OpenBMI_MI,COMPLETE,5/5,5/5,5/5,14,0.6070000000000001,0.616952380952381,-0.9952380952380955,-0.13333333333334085,-6.228690476190475,3.6620238095237965
ModernTCN,OpenBMI_ERP,COMPLETE,5/5,5/5,5/5,14,0.8014452617660623,0.798147186147186,0.3298075618876087,-0.4070707070707058,-4.212649148069099,4.793930614732606
ModernTCN,OpenBMI_SSVEP,INCOMPLETE,5/5,4/5,4/5,,,,,,,
ModernTCN,WBCIC_MI,INCOMPLETE,5/5,0/5,0/5,,,,,,,
Medformer,OpenBMI_MI,COMPLETE,5/5,5/5,5/5,14,0.6646666666666666,0.6715714285714285,-0.6904761904761914,-1.4333333333333365,-5.247619047619049,3.685833333333324
Medformer,OpenBMI_ERP,INCOMPLETE,5/5,4/5,3/5,,,,,,,
Medformer,OpenBMI_SSVEP,INCOMPLETE,5/5,0/5,0/5,,,,,,,
Medformer,WBCIC_MI,INCOMPLETE,5/5,0/5,0/5,,,,,,,
SGN,OpenBMI_MI,COMPLETE,5/5,5/5,5/5,14,0.5085238095238094,0.5226190476190476,-1.4095238095238094,-1.1999999999999993,-3.3238095238095235,0.49523809523809653
SGN,OpenBMI_ERP,INCOMPLETE,4/5,0/5,0/5,,,,,,,
SGN,OpenBMI_SSVEP,INCOMPLETE,0/5,0/5,0/5,,,,,,,
SGN,WBCIC_MI,INCOMPLETE,5/5,0/5,0/5,,,,,,,
LiteBN,OpenBMI_MI,COMPLETE,5/5,5/5,5/5,14,0.7257142857142858,0.7212857142857142,0.4428571428571427,1.700000000000005,-3.947738095238097,4.595238095238096
LiteBN,OpenBMI_ERP,COMPLETE,5/5,5/5,5/5,14,0.8524339128966176,0.8503881673881674,0.20457455084501824,-0.533333333333332,-4.333051239239837,4.637572150072144
LiteBN,OpenBMI_SSVEP,INCOMPLETE,5/5,4/5,4/5,,,,,,,
LiteBN,WBCIC_MI,INCOMPLETE,5/5,0/5,0/5,,,,,,,
TFFormer,OpenBMI_MI,INCOMPLETE,0/5,0/5,0/5,,,,,,,
TFFormer,OpenBMI_ERP,INCOMPLETE,0/5,0/5,0/5,,,,,,,
TFFormer,OpenBMI_SSVEP,INCOMPLETE,0/5,0/5,0/5,,,,,,,
TFFormer,WBCIC_MI,INCOMPLETE,0/5,0/5,0/5,,,,,,,
