Model,Task,status,seed0_checkpoints,seed1_checkpoints,seed2_checkpoints,subjects,source_BA,future_BA,mean_CSGD_pp,median_CSGD_pp,CSGD_CI95_low_pp,CSGD_CI95_high_pp
EEGNet,OpenBMI_MI,COMPLETE,5/5,5/5,5/5,14,0.6927142857142857,0.6809999999999999,1.1714285714285748,2.300000000000002,-3.1857142857142846,5.157142857142861
EEGNet,OpenBMI_ERP,COMPLETE,5/5,5/5,5/5,14,0.8464007649920325,0.8482770562770562,-0.18762912850238678,-1.1999999999999955,-4.805132967901318,4.519491341991336
EEGNet,OpenBMI_SSVEP,COMPLETE,5/5,5/5,5/5,14,0.937,0.8967142857142856,4.028571428571432,0.7000000000000006,-1.599999999999998,11.385714285714288
EEGNet,WBCIC_MI,COMPLETE,5/5,5/5,5/5,10,0.7866000000000001,0.7966,-0.9999999999999953,-0.7999999999999952,-9.344999999999995,9.900124999999992
CBraMod,OpenBMI_MI,COMPLETE,5/5,5/5,5/5,14,0.5035714285714287,0.5064285714285715,-0.28571428571428525,-0.8000000000000007,-1.5857142857142843,1.0285714285714296
CBraMod,OpenBMI_ERP,COMPLETE,5/5,5/5,5/5,14,0.7655370144308895,0.7506753246753245,1.4861689755564829,0.3696969696969754,-2.11684981584011,5.355433445168126
CBraMod,OpenBMI_SSVEP,COMPLETE,5/5,5/5,5/5,14,0.8788571428571427,0.8479999999999999,3.0857142857142854,-1.5999999999999903,-2.0000000000000004,10.471428571428564
CBraMod,WBCIC_MI,COMPLETE,5/5,5/5,5/5,10,0.7476,0.7539,-0.6300000000000037,-2.4999999999999964,-8.560125000000003,9.695249999999975
TeCh,OpenBMI_MI,COMPLETE,5/5,5/5,5/5,14,0.718,0.7145714285714286,0.34285714285714447,-0.500000000000006,-4.514285714285711,4.986071428571403
TeCh,OpenBMI_ERP,COMPLETE,5/5,5/5,5/5,14,0.8061705979486453,0.8043419913419914,0.18286066066539283,-1.8575757575757468,-4.7687492747801965,5.2453021311617345
TeCh,OpenBMI_SSVEP,COMPLETE,5/5,5/5,5/5,14,0.8638571428571428,0.8304285714285714,3.3428571428571443,-1.0000000000000009,-2.371428571428573,10.986071428571403
TeCh,WBCIC_MI,COMPLETE,5/5,5/5,5/5,10,0.7407,0.742,-0.1299999999999994,-1.3249999999999984,-8.075125,9.11512499999999
ModernTCN,OpenBMI_MI,COMPLETE,5/5,5/5,5/5,14,0.6044285714285715,0.6134285714285713,-0.9,0.20000000000000573,-5.914285714285713,3.614285714285714
ModernTCN,OpenBMI_ERP,COMPLETE,5/5,5/5,5/5,14,0.7981491734463232,0.7968787878787877,0.12703855675353531,-0.43030303030301975,-4.446000731126565,4.504111510583612
ModernTCN,OpenBMI_SSVEP,COMPLETE,5/5,4/5,4/5,14,0.8815714285714286,0.8451428571428571,3.6428571428571437,-0.4999999999999949,-2.0428571428571396,11.557499999999974
ModernTCN,WBCIC_MI,COMPLETE,5/5,0/5,0/5,10,0.7123499999999999,0.7074,0.4949999999999989,-1.2250000000000039,-6.365125,8.740124999999981
Medformer,OpenBMI_MI,COMPLETE,5/5,5/5,5/5,14,0.6679999999999999,0.6749999999999999,-0.7000000000000023,-2.000000000000007,-5.185714285714288,3.7285714285714255
Medformer,OpenBMI_ERP,COMPLETE,5/5,4/5,3/5,14,0.8039077179137822,0.7958917748917749,0.8015943022007367,0.6151515151515186,-4.125699505669179,5.825108225108231
Medformer,OpenBMI_SSVEP,COMPLETE,5/5,0/5,0/5,14,0.9237142857142856,0.885,3.8714285714285666,-0.6000000000000005,-1.4714285714285753,11.157142857142848
Medformer,WBCIC_MI,COMPLETE,5/5,0/5,0/5,10,0.7594000000000001,0.7543,0.5100000000000009,-1.3750000000000095,-7.619999999999997,10.520249999999974
SGN,OpenBMI_MI,COMPLETE,5/5,5/5,5/5,14,0.5114285714285713,0.5228571428571429,-1.1428571428571441,-0.9000000000000008,-3.357142857142858,0.9142857142857144
SGN,OpenBMI_ERP,INCOMPLETE,4/5,0/5,0/5,,,,,,,
SGN,OpenBMI_SSVEP,INCOMPLETE,0/5,0/5,0/5,,,,,,,
SGN,WBCIC_MI,COMPLETE,5/5,0/5,0/5,10,0.68215,0.6624000000000001,1.9749999999999985,-5.724999999999997,-5.7950000000000035,11.455249999999975
LiteBN,OpenBMI_MI,COMPLETE,5/5,5/5,5/5,14,0.7299999999999998,0.7340000000000001,-0.4000000000000035,1.0000000000000009,-5.22892857142858,4.414285714285713
LiteBN,OpenBMI_ERP,COMPLETE,5/5,5/5,5/5,14,0.85119735166794,0.849939393939394,0.1257957728545954,-0.40606060606060423,-4.368941940412529,4.53344155844155
LiteBN,OpenBMI_SSVEP,COMPLETE,5/5,4/5,4/5,14,0.903857142857143,0.8770000000000001,2.6857142857142873,0.0,-2.1142857142857148,9.371428571428572
LiteBN,WBCIC_MI,COMPLETE,5/5,0/5,0/5,10,0.7344499999999999,0.7314999999999999,0.2949999999999985,0.6999999999999895,-4.840000000000003,6.24
TFFormer,OpenBMI_MI,INCOMPLETE,0/5,0/5,0/5,,,,,,,
TFFormer,OpenBMI_ERP,INCOMPLETE,0/5,0/5,0/5,,,,,,,
TFFormer,OpenBMI_SSVEP,INCOMPLETE,0/5,0/5,0/5,,,,,,,
TFFormer,WBCIC_MI,INCOMPLETE,0/5,0/5,0/5,,,,,,,
