dataset,fold,seed,subject_id,method,checkpoint_variant,primary,trials,BA,macro_F1,accuracy
OpenBMI,2,0,30,FROZEN-LOGIT50,selected_best,True,100,0.78,0.7796474358974359,0.78
OpenBMI,2,0,30,JOINT-CE,EMA_epoch20_PRIMARY,True,100,0.74,0.7390606182256123,0.74
OpenBMI,2,0,30,NRRF-v1,EMA_epoch20_PRIMARY,True,100,0.74,0.7390606182256123,0.74
OpenBMI,2,0,48,EEGNet,selected_best,True,100,0.6699999999999999,0.6624040920716112,0.67
OpenBMI,2,0,48,LiteBN,selected_best,True,100,0.66,0.6565656565656566,0.66
OpenBMI,2,0,48,FROZEN-LOGIT50,selected_best,True,100,0.7,0.7,0.7
OpenBMI,2,0,48,JOINT-CE,EMA_epoch20_PRIMARY,True,100,0.7,0.6998799519807923,0.7
OpenBMI,2,0,48,NRRF-v1,EMA_epoch20_PRIMARY,True,100,0.72,0.72,0.72
OpenBMI,2,0,11,EEGNet,selected_best,True,100,0.71,0.6991389148251893,0.71
OpenBMI,2,0,11,LiteBN,selected_best,True,100,0.73,0.7286704853783539,0.73
OpenBMI,2,0,11,FROZEN-LOGIT50,selected_best,True,100,0.74,0.7348021215830274,0.74
OpenBMI,2,0,11,JOINT-CE,EMA_epoch20_PRIMARY,True,100,0.69,0.6756982948007113,0.69
OpenBMI,2,0,11,NRRF-v1,EMA_epoch20_PRIMARY,True,100,0.6799999999999999,0.6692848284415047,0.68
OpenBMI,2,0,8,EEGNet,selected_best,True,100,0.65,0.6496847162446202,0.65
OpenBMI,2,0,8,LiteBN,selected_best,True,100,0.8500000000000001,0.8492613807657522,0.85
OpenBMI,2,0,8,FROZEN-LOGIT50,selected_best,True,100,0.8400000000000001,0.8389694041867954,0.84
OpenBMI,2,0,8,JOINT-CE,EMA_epoch20_PRIMARY,True,100,0.85,0.8481627695110842,0.85
OpenBMI,2,0,8,NRRF-v1,EMA_epoch20_PRIMARY,True,100,0.85,0.8481627695110842,0.85
OpenBMI,3,0,45,EEGNet,selected_best,True,100,0.76,0.7596153846153846,0.76
OpenBMI,3,0,45,LiteBN,selected_best,True,100,0.74,0.74,0.74
OpenBMI,3,0,45,FROZEN-LOGIT50,selected_best,True,100,0.79,0.78997899789979,0.79
OpenBMI,3,0,45,JOINT-CE,EMA_epoch20_PRIMARY,True,100,0.77,0.769792813532179,0.77
OpenBMI,3,0,45,NRRF-v1,EMA_epoch20_PRIMARY,True,100,0.76,0.7591328783621036,0.76
OpenBMI,3,0,34,EEGNet,selected_best,True,100,0.6599999999999999,0.6594551282051282,0.66
OpenBMI,3,0,34,LiteBN,selected_best,True,100,0.61,0.5953937130407718,0.61
OpenBMI,3,0,34,FROZEN-LOGIT50,selected_best,True,100,0.73,0.7237851662404092,0.73
