dataset,EEGNet_BA,LiteBN_BA,Frozen_LOGIT50_BA,JOINT_CE_BA,NRRF_BA,NRRF_gain_vs_EEGNet_pp,NRRF_median_subject_gain_pp,NRRF_bootstrap_ci_low_pp,NRRF_bootstrap_ci_high_pp,NRRF_gain_vs_LOGIT50_pp,NRRF_harm_le_minus_1pp_fraction,NRRF_harm_le_minus_3pp_fraction,NRRF_worst_subject_delta_pp,NRRF_positive_folds,NRRF_worst_fold_delta_pp,NRRF_vs_JOINT_CE_meanBA_pp,WBCIC_harm_reduction_vs_JOINT_CE_pp
OpenBMI,0.7577499999999999,0.7915,0.8,0.7995,0.79725,3.9500000000000015,2.9999999999999973,2.3500000000000023,5.675000000000001,-0.27499999999999913,0.15,0.075,-4.0000000000000036,5,1.749999999999996,-0.2249999999999992,2.4999999999999996
WBCIC,0.78268022971652,0.7870401596611274,0.7939839931573802,0.7462685320951449,0.7381653225806454,-4.451490713587488,-3.499999999999992,-7.3547165200391,-1.8865744134897413,-5.581867057673511,0.6129032258064516,0.5161290322580645,-27.499999999999993,2,-13.58270202020202,-0.8103209514499841,-3.2258064516129004
