dataset,fold,seed,method,mean_subject_BA,mean_subject_macro_F1,mean_subject_accuracy,delta_vs_EEGNet_pp,median_subject_delta_vs_EEGNet_pp,harm_le_minus_1pp_fraction,harm_le_minus_3pp_fraction,gain_ge_1pp_fraction,worst_subject_delta_pp,n_subjects
OpenBMI,0,0,EEGNet,0.8,0.7980293041049831,0.8,0.0,0.0,0.0,0.0,0.0,0.0,8
OpenBMI,0,0,LiteBN,0.82625,0.8239583329302678,0.82625,2.6249999999999996,2.500000000000002,0.25,0.125,0.75,-3.9999999999999925,8
OpenBMI,0,0,FROZEN-LOGIT50,0.8262499999999999,0.8238838403785962,0.82625,2.6249999999999885,2.0000000000000018,0.25,0.0,0.75,-2.0000000000000018,8
OpenBMI,0,0,JOINT-CE,0.8187500000000001,0.8164909018578524,0.8187500000000001,1.8750000000000044,1.4999999999999958,0.25,0.125,0.625,-4.0000000000000036,8
OpenBMI,0,0,NRRF-v1,0.8175,0.8152261370428364,0.8175,1.749999999999996,0.500000000000006,0.25,0.125,0.5,-4.0000000000000036,8
OpenBMI,1,0,EEGNet,0.8125,0.8098641814985617,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,8
OpenBMI,1,0,LiteBN,0.8325,0.8303223777063318,0.8325,2.0000000000000018,-1.0000000000000009,0.625,0.25,0.375,-5.999999999999995,8
OpenBMI,1,0,FROZEN-LOGIT50,0.8425,0.8410904903707968,0.8425,3.0000000000000027,1.0000000000000009,0.25,0.0,0.625,-2.9999999999999916,8
OpenBMI,1,0,JOINT-CE,0.8425,0.8410611407337427,0.8425,3.0000000000000027,0.500000000000006,0.25,0.125,0.5,-3.9999999999999925,8
OpenBMI,1,0,NRRF-v1,0.8362499999999999,0.8344846853029049,0.8362499999999999,2.374999999999994,5.551115123125783e-15,0.25,0.125,0.375,-3.9999999999999925,8
OpenBMI,2,0,EEGNet,0.6875,0.6837343060916314,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,8
OpenBMI,2,0,LiteBN,0.7275,0.7222554584824781,0.7275,4.0000000000000036,2.500000000000002,0.125,0.125,0.75,-3.9999999999999925,8
OpenBMI,2,0,FROZEN-LOGIT50,0.7475,0.7431663158415301,0.7475,6.000000000000005,4.5000000000000036,0.125,0.0,0.875,-1.0000000000000009,8
OpenBMI,2,0,JOINT-CE,0.74625,0.7403400687743668,0.74625,5.8749999999999964,4.5000000000000036,0.125,0.0,0.875,-2.0000000000000018,8
OpenBMI,2,0,NRRF-v1,0.74625,0.7407021935014555,0.74625,5.8749999999999964,5.000000000000004,0.125,0.125,0.75,-3.0000000000000027,8
OpenBMI,3,0,EEGNet,0.76,0.7585738439416406,0.76,0.0,0.0,0.0,0.0,0.0,0.0,8
OpenBMI,3,0,LiteBN,0.7875000000000001,0.7851528645934953,0.7875000000000001,2.750000000000008,3.499999999999992,0.25,0.125,0.625,-4.999999999999993,8
OpenBMI,3,0,FROZEN-LOGIT50,0.8025,0.8010132516597732,0.8025,4.249999999999998,3.0000000000000027,0.0,0.0,0.875,1.1102230246251565e-14,8
OpenBMI,3,0,JOINT-CE,0.81125,0.8100225917011459,0.81125,5.125000000000002,4.499999999999993,0.0,0.0,1.0,1.0000000000000009,8
OpenBMI,3,0,NRRF-v1,0.80875,0.8073942974672487,0.80875,4.8749999999999964,2.9999999999999973,0.0,0.0,0.875,0.0,8
OpenBMI,4,0,EEGNet,0.72875,0.725820765399561,0.72875,0.0,0.0,0.0,0.0,0.0,0.0,8
OpenBMI,4,0,LiteBN,0.78375,0.7764506670099987,0.78375,5.499999999999994,4.0000000000000036,0.125,0.0,0.875,-1.0000000000000009,8
OpenBMI,4,0,FROZEN-LOGIT50,0.78125,0.7765705779402978,0.78125,5.249999999999999,4.0000000000000036,0.0,0.0,1.0,1.0000000000000009,8
OpenBMI,4,0,JOINT-CE,0.77875,0.7746789124749305,0.77875,5.000000000000004,3.9999999999999982,0.25,0.0,0.75,-1.9999999999999907,8
OpenBMI,4,0,NRRF-v1,0.7775000000000001,0.7735993573145012,0.7775000000000001,4.875000000000007,3.4999999999999973,0.125,0.0,0.75,-1.0000000000000009,8
WBCIC,0,0,EEGNet,0.7714285714285714,0.7663173858192158,0.7714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,7
WBCIC,0,0,LiteBN,0.7792857142857142,0.7776895502867541,0.7792857142857142,0.7857142857142896,1.5000000000000013,0.2857142857142857,0.2857142857142857,0.5714285714285714,-4.0000000000000036,7
WBCIC,0,0,FROZEN-LOGIT50,0.7985714285714286,0.7967582289219072,0.7985714285714286,2.7142857142857246,2.0000000000000018,0.0,0.0,0.7142857142857143,0.5000000000000004,7
WBCIC,0,0,JOINT-CE,0.6764285714285715,0.6241018949575243,0.6764285714285715,-9.499999999999986,-7.9999999999999964,1.0,1.0,0.0,-17.999999999999993,7
WBCIC,0,0,NRRF-v1,0.6842857142857143,0.6365637592026331,0.6842857142857143,-8.714285714285708,-7.500000000000007,1.0,1.0,0.0,-16.500000000000004,7
WBCIC,1,0,EEGNet,0.8125,0.8121228120711376,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,6
WBCIC,1,0,LiteBN,0.7733333333333333,0.7532636467401564,0.7733333333333333,-3.9166666666666683,-3.2500000000000027,0.8333333333333334,0.6666666666666666,0.16666666666666666,-13.0,6
WBCIC,1,0,FROZEN-LOGIT50,0.7933333333333333,0.7787601629097951,0.7933333333333333,-1.9166666666666665,-0.7500000000000007,0.5,0.3333333333333333,0.3333333333333333,-10.000000000000009,6
WBCIC,1,0,JOINT-CE,0.7983333333333332,0.7818445993902623,0.7983333333333333,-1.4166666666666772,0.49999999999998934,0.3333333333333333,0.3333333333333333,0.3333333333333333,-10.499999999999998,6
WBCIC,1,0,NRRF-v1,0.7966666666666665,0.7794833072407253,0.7966666666666667,-1.5833333333333477,0.24999999999999467,0.3333333333333333,0.3333333333333333,0.3333333333333333,-11.00000000000001,6
WBCIC,2,0,EEGNet,0.7491666666666666,0.7454095174814169,0.7491666666666666,0.0,0.0,0.0,0.0,0.0,0.0,6
WBCIC,2,0,LiteBN,0.7558333333333334,0.7545843026841036,0.7558333333333334,0.666666666666671,-0.5000000000000004,0.5,0.3333333333333333,0.3333333333333333,-5.999999999999995,6
