dataset,fold,seed,subject_id,method,checkpoint_variant,primary,trials,BA,macro_F1,accuracy
OpenBMI,0,0,15,JOINT-CE,raw_epoch20_diagnostic,False,100,0.8999999999999999,0.8998397435897436,0.9
OpenBMI,0,0,15,NRRF-v1,raw_epoch20_diagnostic,False,100,0.87,0.8696741854636592,0.87
OpenBMI,0,0,38,JOINT-CE,raw_epoch20_diagnostic,False,100,0.75,0.7406369955389562,0.75
OpenBMI,0,0,38,NRRF-v1,raw_epoch20_diagnostic,False,100,0.73,0.7175436761167486,0.73
OpenBMI,0,0,6,JOINT-CE,raw_epoch20_diagnostic,False,100,0.95,0.9499949994999499,0.95
OpenBMI,0,0,6,NRRF-v1,raw_epoch20_diagnostic,False,100,0.95,0.9499949994999499,0.95
OpenBMI,0,0,33,JOINT-CE,raw_epoch20_diagnostic,False,100,0.87,0.8698828946051447,0.87
OpenBMI,0,0,33,NRRF-v1,raw_epoch20_diagnostic,False,100,0.85,0.8498648783905515,0.85
OpenBMI,0,0,32,JOINT-CE,raw_epoch20_diagnostic,False,100,0.63,0.62996299629963,0.63
OpenBMI,0,0,32,NRRF-v1,raw_epoch20_diagnostic,False,100,0.63,0.62996299629963,0.63
OpenBMI,0,0,3,JOINT-CE,raw_epoch20_diagnostic,False,100,0.87,0.8693598633303186,0.87
OpenBMI,0,0,3,NRRF-v1,raw_epoch20_diagnostic,False,100,0.87,0.8693598633303186,0.87
OpenBMI,0,0,5,JOINT-CE,raw_epoch20_diagnostic,False,100,0.74,0.7390606182256123,0.74
OpenBMI,0,0,5,NRRF-v1,raw_epoch20_diagnostic,False,100,0.73,0.7286704853783539,0.73
OpenBMI,0,0,47,JOINT-CE,raw_epoch20_diagnostic,False,100,0.9,0.898989898989899,0.9
OpenBMI,0,0,47,NRRF-v1,raw_epoch20_diagnostic,False,100,0.88,0.8782467532467533,0.88
OpenBMI,1,0,26,JOINT-CE,raw_epoch20_diagnostic,False,100,0.8400000000000001,0.839421918908069,0.84
OpenBMI,1,0,26,NRRF-v1,raw_epoch20_diagnostic,False,100,0.8500000000000001,0.849624060150376,0.85
OpenBMI,1,0,2,JOINT-CE,raw_epoch20_diagnostic,False,100,0.81,0.8099809980998101,0.81
OpenBMI,1,0,2,NRRF-v1,raw_epoch20_diagnostic,False,100,0.8200000000000001,0.8197115384615384,0.82
OpenBMI,1,0,14,JOINT-CE,raw_epoch20_diagnostic,False,100,0.7,0.6998799519807923,0.7
