block,rank,H1,H2,H3,H4,H5,all_H1_H5,assignment,action
P01_04,4,False,True,True,False,False,False,UNCERTAIN,NO_OP
P05_08,4,False,False,True,False,True,False,UNCERTAIN,NO_OP
P09_16,8,False,False,True,False,False,False,UNCERTAIN,NO_OP
P17_32,16,False,False,False,False,False,False,UNCERTAIN,NO_OP
