block,rank,u_abs_mean,u_abs_CI95_L,u_abs_CI95_U,u_spec_mean,u_spec_CI95_L,u_spec_CI95_U,p_raw_harmful,p_holm_harmful
P01_04,4,-0.27432575642322216,-0.42206736751667306,-0.1360962367045704,-0.23099146299825268,-0.36359205540652456,-0.1121840073784439,0.00079345703125,0.003173828125
P05_08,4,-0.05819093160393168,-0.10879886785679382,-0.018355523419006918,-0.03194016080790771,-0.07827819406861522,0.0033703689878502,0.072845458984375,0.218536376953125
P09_16,8,-0.01632781545333089,-0.03208206337042381,-0.0026317611429898875,0.016785067096258537,-0.0006842403488672012,0.033757909992705226,0.957916259765625,1.0
P17_32,16,-0.00862255009542257,-0.015885671119880988,-0.0021138395278344586,0.02220168137759474,0.010550793651140963,0.034715363510403,0.9984130859375,1.0
