candidate,learning_rate,weight_decay,epoch,train_loss,validation_subject_mean_BA,validation_CE
0,0.0003,0.0001,1,1.3927528381347656,0.25829081632653056,1.3840893507003784
0,0.0003,0.0001,2,1.374838161468506,0.2755102040816327,1.3857303857803345
0,0.0003,0.0001,3,1.363335084915161,0.25637755102040816,1.3915975093841553
0,0.0003,0.0001,4,1.3546258926391601,0.25191326530612246,1.3946439027786255
0,0.0003,0.0001,5,1.3465816497802734,0.2959183673469388,1.3873621225357056
0,0.0003,0.0001,6,1.3308202505111695,0.29336734693877553,1.3827381134033203
0,0.0003,0.0001,7,1.3206344604492188,0.29974489795918363,1.3806074857711792
0,0.0003,0.0001,8,1.3074743747711182,0.29400510204081637,1.3924527168273926
0,0.0003,0.0001,9,1.2934144735336304,0.3073979591836734,1.3970261812210083
0,0.0003,0.0001,10,1.2821001768112184,0.3086734693877551,1.4014486074447632
0,0.0003,0.0001,11,1.2595887184143066,0.28125,1.4085832834243774
0,0.0003,0.0001,12,1.247597098350525,0.2978316326530612,1.4068570137023926
0,0.0003,0.0001,13,1.238447666168213,0.3016581632653061,1.455133080482483
0,0.0003,0.0001,14,1.2138663053512573,0.3227040816326531,1.4394774436950684
0,0.0003,0.0001,15,1.1900212526321412,0.3086734693877551,1.4531341791152954
0,0.0003,0.0001,16,1.1846539735794068,0.3042091836734694,1.4509965181350708
0,0.0003,0.0001,17,1.1635035037994386,0.3227040816326531,1.4864510297775269
0,0.0003,0.0001,18,1.1440470933914184,0.33163265306122447,1.5247372388839722
0,0.0003,0.0001,19,1.1123032331466676,0.33418367346938777,1.5077459812164307
0,0.0003,0.0001,20,1.0871642112731934,0.305484693877551,1.506458044052124
0,0.0003,0.0001,21,1.0828011989593507,0.33099489795918363,1.5449326038360596
0,0.0003,0.0001,22,1.0566723823547364,0.30357142857142855,1.5521804094314575
0,0.0003,0.0001,23,1.0322018265724182,0.3131377551020408,1.5821623802185059
0,0.0003,0.0001,24,0.9980977296829223,0.3022959183673469,1.5868635177612305
0,0.0003,0.0001,25,0.9784925222396851,0.3290816326530612,1.5850268602371216
0,0.0003,0.0001,26,0.9653782963752746,0.322704081632653,1.6447741985321045
0,0.0003,0.0001,27,0.9619669795036316,0.30739795918367346,1.6486598253250122
