block,subject,n_future_trials,persistence_advantage,persistence_random,persistence_specific,u_abs,u_random,u_spec,finite_ratio,base_BA,candidate_BA,random_BA_mean,delta_BA,delta_BA_random,delta_BA_specific
P01_04,S002,60,24.406312234418706,24.75770206211597,-0.3513898276972718,-0.05651002127876904,0.005571652078210372,-0.062081673356979415,1.928778809792572,0.3683035714285714,0.2924107142857143,0.3394419642857142,-0.0758928571428571,-0.028861607142857182,-0.04703124999999991
P01_04,S015,60,29.653713461491833,29.439010702456482,0.21470275903534386,-0.2044311294577337,-0.03826956922003882,-0.16616156023769488,3.291098578965872,0.265625,0.24553571428571427,0.26058035714285716,-0.020089285714285726,-0.005044642857142845,-0.015044642857142881
P01_04,S018,60,33.90679849472594,32.04571517348027,1.8610833212456654,-0.036502377266583494,-0.007785967145616512,-0.02871641012096698,1.1820594296738618,0.2833333333333333,0.30000000000000004,0.2713333333333333,0.01666666666666672,-0.01200000000000001,0.02866666666666673
P01_04,S030,60,41.717696206599996,39.25324659033461,2.464449616265391,-0.05269442919485597,-0.007091271768486746,-0.04560315742636922,1.3324827440373144,0.1607142857142857,0.20535714285714285,0.2098660714285714,0.04464285714285715,0.04915178571428569,-0.004508928571428539
P01_04,S043,60,21.26234891783748,19.92938929443089,1.332959623406584,-0.6316632368450587,-0.10359255631186888,-0.5280706805331897,3.65097745803176,0.35,0.3,0.3146666666666666,-0.04999999999999999,-0.03533333333333338,-0.014666666666666606
P01_04,S044,60,28.506959612588346,23.17422223564514,5.3327373769432,-0.9459443855300399,-0.1141771588492314,-0.8317672266808085,2.75935804071411,0.26666666666666666,0.31666666666666665,0.2835,0.04999999999999999,0.01683333333333331,0.03316666666666668
P01_04,S066,60,10.042251265942506,16.124396477861186,-6.0821452119186805,-0.4412123869178981,-0.0933627055197414,-0.3478496813981567,3.7575302507033936,0.25,0.2833333333333333,0.23733333333333334,0.033333333333333326,-0.01266666666666666,0.045999999999999985
P01_04,S072,60,50.0431709419457,44.99979948977467,5.043371452171058,0.03958382326861801,-0.03778868940474136,0.07737251267335937,1.3119021825452992,0.3333333333333333,0.31666666666666665,0.3398333333333332,-0.016666666666666663,0.006499999999999895,-0.023166666666666558
P01_04,S077,60,32.75103417418573,28.402481760673584,4.348552413512159,-0.07033528979514439,0.0038068055112052807,-0.07414209530634967,1.8766002814902616,0.28422619047619047,0.22023809523809523,0.2839657738095238,-0.06398809523809523,-0.00026041666666665186,-0.06372767857142858
P01_04,S083,60,33.51662416706374,31.889273185448715,1.6273509816150238,-0.613668364685869,-0.1078980836285211,-0.5057702810573479,4.104075130605375,0.3013392857142857,0.21205357142857142,0.2845535714285714,-0.08928571428571427,-0.016785714285714293,-0.07249999999999998
P01_04,S088,76,20.90115041684023,19.55652378235642,1.3446266344838094,-0.5200991482378815,-0.09904778624822178,-0.42105136198965976,3.9118299956844296,0.22368421052631576,0.2763157894736842,0.26289473684210524,0.05263157894736842,0.03921052631578947,0.013421052631578945
P01_04,S095,60,23.67086992553644,20.906082712917684,2.7647872126187565,-0.3888494333911453,-0.05238738942388064,-0.33646204396726465,3.050190452704226,0.2767857142857143,0.3816964285714286,0.2971428571428572,0.1049107142857143,0.020357142857142907,0.0845535714285714
P01_04,S097,60,17.860233269364407,17.95924895473219,-0.09901568536777816,0.03714580537180734,0.002393850244945773,0.034751955126861564,3.004873861300399,0.2833333333333333,0.21666666666666665,0.2665,-0.06666666666666668,-0.01683333333333331,-0.04983333333333337
P01_04,S102,60,35.8318087258679,33.71756768776428,2.1142410381036214,-0.027962514245781424,0.007057502904873839,-0.03502001715065527,1.109990987360642,0.35,0.31666666666666665,0.309,-0.033333333333333326,-0.04099999999999998,0.007666666666666655
P01_04,S106,60,22.55962442181502,19.929287714893384,2.6303367069216357,-0.20174325814199667,-0.007443034593427863,-0.19430022354856882,2.2894544077654064,0.29464285714285715,0.328125,0.2925,0.03348214285714285,-0.0021428571428571686,0.03562500000000002
