epoch,validation_macro_BA,validation_BA_mi,validation_BA_erp,validation_BA_ssvep,train_task_loss,train_subject_loss,train_total_loss,train_grad_norm,lambda_inv_effective,lambda_inv_effective_mi,lambda_inv_effective_erp,lambda_inv_effective_ssvep,spectrum_positive_rho_count,spectrum_pca_overlap,spectrum_alignment_mean,elapsed_seconds
0,0.7752300785634119,0.7466666666666666,0.6418013468013468,0.9372222222222223,0.41217210171399293,3.5065505372153387,3.9187226251319602,1.0127893299968154,0.0,0.0,0.0,0.0,20,0.7014731866097604,1.0,9.329110383987427
1,0.7721380471380472,0.7511111111111111,0.6458585858585859,0.9194444444444445,0.4097348948319753,3.393639820593375,3.803374692245766,1.04665477960198,0.0,0.0,0.0,0.0,20,0.7014731866097604,1.0,17.06326651573181
2,0.7686812570145903,0.74,0.6443771043771044,0.9216666666666666,0.40420810381571454,3.2711636269534075,3.6753717307691223,1.084496451748742,0.0375,0.0225,0.0375,0.0525,20,0.7014731866097604,1.0,24.84015130996704
3,0.7707912457912457,0.7372222222222222,0.647929292929293,0.9272222222222222,0.41233482239422975,3.21757725433067,3.6299120717578464,1.1391947997940912,0.075,0.045,0.075,0.105,20,0.7014731866097604,1.0,32.4556200504303
4,0.7699775533108867,0.7427777777777778,0.6393771043771044,0.9277777777777778,0.40665690545682553,3.1814287503560386,3.588085646982546,1.1246314843495686,0.11249999999999999,0.06749999999999999,0.11249999999999999,0.15749999999999997,19,0.7127235502283271,0.6876386383443928,42.19014883041382
5,0.768726150392817,0.7305555555555556,0.6472895622895622,0.9283333333333333,0.4051066995770843,3.2740104330910578,3.679117110040453,1.154914125248238,0.15,0.09,0.15,0.21,19,0.7127235502283271,0.6876386383443928,49.84926104545593
6,0.7710325476992144,0.7333333333333334,0.6480976430976431,0.9316666666666666,0.4101878084518291,3.4209432513625533,3.831131034427219,1.2222702138953738,0.15,0.09,0.15,0.21,19,0.7127235502283271,0.6876386383443928,57.65802574157715
7,0.7691582491582492,0.7450000000000001,0.6396969696969697,0.9227777777777777,0.4112553039082774,3.428752656336184,3.8400079630039357,1.2150694319495448,0.15,0.09,0.15,0.21,19,0.7127235502283271,0.6876386383443928,65.46463346481323
8,0.7725757575757576,0.7466666666666666,0.6427272727272728,0.9283333333333333,0.4049885212271302,3.485439274046156,3.890427792513812,1.1134328389609303,0.15,0.09,0.15,0.21,19,0.7278925353248415,0.48798378518708513,75.26965689659119
9,0.7707575757575759,0.7483333333333333,0.6389393939393939,0.925,0.41314450016728155,3.3896676390259355,3.802812139193217,1.1956385219538654,0.15,0.09,0.15,0.21,19,0.7278925353248415,0.48798378518708513,83.11447930335999
10,0.7744893378226712,0.7522222222222222,0.6429124579124579,0.9283333333333332,0.4064836816655265,3.321849650806851,3.7283333363356412,1.1738327355296523,0.15,0.09,0.15,0.21,19,0.7278925353248415,0.48798378518708513,90.87862420082092
11,0.7714365881032549,0.7383333333333333,0.6481986531986532,0.9277777777777778,0.4082308615799303,3.335299050366437,3.7435298981489957,1.2429405075532418,0.15,0.09,0.15,0.21,19,0.7278925353248415,0.48798378518708513,98.71789526939392
