setting_id,fold,seed,method,lambda,I_ERM,I_method,S_I_abs,S_I_rel,checkpoint_sha256,task_outcome_accessed_for_selection
S4,1,0,DANN,0.01,0.07400362564871754,0.06418054642474669,0.009823079223970854,0.13273781031305926,3bc786621ab577e380e3655c4d5ebd2f11fc9aa99ad82395ca75a2e7982cc6c2,False
S4,1,0,DANN,0.1,0.07400362564871754,0.07473467022960523,-0.0007310445808876853,-0.009878496823222546,821e33c66fe87946f12f0ae2ed3b6dac6c19a575c39a8db39ac49a6707e6d4a0,False
S4,1,0,DANN,1.0,0.07400362564871754,0.07358406878421331,0.0004195568645042336,0.005669409583932121,4fb6586078d4e44782c84fcb508dd950e3b743fc3e4e5f38952c67691f5b45fc,False
S4,1,0,MMD,0.01,0.07400362564871754,0.07400362564871754,0.0,0.0,c2cd5552ba7331d6944edeb71c6c22fb9eb5fd323337761ee91293c94213b9c8,False
S4,1,0,MMD,0.1,0.07400362564871754,0.07400362564871754,0.0,0.0,f6e3df6b12ae75490c426ae7fdfcdd78950a5537657be8217e751f737a4e0b18,False
S4,1,0,MMD,1.0,0.07400362564871754,0.07400362564871754,0.0,0.0,901de757f6e299fa923f6db80cd134f829f262a3850f14de1e82f1d9c493e29b,False
S4,1,0,CORAL,0.01,0.07400362564871754,0.07238678668972476,0.0016168389589927834,0.0218481046678144,bb1015c038d397600d0463f72ddc900d30a4949228fafa7ce74802348bd42b39,False
S4,1,0,CORAL,0.1,0.07400362564871754,0.0700052334011727,0.003998392247544835,0.05402968047093374,a3bc30c2d7898f64e64e31f73a6700cbeedee1003692b5d59841aed5e3ba3599,False
S4,1,0,CORAL,1.0,0.07400362564871754,0.06901372314174203,0.004989902506975508,0.0674278113155467,135f8c72d0e3e7681aa75fce47c3a6e689ed341cdfcedc1ede205410538a637b,False
S4,1,1,DANN,0.01,0.07896825442206823,0.06970396084493702,0.00926429357713121,0.11731668180859424,12d4187fc7a2cf712d83392f4087638a31675793f50d93e78b12aa91c741d623,False
S4,1,1,DANN,0.1,0.07896825442206823,0.06395424045658826,0.015014013965479966,0.19012721093014395,44679a217336c7e55a897f366f094014be1ec2aca486aa3fa0e52b1121e67dd3,False
S4,1,1,DANN,1.0,0.07896825442206823,0.08137755298039884,-0.002409298558330608,-0.030509710211180797,78ef32914ca168a985dc9616add3eb9807cf0aeaf300d9415c0383ef3c6b33d7,False
S4,1,1,MMD,0.01,0.07896825442206823,0.0689982579052748,0.009969996516793422,0.12625322149556067,77090752a75c63e4bd1361e5c787501f89d5a5f15181766499c4074c68d98b98,False
S4,1,1,MMD,0.1,0.07896825442206823,0.07919574194337975,-0.00022748752131152017,-0.00288074648443877,4610a9d2a4465d8b9604c14329c8fb9e8bc5be8fa392c427fff40d6d531780a9,False
S4,1,1,MMD,1.0,0.07896825442206823,0.07011790601892542,0.008850348403142805,0.1120747630526,d322c83d2dbda0c55e93f5ccce2d1994a457acac24225ee22fc902813381e273,False
S4,1,1,CORAL,0.01,0.07896825442206823,0.08436915601461781,-0.0054009015925495785,-0.06839332630571437,d4228c2510a3a3dfae900d141aa7a0c86c735d05576a2c5d7a59b19e31b71059,False
S4,1,1,CORAL,0.1,0.07896825442206823,0.08569537219669732,-0.006727117774629088,-0.08518762158004546,7b6c2acb888a9be6f4ae4151d14851684f33b85f11efbbbf0148e274938227b5,False
S4,1,1,CORAL,1.0,0.07896825442206823,0.07281333093348197,0.006154923488586261,0.07794174423068269,1d785f0e2e640556f51d6a70cac8ba0199dbfbd67bd7a69b8a344e0165419385,False
S4,1,2,DANN,0.01,0.07953905921671778,0.08167939468940433,-0.0021403354726865498,-0.026909237973609043,d15f27f9230ed4fc9bc40419ec3586a705910085cb49b42eef18e6d5f537415e,False
S4,1,2,DANN,0.1,0.07953905921671778,0.09073840163628111,-0.01119934241956333,-0.14080305361555762,478c734708ab0acc6290072bf8b1f831f4c2f090ecc076c913c2b8181a3c9d15,False
S4,1,2,DANN,1.0,0.07953905921671778,0.052976300468603466,0.026562758748114312,0.33395867400701296,34abf20e28405b7e6ba0d3c2113fb53f4bc536628b7165296a0dd816ed958700,False
S4,1,2,MMD,0.01,0.07953905921671778,0.07953905921671778,0.0,0.0,a375ef14c68a9cf7c00c35a33119d4d1018bca781815d0b4988ca8c864c071a1,False
S4,1,2,MMD,0.1,0.07953905921671778,0.07953905921671778,0.0,0.0,8968d1bdc94cd125ff1eeaf6e7561e0f129399a334a1bce60a7d20385cc4fb1f,False
S4,1,2,MMD,1.0,0.07953905921671778,0.07953905919376081,2.2956969658594062e-11,2.8862510927813773e-10,383c77fab02f0fb23ba9500a761e56341c925f40233da64740429a322f9a013a,False
S4,1,2,CORAL,0.01,0.07953905921671778,0.08791957588055133,-0.008380516663833548,-0.1053635376915137,425a2c08cf35761b6c449df4b88b66b95012860ba83db245c909b38b8a95156f,False
S4,1,2,CORAL,0.1,0.07953905921671778,0.09018000223838385,-0.010640943021666072,-0.13378261103817204,aa58f2f0136df98876ee62c2ec7de8f90823b5fa22a25ad2e3baf7d75d14bb54,False
