setting_id,dataset,task,backbone,fold,seed,method,lambda,subjects,BA_ERM,BA_method,DeltaG_BA,F1_ERM,F1_method,DeltaG_F1,CE_ERM,CE_method,DeltaG_CE,I_ERM,I_method,S_I_abs,S_I_rel,z_SI,R_unsafe,R_admissible,R_unsafe_mass,method_checkpoint_sha256,erm_checkpoint_sha256,outcome_scope
S4,WBCIC,MI,EEGConformer,0,0,DANN,0.1,9,0.8127777777777778,0.82,0.00722222222222213,0.8122927195218211,0.8190385345802533,0.006745815058432192,0.3983663757041906,0.3757091670853478,0.022657208618842795,0.0713085620075917,0.070037754029657,0.0012708079779346,0.0178212537476431,-1.290746322561868,0.25,0.0,0.1249812213061836,70610c35cb2ea6fcd17e405c47342721c3486412e21f9d7615adc7e6618f659b,6f96b58b8428bf10bd776254d0055f77856b58b83341acb41eae40edd08bd7d3,frozen P4A development future role; subject-first
S4,WBCIC,MI,EEGConformer,0,1,DANN,0.1,9,0.7922222222222222,0.8127777777777777,0.02055555555555555,0.7890316619882838,0.8092870524097191,0.020255390421435315,0.42073184308284794,0.3898452652112109,0.030886577871637066,0.0724969902826178,0.0585539811570838,0.0139430091255339,0.1923253513144066,-0.100587560126735,0.0,1.0,0.0,86d2d9ba87ceebbc4303b96eb3d1f877c5f4a20526179e98c8d0adcc045a5b16,51476bbeb54ca17ed57c5ade63af154799a5d9b649b85e451178a573df7c30ed,frozen P4A development future role; subject-first
S4,WBCIC,MI,EEGConformer,0,2,DANN,0.1,9,0.7955555555555556,0.7683333333333332,-0.02722222222222237,0.79484804429918,0.761032111953514,-0.033815932345666044,0.4427929856881121,0.509259518323273,-0.06646653263516089,0.0510694775171962,0.0556748285989117,-0.0046053510817154,-0.0901781515206327,-1.8426285183104807,1.0,0.0,1.0,5cd4f1120904eec196605d2d559f36e0c1c7f21d2861a61e514ff75e4dd5462c,a4aef7a25a602d182885d48431643b6483d12e7300ae05d78e572fb87945774e,frozen P4A development future role; subject-first
S4,WBCIC,MI,EEGConformer,1,0,DANN,0.1,8,0.775625,0.781875,0.006249999999999978,0.7732137407976142,0.780901166799935,0.007687426002320863,0.45059218920495103,0.564438156455083,-0.11384596725013196,0.0740036256487175,0.0747346702296052,-0.0007310445808876,-0.0098784968232225,-1.4787580449323716,0.0,1.0,0.0,821e33c66fe87946f12f0ae2ed3b6dac6c19a575c39a8db39ac49a6707e6d4a0,0db7ee1b77ddf9a2e98d0be75bf835a1dd9a08b3594bb1cbce24dd7b5ee89cc5,frozen P4A development future role; subject-first
S4,WBCIC,MI,EEGConformer,1,1,DANN,0.1,8,0.784375,0.795625,0.011249999999999982,0.7835945865463024,0.7946504626711168,0.011055876124814401,0.5375947285459817,0.46504053462510886,0.07255419392087281,0.0789682544220682,0.0639542404565882,0.0150140139654799,0.1901272109301439,0.0,0.0,1.0,0.0,44679a217336c7e55a897f366f094014be1ec2aca486aa3fa0e52b1121e67dd3,3b060792ce65828869ab129f2871ec17ded1d7b2bd0df645a818e0e7e38d91fc,frozen P4A development future role; subject-first
S4,WBCIC,MI,EEGConformer,1,2,DANN,0.1,8,0.780625,0.788125,0.007499999999999951,0.7767040140675032,0.7823588775267445,0.005654863459241266,0.46608257003197806,0.4802259746441733,-0.014143404612195265,0.0795390592167177,0.0907384016362811,-0.0111993424195633,-0.1408030536155576,-2.461928707658233,0.25,0.75,0.3633766156638564,478c734708ab0acc6290072bf8b1f831f4c2f090ecc076c913c2b8181a3c9d15,54f1290b477c4e9dd91631b9d0f8f33c15476a13189a5a09dd59d0e87f2d96fd,frozen P4A development future role; subject-first
S4,WBCIC,MI,EEGConformer,2,0,DANN,0.1,8,0.75875,0.7875,0.028749999999999942,0.7580083253182346,0.7866490994135678,0.028640774095333166,0.49680451746638643,0.427498007268922,0.06930651019746442,0.0835119333635661,0.0589586209093633,0.0245533124542027,0.294009627905713,0.8959200971954702,1.0,0.0,1.0,93d4a3c3fb87f7ef01d0a7562863ad5550c80cb013eb581bb8c70b77bc9428ec,b28cdf472f863b15eb3cf9e12169386a38f2f842aefcd227225fcb151bff1338,frozen P4A development future role; subject-first
S4,WBCIC,MI,EEGConformer,2,1,DANN,0.1,8,0.795,0.766875,-0.028125000000000067,0.7941113703163667,0.7645840573706008,-0.029527312945765938,0.5170088002973561,0.5410099339762857,-0.024001133678929643,0.0778487869218427,0.0585160662015098,0.0193327207203328,0.2483368268730233,0.4056080413188316,0.3333333333333333,0.0,0.2784315300167615,bfb71d86068b1b260f234d3385dd056cc4d16b413b7633603f034dbbdba16157,dcf4d82c4549b87e5458d1bdbcacc28b62a1548d3ff3a0c7bd3d18c21dd4a48f,frozen P4A development future role; subject-first
S4,WBCIC,MI,EEGConformer,2,2,DANN,0.1,8,0.789375,0.78625,-0.0031250000000000444,0.7888846892477677,0.782627657008088,-0.006257032239679661,0.4874833756865199,0.5240916920155512,-0.036608316329031276,0.0768882001257666,0.0597531446506263,0.0171350554751403,0.222856764066392,0.1992058134816797,0.5,0.5,0.4561399621795527,b3ffbb74c21d5044bd6c69ac98097cb38bd7616a7e9e5fd0038676f8c0bd5c6e,2bca5a99603da2f6f7d7b5a572953c766820d1dca9a42c647ab7e4587d581f24,frozen P4A development future role; subject-first
S4,WBCIC,MI,EEGConformer,3,0,DANN,0.1,8,0.7829774305555556,0.7696906565656566,-0.01328677398989897,0.7814263665886316,0.7661834845481761,-0.015242882040455541,0.5117381870497707,0.4738779224663384,0.03786026458343228,0.0871633804070741,0.0649780945394398,0.0221852858676343,0.2545253036741938,0.6735177253535662,0.25,0.75,0.3179468025771769,239e6b035196fb44081e203c7cb37bf1881193ad592aa2e59c5bbbe7e2ac2c14,f266e3a9ad3b0387a4a1fb82be493a1ca5923b21b8ec9f42812a7bd44baca84c,frozen P4A development future role; subject-first
S4,WBCIC,MI,EEGConformer,3,1,DANN,0.1,8,0.7684840593434343,0.7866753472222222,0.018191287878787876,0.7631474550066508,0.7802563836430808,0.017108928636429988,0.48785499627517703,0.5045660321726555,-0.016711035897478466,0.0881175746113203,0.064903211570986,0.0232143630403343,0.2634475942224645,0.7701674865154505,0.5,0.5,0.4038799268193941,cf3fa8a4c584fadbbb676ccb8ff9346cb8805be56f12535c421a5c0c937b1dba,d25def1c1331f050624e18a3f22d1c69f3f0e4fc7a58f8fad92b2a51bd17a466,frozen P4A development future role; subject-first
