setting_id,dataset,task,backbone,method,lambda,fold,seed,status,trained_artifact_present,source_complete_path,checkpoint_sha256,outcome_access_evidence
S1,OpenBMI,MI,EEGNet,ERM,0.0,0,0,HISTORICALLY_OBSERVED_TASK_OUTCOME,False,,,P4A historical reconstruction backed by Phase2/Phase3 compact results
S1,OpenBMI,MI,EEGNet,DANN,0.01,0,0,HISTORICALLY_OBSERVED_TASK_OUTCOME,False,,,P4A historical reconstruction backed by Phase2/Phase3 compact results
S1,OpenBMI,MI,EEGNet,DANN,0.1,0,0,HISTORICALLY_OBSERVED_TASK_OUTCOME,False,,,P4A historical reconstruction backed by Phase2/Phase3 compact results
S1,OpenBMI,MI,EEGNet,DANN,1.0,0,0,HISTORICALLY_OBSERVED_TASK_OUTCOME,False,,,P4A historical reconstruction backed by Phase2/Phase3 compact results
S1,OpenBMI,MI,EEGNet,MMD,0.01,0,0,HISTORICALLY_OBSERVED_TASK_OUTCOME,False,,,P4A historical reconstruction backed by Phase2/Phase3 compact results
S1,OpenBMI,MI,EEGNet,MMD,0.1,0,0,HISTORICALLY_OBSERVED_TASK_OUTCOME,False,,,P4A historical reconstruction backed by Phase2/Phase3 compact results
S1,OpenBMI,MI,EEGNet,MMD,1.0,0,0,HISTORICALLY_OBSERVED_TASK_OUTCOME,False,,,P4A historical reconstruction backed by Phase2/Phase3 compact results
S1,OpenBMI,MI,EEGNet,CORAL,0.01,0,0,HISTORICALLY_OBSERVED_TASK_OUTCOME,False,,,P4A historical reconstruction backed by Phase2/Phase3 compact results
S1,OpenBMI,MI,EEGNet,CORAL,0.1,0,0,HISTORICALLY_OBSERVED_TASK_OUTCOME,False,,,P4A historical reconstruction backed by Phase2/Phase3 compact results
S1,OpenBMI,MI,EEGNet,CORAL,1.0,0,0,HISTORICALLY_OBSERVED_TASK_OUTCOME,False,,,P4A historical reconstruction backed by Phase2/Phase3 compact results
S1,OpenBMI,MI,EEGNet,ERM,0.0,0,1,HISTORICALLY_OBSERVED_TASK_OUTCOME,False,,,P4A historical reconstruction backed by Phase2/Phase3 compact results
S1,OpenBMI,MI,EEGNet,DANN,0.01,0,1,HISTORICALLY_OBSERVED_TASK_OUTCOME,False,,,P4A historical reconstruction backed by Phase2/Phase3 compact results
S1,OpenBMI,MI,EEGNet,DANN,0.1,0,1,HISTORICALLY_OBSERVED_TASK_OUTCOME,False,,,P4A historical reconstruction backed by Phase2/Phase3 compact results
