setting_id,dataset,task,backbone,fold,seed,n_identity_high,n_highI_highE,n_highI_lowE,R_unsafe,R_admissible,R_unsafe_mass,R_admissible_mass,positive_highI_identity_mass,source_cube_hash,p4c_regime_hash,checkpoint_hash
S6,OpenBMI,ERP,EEGConformer,1,2,2,1,0,0.5,0.0,0.42965690265065404,0.0,3.638042478930918,41c5373bd73f327a652c3d155ffcf90642589f35e48ce0b2a47ee30307443ec0,0a6c4caf19937ee9024b852173f07dc8b151d13806e0e5c4635fbca77d98db30,4b02683d21a8a5e23a0e470f94c843556677d7b216a8b90e7cacf115a6f4c508
S6,OpenBMI,ERP,EEGConformer,2,0,2,0,1,0.0,0.5,0.0,0.588138652921486,2.906413421768547,41c5373bd73f327a652c3d155ffcf90642589f35e48ce0b2a47ee30307443ec0,0a6c4caf19937ee9024b852173f07dc8b151d13806e0e5c4635fbca77d98db30,63d2f005208c37b5e4d1870c519054ffda00316fdd455308dbf8a75005d963aa
S6,OpenBMI,ERP,EEGConformer,2,1,3,2,0,0.6666666666666666,0.0,0.544715249811354,0.0,3.229980802719999,41c5373bd73f327a652c3d155ffcf90642589f35e48ce0b2a47ee30307443ec0,0a6c4caf19937ee9024b852173f07dc8b151d13806e0e5c4635fbca77d98db30,1040bb9d4dc9572c3d4f1964903bd7c45045ef8cf2bba4316537fe618029d9f2
S6,OpenBMI,ERP,EEGConformer,2,2,3,1,1,0.3333333333333333,0.3333333333333333,0.4299235325095598,0.3616044091450158,3.2784198198086605,41c5373bd73f327a652c3d155ffcf90642589f35e48ce0b2a47ee30307443ec0,0a6c4caf19937ee9024b852173f07dc8b151d13806e0e5c4635fbca77d98db30,c7ae1ca34dc222bf6136dc1476d8dfd737c70eedc513933e34b4948ce57447fd
S6,OpenBMI,ERP,EEGConformer,3,0,2,1,0,0.5,0.0,0.27555671446623203,0.0,2.464125193143342,41c5373bd73f327a652c3d155ffcf90642589f35e48ce0b2a47ee30307443ec0,0a6c4caf19937ee9024b852173f07dc8b151d13806e0e5c4635fbca77d98db30,79a7b9397a0dbd0bd61f8989673266108ae72ea5abc1feb8bb57a3c274a452a7
S6,OpenBMI,ERP,EEGConformer,3,1,4,1,1,0.25,0.25,0.15896403234110146,0.14840040666543142,5.054167627480072,41c5373bd73f327a652c3d155ffcf90642589f35e48ce0b2a47ee30307443ec0,0a6c4caf19937ee9024b852173f07dc8b151d13806e0e5c4635fbca77d98db30,097fae939af041a45f1f0fe48072bd1f9686c352cde261c6a68a6c094e418af6
S6,OpenBMI,ERP,EEGConformer,3,2,1,0,1,0.0,1.0,0.0,1.0,1.730697605379725,41c5373bd73f327a652c3d155ffcf90642589f35e48ce0b2a47ee30307443ec0,0a6c4caf19937ee9024b852173f07dc8b151d13806e0e5c4635fbca77d98db30,dd206bbb0602edad251e1c012a9a8f13a61b96be2c1efd619fb066d3848788ae
S6,OpenBMI,ERP,EEGConformer,4,0,2,0,2,0.0,1.0,0.0,1.0,3.8209654989739628,41c5373bd73f327a652c3d155ffcf90642589f35e48ce0b2a47ee30307443ec0,0a6c4caf19937ee9024b852173f07dc8b151d13806e0e5c4635fbca77d98db30,477ae2a4634f3da03682c75026720fa1f44f84087b7970acc59abd46d17ddc5c
S6,OpenBMI,ERP,EEGConformer,4,1,2,1,1,0.5,0.5,0.4592601125783237,0.5407398874216763,3.8055676470967432,41c5373bd73f327a652c3d155ffcf90642589f35e48ce0b2a47ee30307443ec0,0a6c4caf19937ee9024b852173f07dc8b151d13806e0e5c4635fbca77d98db30,a0529317957b01ccf0c0b5db674318f86b147c49ea69cb4d8f73ea571362c177
S6,OpenBMI,ERP,EEGConformer,4,2,2,1,1,0.5,0.5,0.5167743390153121,0.48322566098468783,2.606410440140884,41c5373bd73f327a652c3d155ffcf90642589f35e48ce0b2a47ee30307443ec0,0a6c4caf19937ee9024b852173f07dc8b151d13806e0e5c4635fbca77d98db30,3de79f94646436a12cbb96c966489e2a325b8e217e123da86059f0b060affec9
